_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.683748000	8	192.168.1.5	162.125.67.7	51832	443	228	SSL	09:55:14.514017000
2.778330000	10	162.125.67.7	192.168.1.5	443	51832	1506	TLSv1.2	09:55:14.608599000
2.778847000	11	162.125.67.7	192.168.1.5	443	51832	1506	TCP	09:55:14.609116000
2.781499000	14	162.125.67.7	192.168.1.5	443	51832	1121	TLSv1.2	09:55:14.611768000
2.851460000	16	192.168.1.5	162.125.67.7	51832	443	192	TLSv1.2	09:55:14.681729000
2.945014000	22	192.168.1.5	162.125.67.7	42375	443	231	SSL	09:55:14.775283000
3.006328000	29	192.168.1.5	162.125.67.7	47421	443	228	SSL	09:55:14.836597000
3.028392000	32	192.168.1.5	162.125.67.7	50726	443	228	SSL	09:55:14.858661000
3.035223000	35	192.168.1.5	162.125.67.7	54719	443	228	SSL	09:55:14.865492000
3.050726000	36	162.125.67.7	192.168.1.5	443	42375	1506	TLSv1.2	09:55:14.880995000
3.061334000	38	162.125.67.7	192.168.1.5	443	42375	1506	TCP	09:55:14.891603000
3.061460000	39	162.125.67.7	192.168.1.5	443	42375	1134	TLSv1.2	09:55:14.891729000
3.061604000	41	162.125.67.7	192.168.1.5	443	51832	324	TLSv1.2	09:55:14.891873000
3.061845000	47	162.125.67.7	192.168.1.5	443	47421	1506	TLSv1.2	09:55:14.892114000
3.062034000	48	162.125.67.7	192.168.1.5	443	47421	1506	TCP	09:55:14.892303000
3.062169000	50	162.125.67.7	192.168.1.5	443	47421	1134	TLSv1.2	09:55:14.892438000
3.070946000	54	192.168.1.5	162.125.67.7	42375	443	192	TLSv1.2	09:55:14.901215000
3.070967000	55	192.168.1.5	162.125.67.7	51832	443	837	TLSv1.2	09:55:14.901236000
3.074893000	56	192.168.1.5	162.125.67.7	47421	443	192	TLSv1.2	09:55:14.905162000
3.090825000	62	162.125.67.7	192.168.1.5	443	50726	1506	TLSv1.2	09:55:14.921094000
3.091025000	64	162.125.67.7	192.168.1.5	443	50726	1506	TCP	09:55:14.921294000
3.091157000	65	162.125.67.7	192.168.1.5	443	50726	1134	TLSv1.2	09:55:14.921426000
3.091357000	68	162.125.67.7	192.168.1.5	443	54719	1506	TLSv1.2	09:55:14.921626000
3.091548000	70	162.125.67.7	192.168.1.5	443	54719	1506	TCP	09:55:14.921817000
3.091685000	73	162.125.67.7	192.168.1.5	443	54719	1134	TLSv1.2	09:55:14.921954000
3.103612000	75	192.168.1.5	162.125.67.7	54719	443	192	TLSv1.2	09:55:14.933881000
3.108612000	76	162.125.67.7	192.168.1.5	443	42375	117	TLSv1.2	09:55:14.938881000
3.109893000	78	192.168.1.5	162.125.67.7	50726	443	192	TLSv1.2	09:55:14.940162000
3.111604000	79	192.168.1.5	162.125.67.7	42375	443	570	TLSv1.2	09:55:14.941873000
3.112778000	80	162.125.67.7	192.168.1.5	443	47421	117	TLSv1.2	09:55:14.943047000
3.113827000	81	192.168.1.5	162.125.67.7	47421	443	819	TLSv1.2	09:55:14.944096000
3.116204000	84	192.168.1.5	162.125.67.7	54973	443	263	SSL	09:55:14.946473000
3.123228000	89	192.168.1.5	162.125.67.7	34838	443	260	SSL	09:55:14.953497000
3.123511000	90	192.168.1.5	162.125.67.7	38021	443	260	SSL	09:55:14.953780000
3.140936000	91	162.125.67.7	192.168.1.5	443	54719	117	TLSv1.2	09:55:14.971205000
3.142331000	92	192.168.1.5	162.125.67.7	54719	443	987	TLSv1.2	09:55:14.972600000
3.149091000	93	162.125.67.7	192.168.1.5	443	50726	117	TLSv1.2	09:55:14.979360000
3.150895000	94	192.168.1.5	162.125.67.7	50726	443	568	TLSv1.2	09:55:14.981164000
3.156433000	96	162.125.67.7	192.168.1.5	443	54973	203	TLSv1.2	09:55:14.986702000
3.157332000	99	192.168.1.5	162.125.67.7	54973	443	117	TLSv1.2	09:55:14.987601000
3.162058000	101	162.125.67.7	192.168.1.5	443	34838	203	TLSv1.2	09:55:14.992327000
3.162103000	103	162.125.67.7	192.168.1.5	443	38021	203	TLSv1.2	09:55:14.992372000
3.162894000	106	192.168.1.5	162.125.67.7	34838	443	117	TLSv1.2	09:55:14.993163000
3.163808000	107	192.168.1.5	162.125.67.7	38021	443	117	TLSv1.2	09:55:14.994077000
3.243226000	113	192.168.1.5	162.125.67.7	54973	443	595	TLSv1.2	09:55:15.073495000
3.246012000	115	192.168.1.5	162.125.67.7	34838	443	622	TLSv1.2	09:55:15.076281000
3.247641000	117	192.168.1.5	162.125.67.7	38021	443	987	TLSv1.2	09:55:15.077910000
3.370351000	121	162.125.67.7	192.168.1.5	443	51832	571	TLSv1.2	09:55:15.200620000
3.370835000	122	162.125.67.7	192.168.1.5	443	51832	100	TLSv1.2	09:55:15.201104000
3.393599000	124	162.125.67.7	192.168.1.5	443	47421	718	TLSv1.2	09:55:15.223868000
3.394092000	125	162.125.67.7	192.168.1.5	443	47421	100	TLSv1.2	09:55:15.224361000
3.394157000	126	162.125.67.7	192.168.1.5	443	42375	582	TLSv1.2	09:55:15.224426000
3.394159000	127	162.125.67.7	192.168.1.5	443	42375	100	TLSv1.2	09:55:15.224428000
3.413708000	130	192.168.1.5	162.125.67.7	42375	443	570	TLSv1.2	09:55:15.243977000
3.429802000	131	192.168.1.5	162.125.67.7	51832	443	837	TLSv1.2	09:55:15.260071000
3.601738000	137	162.125.67.7	192.168.1.5	443	54719	752	TLSv1.2	09:55:15.432007000
3.601742000	138	162.125.67.7	192.168.1.5	443	54719	100	TLSv1.2	09:55:15.432011000
3.601834000	139	162.125.67.7	192.168.1.5	443	34838	611	TLSv1.2	09:55:15.432103000
3.601840000	140	162.125.67.7	192.168.1.5	443	34838	100	TLSv1.2	09:55:15.432109000
3.602027000	142	162.125.67.7	192.168.1.5	443	50726	1120	TLSv1.2	09:55:15.432296000
3.602033000	143	162.125.67.7	192.168.1.5	443	50726	100	TLSv1.2	09:55:15.432302000
3.603655000	146	162.125.67.7	192.168.1.5	443	38021	843	TLSv1.2	09:55:15.433924000
3.603658000	147	162.125.67.7	192.168.1.5	443	38021	100	TLSv1.2	09:55:15.433927000
3.629219000	151	162.125.67.7	192.168.1.5	443	54973	595	TLSv1.2	09:55:15.459488000
3.629584000	152	162.125.67.7	192.168.1.5	443	54973	100	TLSv1.2	09:55:15.459853000
3.669389000	158	192.168.1.5	162.125.67.7	43951	443	263	SSL	09:55:15.499658000
3.699295000	159	162.125.67.7	192.168.1.5	443	42375	582	TLSv1.2	09:55:15.529564000
3.699829000	160	162.125.67.7	192.168.1.5	443	42375	100	TLSv1.2	09:55:15.530098000
3.701180000	164	192.168.1.5	162.125.33.4	35586	443	235	SSL	09:55:15.531449000
3.705877000	165	162.125.67.7	192.168.1.5	443	51832	571	TLSv1.2	09:55:15.536146000
3.718625000	166	162.125.67.7	192.168.1.5	443	51832	100	TLSv1.2	09:55:15.548894000
3.719480000	169	162.125.67.7	192.168.1.5	443	43951	203	TLSv1.2	09:55:15.549749000
3.720305000	171	192.168.1.5	162.125.67.7	43951	443	117	TLSv1.2	09:55:15.550574000
3.798044000	173	192.168.1.5	162.125.67.7	43951	443	571	TLSv1.2	09:55:15.628313000
3.922016000	176	162.125.33.4	192.168.1.5	443	35586	1506	TLSv1.2	09:55:15.752285000
3.922597000	178	162.125.33.4	192.168.1.5	443	35586	1506	TCP	09:55:15.752866000
3.922700000	179	162.125.33.4	192.168.1.5	443	35586	1121	TLSv1.2	09:55:15.752969000
3.927129000	182	192.168.1.5	162.125.33.4	35586	443	192	TLSv1.2	09:55:15.757398000
4.118191000	183	162.125.33.4	192.168.1.5	443	35586	340	TLSv1.2	09:55:15.948460000
