_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.464074000	11	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.161107000
4.604211000	13	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.301244000
4.738389000	15	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.435422000
4.767475000	17	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.464508000
4.891363000	19	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.588396000
4.928632000	25	192.168.1.5	46.105.63.44	37366	9001	1123	TLSv1.2	09:05:50.625665000
4.960487000	27	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.657520000
4.967900000	28	46.105.63.44	192.168.1.5	9001	37366	1506	TCP	09:05:50.664933000
4.968554000	30	46.105.63.44	192.168.1.5	9001	37366	1506	TCP	09:05:50.665587000
4.995472000	31	46.105.63.44	192.168.1.5	9001	37366	842	TLSv1.2	09:05:50.692505000
5.015406000	33	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.712439000
5.022508000	34	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.719541000
5.052573000	35	192.168.1.5	46.105.63.44	37366	9001	1506	TLSv1.2	09:05:50.749606000
5.079201000	37	192.168.1.5	46.105.63.44	37366	9001	798	TLSv1.2	09:05:50.776234000
5.080266000	38	46.105.63.44	192.168.1.5	9001	37366	1152	TLSv1.2	09:05:50.777299000
5.147610000	40	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.844643000
5.147944000	41	192.168.1.5	46.105.63.44	37366	9001	1152	TLSv1.2	09:05:50.844977000
5.177124000	42	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.874157000
5.177542000	43	192.168.1.5	46.105.63.44	37366	9001	609	TLSv1.2	09:05:50.874575000
5.221780000	44	46.105.63.44	192.168.1.5	9001	37366	609	TLSv1.2	09:05:50.918813000
5.222279000	45	192.168.1.5	46.105.63.44	37366	9001	1123	TLSv1.2	09:05:50.919312000
5.229313000	46	46.105.63.44	192.168.1.5	9001	37366	1506	TCP	09:05:50.926346000
5.229862000	47	46.105.63.44	192.168.1.5	9001	37366	1506	TCP	09:05:50.926895000
5.250968000	49	46.105.63.44	192.168.1.5	9001	37366	299	TLSv1.2	09:05:50.948001000
5.268891000	50	46.105.63.44	192.168.1.5	9001	37366	1506	TLSv1.2	09:05:50.965924000
