_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.503462000	10	192.168.1.5	162.125.67.7	37590	443	228	SSL	09:39:51.508761000
2.542385000	12	162.125.67.7	192.168.1.5	443	37590	1506	TLSv1.2	09:39:51.547684000
2.542947000	13	162.125.67.7	192.168.1.5	443	37590	1506	TCP	09:39:51.548246000
2.543071000	14	162.125.67.7	192.168.1.5	443	37590	1121	TLSv1.2	09:39:51.548370000
2.569359000	18	192.168.1.5	162.125.67.7	37590	443	192	TLSv1.2	09:39:51.574658000
2.607081000	19	162.125.67.7	192.168.1.5	443	37590	324	TLSv1.2	09:39:51.612380000
2.610515000	21	192.168.1.5	162.125.67.7	37590	443	837	TLSv1.2	09:39:51.615814000
2.681720000	26	192.168.1.5	162.125.67.7	48385	443	231	SSL	09:39:51.687019000
2.721514000	29	162.125.67.7	192.168.1.5	443	48385	1506	TLSv1.2	09:39:51.726813000
2.722253000	31	162.125.67.7	192.168.1.5	443	48385	1506	TCP	09:39:51.727552000
2.722393000	32	162.125.67.7	192.168.1.5	443	48385	1134	TLSv1.2	09:39:51.727692000
2.729183000	35	192.168.1.5	162.125.67.7	48385	443	192	TLSv1.2	09:39:51.734482000
2.766310000	36	162.125.67.7	192.168.1.5	443	48385	117	TLSv1.2	09:39:51.771609000
2.769231000	37	192.168.1.5	162.125.67.7	48385	443	570	TLSv1.2	09:39:51.774530000
2.874943000	39	162.125.67.7	192.168.1.5	443	37590	571	TLSv1.2	09:39:51.880242000
2.875323000	40	162.125.67.7	192.168.1.5	443	37590	100	TLSv1.2	09:39:51.880622000
2.934901000	42	192.168.1.5	162.125.67.7	37590	443	837	TLSv1.2	09:39:51.940200000
3.000604000	50	192.168.1.5	162.125.67.7	60327	443	228	SSL	09:39:52.005903000
3.035692000	56	192.168.1.5	162.125.67.7	50497	443	228	SSL	09:39:52.040991000
3.037804000	59	192.168.1.5	162.125.67.7	32993	443	228	SSL	09:39:52.043103000
3.040272000	60	162.125.67.7	192.168.1.5	443	60327	1506	TLSv1.2	09:39:52.045571000
3.040930000	62	162.125.67.7	192.168.1.5	443	60327	1506	TCP	09:39:52.046229000
3.041056000	63	162.125.67.7	192.168.1.5	443	60327	1134	TLSv1.2	09:39:52.046355000
3.045768000	66	192.168.1.5	162.125.67.7	60327	443	192	TLSv1.2	09:39:52.051067000
3.059719000	68	162.125.67.7	192.168.1.5	443	48385	582	TLSv1.2	09:39:52.065018000
3.060118000	69	162.125.67.7	192.168.1.5	443	48385	100	TLSv1.2	09:39:52.065417000
3.070453000	73	192.168.1.5	162.125.67.7	48385	443	570	TLSv1.2	09:39:52.075752000
3.074983000	75	162.125.67.7	192.168.1.5	443	50497	1506	TLSv1.2	09:39:52.080282000
3.076014000	77	162.125.67.7	192.168.1.5	443	50497	1506	TCP	09:39:52.081313000
3.076141000	78	162.125.67.7	192.168.1.5	443	50497	1134	TLSv1.2	09:39:52.081440000
3.077186000	82	162.125.67.7	192.168.1.5	443	32993	1506	TLSv1.2	09:39:52.082485000
3.077843000	84	162.125.67.7	192.168.1.5	443	32993	1506	TCP	09:39:52.083142000
3.077978000	85	162.125.67.7	192.168.1.5	443	32993	1134	TLSv1.2	09:39:52.083277000
3.082604000	88	162.125.67.7	192.168.1.5	443	60327	117	TLSv1.2	09:39:52.087903000
3.087061000	89	192.168.1.5	162.125.67.7	50497	443	192	TLSv1.2	09:39:52.092360000
3.089677000	90	192.168.1.5	162.125.67.7	32993	443	192	TLSv1.2	09:39:52.094976000
3.089880000	91	192.168.1.5	162.125.67.7	60327	443	819	TLSv1.2	09:39:52.095179000
