_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.073445000	5	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:52.332351000
3.210397000	7	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:52.469303000
3.246743000	9	192.168.1.5	46.105.63.44	37788	9001	1152	TLSv1.2	10:13:52.505649000
3.346901000	11	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:52.605807000
3.374211000	12	192.168.1.5	46.105.63.44	37788	9001	1506	TLSv1.2	10:13:52.633117000
3.374529000	14	192.168.1.5	46.105.63.44	37788	9001	255	TLSv1.2	10:13:52.633435000
3.884192000	17	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:53.143098000
3.889752000	19	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.148658000
4.191069000	21	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:53.449975000
4.197490000	22	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.456396000
4.231939000	24	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:53.490845000
4.238485000	25	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.497391000
4.265972000	26	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:53.524878000
4.271466000	27	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.530372000
4.517528000	29	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:53.776434000
4.520317000	30	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.779223000
4.542180000	31	46.105.63.44	192.168.1.5	9001	37788	1506	TLSv1.2	10:13:53.801086000
4.548118000	32	46.105.63.44	192.168.1.5	9001	37788	226	TLSv1.2	10:13:53.807024000
4.548411000	33	192.168.1.5	46.105.63.44	37788	9001	1152	TLSv1.2	10:13:53.807317000
4.614260000	35	192.168.1.5	46.105.63.44	37788	9001	609	TLSv1.2	10:13:53.873166000
5.184891000	39	46.105.63.44	192.168.1.5	9001	37788	609	TLSv1.2	10:13:54.443797000
5.187000000	40	46.105.63.44	192.168.1.5	9001	37788	1506	TCP	10:13:54.445906000
5.188446000	42	46.105.63.44	192.168.1.5	9001	37788	1506	TCP	10:13:54.447352000
5.223017000	43	46.105.63.44	192.168.1.5	9001	37788	813	TLSv1.2	10:13:54.481923000
