_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.077921000	6	192.168.1.5	162.125.67.7	41457	443	228	SSL	09:09:33.758088000
0.117309000	11	162.125.67.7	192.168.1.5	443	41457	1506	TLSv1.2	09:09:33.797476000
0.118009000	13	162.125.67.7	192.168.1.5	443	41457	1506	TCP	09:09:33.798176000
0.118144000	14	162.125.67.7	192.168.1.5	443	41457	1134	TLSv1.2	09:09:33.798311000
0.129192000	17	192.168.1.5	162.125.67.7	41457	443	192	TLSv1.2	09:09:33.809359000
0.139995000	24	192.168.1.5	162.125.67.7	58032	443	228	SSL	09:09:33.820162000
0.141785000	25	192.168.1.5	162.125.67.7	59968	443	228	SSL	09:09:33.821952000
0.166685000	26	162.125.67.7	192.168.1.5	443	41457	117	TLSv1.2	09:09:33.846852000
0.168648000	27	192.168.1.5	162.125.67.7	41457	443	819	TLSv1.2	09:09:33.848815000
0.179504000	29	162.125.67.7	192.168.1.5	443	58032	1506	TLSv1.2	09:09:33.859671000
0.180109000	30	162.125.67.7	192.168.1.5	443	58032	1506	TCP	09:09:33.860276000
0.180241000	31	162.125.67.7	192.168.1.5	443	58032	1134	TLSv1.2	09:09:33.860408000
0.181128000	36	162.125.67.7	192.168.1.5	443	59968	1506	TLSv1.2	09:09:33.861295000
0.181321000	37	162.125.67.7	192.168.1.5	443	59968	1506	TCP	09:09:33.861488000
0.181459000	39	162.125.67.7	192.168.1.5	443	59968	1134	TLSv1.2	09:09:33.861626000
0.189362000	42	192.168.1.5	162.125.67.7	58032	443	192	TLSv1.2	09:09:33.869529000
0.193327000	43	192.168.1.5	162.125.67.7	59968	443	192	TLSv1.2	09:09:33.873494000
0.229539000	48	162.125.67.7	192.168.1.5	443	58032	117	TLSv1.2	09:09:33.909706000
0.230433000	49	162.125.67.7	192.168.1.5	443	59968	117	TLSv1.2	09:09:33.910600000
0.232348000	50	192.168.1.5	162.125.67.7	58032	443	987	TLSv1.2	09:09:33.912515000
0.235400000	51	192.168.1.5	162.125.67.7	59968	443	568	TLSv1.2	09:09:33.915567000
0.256188000	61	192.168.1.5	162.125.67.7	38761	443	260	SSL	09:09:33.936355000
0.257085000	62	192.168.1.5	162.125.67.7	44735	443	260	SSL	09:09:33.937252000
0.280811000	65	192.168.1.5	162.125.67.7	48822	443	231	SSL	09:09:33.960978000
0.295131000	69	162.125.67.7	192.168.1.5	443	38761	203	TLSv1.2	09:09:33.975298000
0.295186000	70	162.125.67.7	192.168.1.5	443	44735	203	TLSv1.2	09:09:33.975353000
0.296565000	74	192.168.1.5	162.125.67.7	38761	443	117	TLSv1.2	09:09:33.976732000
0.297592000	75	192.168.1.5	162.125.67.7	44735	443	117	TLSv1.2	09:09:33.977759000
0.297808000	76	192.168.1.5	162.125.67.7	57317	443	231	SSL	09:09:33.977975000
0.320339000	81	162.125.67.7	192.168.1.5	443	48822	1506	TLSv1.2	09:09:34.000506000
0.321251000	84	162.125.67.7	192.168.1.5	443	48822	1506	TCP	09:09:34.001418000
0.321385000	85	162.125.67.7	192.168.1.5	443	48822	1134	TLSv1.2	09:09:34.001552000
0.321520000	86	192.168.1.5	162.125.33.4	53440	443	235	SSL	09:09:34.001687000
0.327082000	89	192.168.1.5	162.125.67.7	48822	443	192	TLSv1.2	09:09:34.007249000
0.337568000	91	162.125.67.7	192.168.1.5	443	57317	1506	TLSv1.2	09:09:34.017735000
0.338238000	93	162.125.67.7	192.168.1.5	443	57317	1506	TCP	09:09:34.018405000
0.338341000	94	162.125.67.7	192.168.1.5	443	57317	1134	TLSv1.2	09:09:34.018508000
0.342627000	97	192.168.1.5	162.125.67.7	57317	443	192	TLSv1.2	09:09:34.022794000
0.364165000	98	162.125.67.7	192.168.1.5	443	48822	117	TLSv1.2	09:09:34.044332000
0.366641000	99	192.168.1.5	162.125.67.7	48822	443	570	TLSv1.2	09:09:34.046808000
0.378770000	102	192.168.1.5	162.125.67.7	38761	443	622	TLSv1.2	09:09:34.058937000
0.378961000	103	192.168.1.5	162.125.67.7	44735	443	987	TLSv1.2	09:09:34.059128000
0.379557000	104	162.125.67.7	192.168.1.5	443	57317	117	TLSv1.2	09:09:34.059724000
0.380579000	105	192.168.1.5	162.125.67.7	57317	443	595	TLSv1.2	09:09:34.060746000
0.428780000	108	162.125.67.7	192.168.1.5	443	41457	718	TLSv1.2	09:09:34.108947000
0.429211000	109	162.125.67.7	192.168.1.5	443	41457	100	TLSv1.2	09:09:34.109378000
0.506947000	114	162.125.33.4	192.168.1.5	443	53440	1506	TLSv1.2	09:09:34.187114000
0.507554000	116	162.125.33.4	192.168.1.5	443	53440	1506	TCP	09:09:34.187721000
0.507654000	117	162.125.33.4	192.168.1.5	443	53440	1121	TLSv1.2	09:09:34.187821000
0.517027000	120	192.168.1.5	162.125.33.4	53440	443	192	TLSv1.2	09:09:34.197194000
0.636656000	121	162.125.67.7	192.168.1.5	443	58032	752	TLSv1.2	09:09:34.316823000
0.637092000	122	162.125.67.7	192.168.1.5	443	58032	100	TLSv1.2	09:09:34.317259000
0.644868000	124	162.125.67.7	192.168.1.5	443	48822	582	TLSv1.2	09:09:34.325035000
0.645251000	125	162.125.67.7	192.168.1.5	443	48822	100	TLSv1.2	09:09:34.325418000
0.650164000	127	162.125.67.7	192.168.1.5	443	59968	1120	TLSv1.2	09:09:34.330331000
0.650521000	128	162.125.67.7	192.168.1.5	443	59968	100	TLSv1.2	09:09:34.330688000
0.675127000	130	162.125.67.7	192.168.1.5	443	38761	611	TLSv1.2	09:09:34.355294000
0.675550000	131	162.125.67.7	192.168.1.5	443	38761	100	TLSv1.2	09:09:34.355717000
0.698280000	133	192.168.1.5	162.125.67.7	48822	443	571	TLSv1.2	09:09:34.378447000
0.704166000	134	162.125.33.4	192.168.1.5	443	53440	340	TLSv1.2	09:09:34.384333000
0.712829000	135	192.168.1.5	162.125.33.4	53440	443	762	TLSv1.2	09:09:34.392996000
0.744918000	137	162.125.67.7	192.168.1.5	443	44735	1139	TLSv1.2	09:09:34.425085000
