_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.548099000
0.029953000	3	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.578052000
0.058964000	5	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.607063000
0.062225000	6	46.105.63.44	192.168.1.5	9001	37901	609	TLSv1.2	10:32:06.610324000
0.124366000	8	46.105.63.44	192.168.1.5	9001	37901	609	TLSv1.2	10:32:06.672465000
0.124675000	9	192.168.1.5	46.105.63.44	37901	9001	1152	TLSv1.2	10:32:06.672774000
0.151909000	10	46.105.63.44	192.168.1.5	9001	37901	609	TLSv1.2	10:32:06.700008000
0.152379000	11	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.700478000
0.192766000	12	192.168.1.5	46.105.63.44	37901	9001	1506	TLSv1.2	10:32:06.740865000
0.218738000	14	192.168.1.5	46.105.63.44	37901	9001	1341	TLSv1.2	10:32:06.766837000
0.245020000	16	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.793119000
0.245673000	17	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.793772000
0.245760000	18	46.105.63.44	192.168.1.5	9001	37901	813	TLSv1.2	10:32:06.793859000
0.267874000	20	46.105.63.44	192.168.1.5	9001	37901	1506	TLSv1.2	10:32:06.815973000
0.268466000	21	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.816565000
0.268655000	23	46.105.63.44	192.168.1.5	9001	37901	1506	TLSv1.2	10:32:06.816754000
0.283822000	25	46.105.63.44	192.168.1.5	9001	37901	1506	TLSv1.2	10:32:06.831921000
0.284400000	26	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.832499000
0.284581000	27	46.105.63.44	192.168.1.5	9001	37901	1506	TLSv1.2	10:32:06.832680000
0.289897000	29	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.837996000
0.295565000	30	46.105.63.44	192.168.1.5	9001	37901	852	TLSv1.2	10:32:06.843664000
0.316250000	31	192.168.1.5	46.105.63.44	37901	9001	1506	TLSv1.2	10:32:06.864349000
0.344254000	33	192.168.1.5	46.105.63.44	37901	9001	255	TLSv1.2	10:32:06.892353000
0.359256000	34	46.105.63.44	192.168.1.5	9001	37901	609	TLSv1.2	10:32:06.907355000
0.410360000	37	192.168.1.5	46.105.63.44	37901	9001	609	TLSv1.2	10:32:06.958459000
0.420072000	38	46.105.63.44	192.168.1.5	9001	37901	1506	TLSv1.2	10:32:06.968171000
0.420684000	40	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.968783000
0.420884000	41	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:06.968983000
0.424043000	44	192.168.1.5	46.105.63.44	37901	9001	1506	TLSv1.2	10:32:06.972142000
0.425432000	45	46.105.63.44	192.168.1.5	9001	37901	1002	TLSv1.2	10:32:06.973531000
0.437876000	47	192.168.1.5	46.105.63.44	37901	9001	1283	TLSv1.2	10:32:06.985975000
0.466856000	49	46.105.63.44	192.168.1.5	9001	37901	609	TLSv1.2	10:32:07.014955000
0.470452000	50	192.168.1.5	46.105.63.44	37901	9001	1123	TLSv1.2	10:32:07.018551000
0.477761000	51	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:07.025860000
0.478330000	52	46.105.63.44	192.168.1.5	9001	37901	1506	TCP	10:32:07.026429000
