_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.073427000	7	192.168.1.5	162.125.67.7	50564	443	228	SSL	09:44:41.285023000
0.110410000	13	192.168.1.5	162.125.67.7	50313	443	228	SSL	09:44:41.322006000
0.112383000	16	162.125.67.7	192.168.1.5	443	50564	1506	TLSv1.2	09:44:41.323979000
0.113401000	18	162.125.67.7	192.168.1.5	443	50564	1506	TCP	09:44:41.324997000
0.113536000	19	162.125.67.7	192.168.1.5	443	50564	1134	TLSv1.2	09:44:41.325132000
0.115080000	24	192.168.1.5	162.125.67.7	38448	443	228	SSL	09:44:41.326676000
0.128360000	25	192.168.1.5	162.125.67.7	50564	443	192	TLSv1.2	09:44:41.339956000
0.150559000	27	162.125.67.7	192.168.1.5	443	50313	1506	TLSv1.2	09:44:41.362155000
0.151153000	29	162.125.67.7	192.168.1.5	443	50313	1506	TCP	09:44:41.362749000
0.151318000	30	162.125.67.7	192.168.1.5	443	50313	1134	TLSv1.2	09:44:41.362914000
0.155518000	34	162.125.67.7	192.168.1.5	443	38448	1506	TLSv1.2	09:44:41.367114000
0.156155000	36	162.125.67.7	192.168.1.5	443	38448	1506	TCP	09:44:41.367751000
0.156289000	37	162.125.67.7	192.168.1.5	443	38448	1134	TLSv1.2	09:44:41.367885000
0.165413000	40	162.125.67.7	192.168.1.5	443	50564	117	TLSv1.2	09:44:41.377009000
0.167548000	41	192.168.1.5	162.125.67.7	50313	443	192	TLSv1.2	09:44:41.379144000
0.168581000	42	192.168.1.5	162.125.67.7	50564	443	819	TLSv1.2	09:44:41.380177000
0.169787000	43	192.168.1.5	162.125.67.7	38448	443	192	TLSv1.2	09:44:41.381383000
0.205184000	46	162.125.67.7	192.168.1.5	443	50313	117	TLSv1.2	09:44:41.416780000
0.207057000	47	162.125.67.7	192.168.1.5	443	38448	117	TLSv1.2	09:44:41.418653000
0.210344000	48	192.168.1.5	162.125.67.7	50313	443	568	TLSv1.2	09:44:41.421940000
0.211567000	50	192.168.1.5	162.125.67.7	38448	443	987	TLSv1.2	09:44:41.423163000
0.252293000	59	192.168.1.5	162.125.67.7	48709	443	260	SSL	09:44:41.463889000
0.255280000	62	192.168.1.5	162.125.67.7	57287	443	260	SSL	09:44:41.466876000
0.273527000	65	192.168.1.5	162.125.67.7	36851	443	231	SSL	09:44:41.485123000
0.285226000	68	192.168.1.5	162.125.67.7	54019	443	231	SSL	09:44:41.496822000
0.291344000	70	162.125.67.7	192.168.1.5	443	48709	203	TLSv1.2	09:44:41.502940000
