_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.326370000	30	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.239280000
0.326720000	31	192.168.1.5	46.105.63.44	37423	9001	1152	TLSv1.2	09:12:57.239630000
0.371380000	32	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.284290000
0.371676000	33	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.284586000
0.435930000	35	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.348840000
0.440410000	36	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.353320000
0.464242000	38	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.377152000
0.508707000	40	46.105.63.44	192.168.1.5	9001	37423	1123	TLSv1.2	09:12:57.421617000
0.525353000	41	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.438263000
0.552897000	42	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.465807000
0.554751000	43	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.467661000
0.650051000	45	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.562961000
0.659294000	46	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.572204000
0.696567000	48	46.105.63.44	192.168.1.5	9001	37423	1506	TCP	09:12:57.609477000
0.697190000	49	46.105.63.44	192.168.1.5	9001	37423	1506	TCP	09:12:57.610100000
0.697199000	50	46.105.63.44	192.168.1.5	9001	37423	299	TLSv1.2	09:12:57.610109000
0.724616000	52	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.637526000
0.751686000	53	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.664596000
0.758715000	54	192.168.1.5	46.105.63.44	37423	9001	609	TLSv1.2	09:12:57.671625000
0.789765000	55	46.105.63.44	192.168.1.5	9001	37423	1506	TCP	09:12:57.702675000
0.790212000	56	46.105.63.44	192.168.1.5	9001	37423	197	TLSv1.2	09:12:57.703122000
0.817686000	58	46.105.63.44	192.168.1.5	9001	37423	609	TLSv1.2	09:12:57.730596000
