_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.820622000	10	192.168.1.5	162.125.67.7	35434	443	228	SSL	09:14:12.217800000
3.838894000	14	192.168.1.5	162.125.67.7	58849	443	228	SSL	09:14:12.236072000
3.841264000	17	192.168.1.5	162.125.67.7	48528	443	228	SSL	09:14:12.238442000
3.861228000	20	162.125.67.7	192.168.1.5	443	35434	1506	TLSv1.2	09:14:12.258406000
3.861407000	21	162.125.67.7	192.168.1.5	443	35434	1506	TCP	09:14:12.258585000
3.861539000	22	162.125.67.7	192.168.1.5	443	35434	1134	TLSv1.2	09:14:12.258717000
3.875781000	27	192.168.1.5	162.125.67.7	35434	443	192	TLSv1.2	09:14:12.272959000
3.880596000	29	162.125.67.7	192.168.1.5	443	58849	1506	TLSv1.2	09:14:12.277774000
3.881357000	31	162.125.67.7	192.168.1.5	443	58849	1506	TCP	09:14:12.278535000
3.881478000	32	162.125.67.7	192.168.1.5	443	58849	1134	TLSv1.2	09:14:12.278656000
3.881700000	34	162.125.67.7	192.168.1.5	443	48528	1506	TLSv1.2	09:14:12.278878000
3.882495000	38	162.125.67.7	192.168.1.5	443	48528	1506	TCP	09:14:12.279673000
3.882626000	39	162.125.67.7	192.168.1.5	443	48528	1134	TLSv1.2	09:14:12.279804000
3.903636000	42	192.168.1.5	162.125.67.7	58849	443	192	TLSv1.2	09:14:12.300814000
3.906644000	43	192.168.1.5	162.125.67.7	48528	443	192	TLSv1.2	09:14:12.303822000
3.914015000	44	162.125.67.7	192.168.1.5	443	35434	117	TLSv1.2	09:14:12.311193000
3.917670000	45	192.168.1.5	162.125.67.7	35434	443	819	TLSv1.2	09:14:12.314848000
3.941522000	46	162.125.67.7	192.168.1.5	443	58849	117	TLSv1.2	09:14:12.338700000
3.943707000	47	162.125.67.7	192.168.1.5	443	48528	117	TLSv1.2	09:14:12.340885000
3.944436000	48	192.168.1.5	162.125.67.7	58849	443	987	TLSv1.2	09:14:12.341614000
3.947486000	49	192.168.1.5	162.125.67.7	48528	443	568	TLSv1.2	09:14:12.344664000
4.034465000	61	192.168.1.5	162.125.67.7	48841	443	260	SSL	09:14:12.431643000
4.045063000	66	192.168.1.5	162.125.67.7	44238	443	231	SSL	09:14:12.442241000
4.045298000	67	192.168.1.5	162.125.67.7	55030	443	260	SSL	09:14:12.442476000
4.053708000	72	192.168.1.5	162.125.34.7	52906	443	235	SSL	09:14:12.450886000
4.056432000	73	192.168.1.5	162.125.67.7	37812	443	231	SSL	09:14:12.453610000
4.229063000	80	162.125.67.7	192.168.1.5	443	48841	203	TLSv1.2	09:14:12.626241000
4.229063000	81	162.125.67.7	192.168.1.5	443	44238	1506	TLSv1.2	09:14:12.626241000
4.229063000	82	162.125.67.7	192.168.1.5	443	44238	1506	TCP	09:14:12.626241000
4.229063000	83	162.125.67.7	192.168.1.5	443	44238	1134	TLSv1.2	09:14:12.626241000
4.229063000	84	162.125.67.7	192.168.1.5	443	37812	1506	TLSv1.2	09:14:12.626241000
4.229064000	85	162.125.67.7	192.168.1.5	443	37812	1506	TCP	09:14:12.626242000
4.229064000	86	162.125.67.7	192.168.1.5	443	37812	1134	TLSv1.2	09:14:12.626242000
4.229064000	87	162.125.67.7	192.168.1.5	443	35434	716	TLSv1.2	09:14:12.626242000
4.229064000	88	162.125.67.7	192.168.1.5	443	35434	100	TLSv1.2	09:14:12.626242000
4.229829000	100	162.125.67.7	192.168.1.5	443	55030	203	TLSv1.2	09:14:12.627007000
4.229859000	101	192.168.1.5	162.125.67.7	48841	443	117	TLSv1.2	09:14:12.627037000
4.230345000	105	192.168.1.5	162.125.67.7	55030	443	117	TLSv1.2	09:14:12.627523000
4.241415000	107	192.168.1.5	162.125.67.7	37812	443	192	TLSv1.2	09:14:12.638593000
4.246703000	109	162.125.34.7	192.168.1.5	443	52906	1506	TLSv1.2	09:14:12.643881000
4.246941000	110	192.168.1.5	162.125.67.7	44238	443	192	TLSv1.2	09:14:12.644119000
4.247322000	112	162.125.34.7	192.168.1.5	443	52906	1506	TCP	09:14:12.644500000
4.247458000	113	162.125.34.7	192.168.1.5	443	52906	1121	TLSv1.2	09:14:12.644636000
4.258424000	118	192.168.1.5	162.125.34.7	52906	443	192	TLSv1.2	09:14:12.655602000
4.271365000	119	162.125.67.7	192.168.1.5	443	58849	752	TLSv1.2	09:14:12.668543000
4.271811000	120	162.125.67.7	192.168.1.5	443	58849	100	TLSv1.2	09:14:12.668989000
4.280012000	122	162.125.67.7	192.168.1.5	443	37812	117	TLSv1.2	09:14:12.677190000
4.284759000	123	192.168.1.5	162.125.67.7	37812	443	570	TLSv1.2	09:14:12.681937000
4.285944000	124	162.125.67.7	192.168.1.5	443	44238	117	TLSv1.2	09:14:12.683122000
4.297119000	125	192.168.1.5	162.125.67.7	44238	443	595	TLSv1.2	09:14:12.694297000
4.317952000	127	192.168.1.5	162.125.67.7	55030	443	987	TLSv1.2	09:14:12.715130000
4.319557000	129	192.168.1.5	162.125.67.7	48841	443	622	TLSv1.2	09:14:12.716735000
4.442629000	134	162.125.67.7	192.168.1.5	443	48528	1120	TLSv1.2	09:14:12.839807000
4.442635000	135	162.125.67.7	192.168.1.5	443	48528	100	TLSv1.2	09:14:12.839813000
4.450075000	138	162.125.34.7	192.168.1.5	443	52906	340	TLSv1.2	09:14:12.847253000
4.456976000	139	192.168.1.5	162.125.34.7	52906	443	762	TLSv1.2	09:14:12.854154000
4.519498000	143	192.168.1.5	162.125.67.7	56470	443	263	SSL	09:14:12.916676000
4.557385000	145	162.125.67.7	192.168.1.5	443	56470	203	TLSv1.2	09:14:12.954563000
4.558212000	147	192.168.1.5	162.125.67.7	56470	443	117	TLSv1.2	09:14:12.955390000
4.577935000	148	162.125.67.7	192.168.1.5	443	37812	582	TLSv1.2	09:14:12.975113000
4.578710000	149	162.125.67.7	192.168.1.5	443	37812	100	TLSv1.2	09:14:12.975888000
4.619864000	151	162.125.67.7	192.168.1.5	443	48841	612	TLSv1.2	09:14:13.017042000
4.620349000	152	162.125.67.7	192.168.1.5	443	48841	100	TLSv1.2	09:14:13.017527000
4.636978000	155	192.168.1.5	162.125.67.7	56470	443	571	TLSv1.2	09:14:13.034156000
4.668163000	158	162.125.67.7	192.168.1.5	443	44238	594	TLSv1.2	09:14:13.065341000
4.668612000	159	162.125.67.7	192.168.1.5	443	44238	100	TLSv1.2	09:14:13.065790000
4.670151000	160	162.125.67.7	192.168.1.5	443	55030	869	TLSv1.2	09:14:13.067329000
4.670582000	161	162.125.67.7	192.168.1.5	443	55030	100	TLSv1.2	09:14:13.067760000
4.696155000	165	192.168.1.5	162.125.67.7	35434	443	645	TLSv1.2	09:14:13.093333000
4.700684000	167	192.168.1.5	162.125.67.7	58849	443	967	TLSv1.2	09:14:13.097862000
4.970066000	170	162.125.67.7	192.168.1.5	443	56470	764	TLSv1.2	09:14:13.367244000
4.970678000	171	162.125.67.7	192.168.1.5	443	56470	100	TLSv1.2	09:14:13.367856000
5.023194000	173	162.125.67.7	192.168.1.5	443	35434	809	TLSv1.2	09:14:13.420372000
5.023644000	174	162.125.67.7	192.168.1.5	443	35434	100	TLSv1.2	09:14:13.420822000
5.024979000	175	192.168.1.5	162.125.67.7	37812	443	619	TLSv1.2	09:14:13.422157000
5.184833000	178	162.125.67.7	192.168.1.5	443	58849	805	TLSv1.2	09:14:13.582011000
5.185265000	179	162.125.67.7	192.168.1.5	443	58849	100	TLSv1.2	09:14:13.582443000
5.297139000	181	162.125.67.7	192.168.1.5	443	37812	618	TLSv1.2	09:14:13.694317000
5.297481000	182	162.125.67.7	192.168.1.5	443	37812	100	TLSv1.2	09:14:13.694659000
7.499623000	184	192.168.1.5	162.125.67.7	37812	443	570	TLSv1.2	09:14:15.896801000
7.778257000	186	162.125.67.7	192.168.1.5	443	37812	582	TLSv1.2	09:14:16.175435000
7.778663000	187	162.125.67.7	192.168.1.5	443	37812	100	TLSv1.2	09:14:16.175841000
