_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.136704000
0.065549000	3	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.202253000
0.102213000	5	192.168.1.5	46.105.63.44	37750	9001	1152	TLSv1.2	10:03:57.238917000
0.115320000	6	46.105.63.44	192.168.1.5	9001	37750	609	TLSv1.2	10:03:57.252024000
0.171610000	9	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.308314000
0.199276000	10	46.105.63.44	192.168.1.5	9001	37750	609	TLSv1.2	10:03:57.335980000
0.206224000	13	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.342928000
0.259808000	15	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.396512000
0.277323000	16	192.168.1.5	46.105.63.44	37750	9001	1506	TLSv1.2	10:03:57.414027000
0.290487000	18	192.168.1.5	46.105.63.44	37750	9001	255	TLSv1.2	10:03:57.427191000
0.299616000	19	46.105.63.44	192.168.1.5	9001	37750	609	TLSv1.2	10:03:57.436320000
0.319587000	21	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.456291000
0.369232000	22	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.505936000
0.369672000	23	46.105.63.44	192.168.1.5	9001	37750	197	TLSv1.2	10:03:57.506376000
0.371131000	25	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.507835000
0.372186000	26	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.508890000
0.372340000	27	46.105.63.44	192.168.1.5	9001	37750	1506	TLSv1.2	10:03:57.509044000
0.372530000	28	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.509234000
0.385329000	31	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.522033000
0.396933000	32	46.105.63.44	192.168.1.5	9001	37750	1046	TLSv1.2	10:03:57.533637000
0.466486000	35	46.105.63.44	192.168.1.5	9001	37750	1152	TLSv1.2	10:03:57.603190000
0.475894000	37	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.612598000
0.476971000	38	46.105.63.44	192.168.1.5	9001	37750	1506	TLSv1.2	10:03:57.613675000
0.479653000	39	46.105.63.44	192.168.1.5	9001	37750	1506	TLSv1.2	10:03:57.616357000
0.480281000	41	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.616985000
0.488143000	42	192.168.1.5	46.105.63.44	37750	9001	1506	TLSv1.2	10:03:57.624847000
0.499922000	43	46.105.63.44	192.168.1.5	9001	37750	1002	TLSv1.2	10:03:57.636626000
0.504153000	45	192.168.1.5	46.105.63.44	37750	9001	798	TLSv1.2	10:03:57.640857000
0.531626000	47	46.105.63.44	192.168.1.5	9001	37750	609	TLSv1.2	10:03:57.668330000
0.547449000	48	192.168.1.5	46.105.63.44	37750	9001	609	TLSv1.2	10:03:57.684153000
0.603124000	49	46.105.63.44	192.168.1.5	9001	37750	609	TLSv1.2	10:03:57.739828000
0.607037000	50	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.743741000
0.609896000	52	192.168.1.5	46.105.63.44	37750	9001	1123	TLSv1.2	10:03:57.746600000
0.612247000	53	46.105.63.44	192.168.1.5	9001	37750	1506	TLSv1.2	10:03:57.748951000
0.612903000	54	46.105.63.44	192.168.1.5	9001	37750	1506	TCP	10:03:57.749607000
0.617231000	56	46.105.63.44	192.168.1.5	9001	37750	1506	TLSv1.2	10:03:57.753935000
