_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.061637000	6	192.168.1.2	35.186.213.138	35033	443	237	SSL	16:05:03.118488000
0.084695000	8	35.186.213.138	192.168.1.2	443	35033	1484	TLSv1.2	16:05:03.141546000
0.085303000	9	35.186.213.138	192.168.1.2	443	35033	1484	TLSv1.2	16:05:03.142154000
0.085306000	10	35.186.213.138	192.168.1.2	443	35033	169	TLSv1.2	16:05:03.142157000
0.097350000	15	192.168.1.2	35.186.213.138	35033	443	192	TLSv1.2	16:05:03.154201000
0.118664000	18	35.186.213.138	192.168.1.2	443	35033	350	TLSv1.2	16:05:03.175515000
0.119219000	19	35.186.213.138	192.168.1.2	443	35033	135	TLSv1.2	16:05:03.176070000
0.119346000	20	192.168.1.2	35.186.213.138	45473	443	237	SSL	16:05:03.176197000
0.123480000	21	192.168.1.2	35.186.213.138	35033	443	119	TLSv1.2	16:05:03.180331000
0.142940000	23	35.186.213.138	192.168.1.2	443	45473	1484	TLSv1.2	16:05:03.199791000
0.143610000	25	35.186.213.138	192.168.1.2	443	45473	1484	TLSv1.2	16:05:03.200461000
0.143616000	26	35.186.213.138	192.168.1.2	443	45473	169	TLSv1.2	16:05:03.200467000
0.171909000	29	192.168.1.2	35.186.213.138	45473	443	192	TLSv1.2	16:05:03.228760000
0.184264000	31	192.168.1.2	35.186.213.138	35033	443	657	TLSv1.2	16:05:03.241115000
0.192993000	32	35.186.213.138	192.168.1.2	443	45473	350	TLSv1.2	16:05:03.249844000
0.193367000	33	35.186.213.138	192.168.1.2	443	45473	135	TLSv1.2	16:05:03.250218000
0.195439000	34	192.168.1.2	35.186.213.138	45473	443	119	TLSv1.2	16:05:03.252290000
0.205843000	37	192.168.1.2	35.186.213.138	35033	443	290	TLSv1.2	16:05:03.262694000
0.205994000	38	35.186.213.138	192.168.1.2	443	35033	104	TLSv1.2	16:05:03.262845000
0.364916000	41	35.186.213.138	192.168.1.2	443	35033	440	TLSv1.2	16:05:03.421767000
0.365396000	42	35.186.213.138	192.168.1.2	443	35033	184	TLSv1.2	16:05:03.422247000
0.365406000	43	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:03.422257000
0.379682000	47	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:03.436533000
0.379839000	48	35.186.213.138	192.168.1.2	443	35033	149	TLSv1.2	16:05:03.436690000
0.380501000	49	35.186.213.138	192.168.1.2	443	35033	133	TLSv1.2	16:05:03.437352000
0.380514000	50	35.186.213.138	192.168.1.2	443	35033	104	TLSv1.2	16:05:03.437365000
0.493317000	56	192.168.1.2	35.186.213.138	35033	443	283	TLSv1.2	16:05:03.550168000
0.494361000	58	192.168.1.2	35.186.213.138	45905	443	248	SSL	16:05:03.551212000
0.501848000	61	192.168.1.2	35.186.213.138	33509	443	248	SSL	16:05:03.558699000
0.517201000	64	35.186.213.138	192.168.1.2	443	45905	1484	TLSv1.2	16:05:03.574052000
0.518364000	66	35.186.213.138	192.168.1.2	443	45905	1484	TLSv1.2	16:05:03.575215000
0.518367000	67	35.186.213.138	192.168.1.2	443	45905	175	TLSv1.2	16:05:03.575218000
0.524571000	71	35.186.213.138	192.168.1.2	443	33509	1484	TLSv1.2	16:05:03.581422000
0.525201000	73	35.186.213.138	192.168.1.2	443	33509	1484	TLSv1.2	16:05:03.582052000
0.525208000	74	35.186.213.138	192.168.1.2	443	33509	175	TLSv1.2	16:05:03.582059000
0.549662000	77	192.168.1.2	35.186.213.138	33509	443	192	TLSv1.2	16:05:03.606513000
0.551372000	78	192.168.1.2	35.186.213.138	45905	443	192	TLSv1.2	16:05:03.608223000
0.571209000	79	35.186.213.138	192.168.1.2	443	33509	350	TLSv1.2	16:05:03.628060000
0.572548000	80	35.186.213.138	192.168.1.2	443	45905	350	TLSv1.2	16:05:03.629399000
0.573599000	81	192.168.1.2	35.186.213.138	33509	443	592	TLSv1.2	16:05:03.630450000
0.574627000	82	192.168.1.2	35.186.213.138	45905	443	694	TLSv1.2	16:05:03.631478000
0.675363000	85	35.186.213.138	192.168.1.2	443	35033	150	TLSv1.2	16:05:03.732214000
0.675779000	86	35.186.213.138	192.168.1.2	443	35033	281	TLSv1.2	16:05:03.732630000
0.675786000	87	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:03.732637000
0.676669000	89	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:03.733520000
0.697563000	91	192.168.1.2	35.186.213.138	35033	443	278	TLSv1.2	16:05:03.754414000
0.750910000	93	35.186.213.138	192.168.1.2	443	45905	421	TLSv1.2	16:05:03.807761000
0.751324000	94	35.186.213.138	192.168.1.2	443	45905	413	TLSv1.2	16:05:03.808175000
0.769612000	96	35.186.213.138	192.168.1.2	443	33509	506	TLSv1.2	16:05:03.826463000
0.874133000	98	35.186.213.138	192.168.1.2	443	35033	119	TLSv1.2	16:05:03.930984000
0.874646000	99	35.186.213.138	192.168.1.2	443	35033	733	TLSv1.2	16:05:03.931497000
0.874654000	100	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:03.931505000
0.879268000	102	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:03.936119000
0.899922000	104	192.168.1.2	35.186.213.138	35033	443	290	TLSv1.2	16:05:03.956773000
1.015278000	114	192.168.1.2	68.232.35.180	39380	443	247	SSL	16:05:04.072129000
1.035828000	117	192.168.1.2	35.156.35.140	45259	443	253	SSL	16:05:04.092679000
1.038515000	119	68.232.35.180	192.168.1.2	443	39380	1506	TLSv1.2	16:05:04.095366000
1.038680000	120	68.232.35.180	192.168.1.2	443	39380	1506	TCP	16:05:04.095531000
1.038762000	121	68.232.35.180	192.168.1.2	443	39380	653	TLSv1.2	16:05:04.095613000
1.056063000	126	192.168.1.2	68.232.35.180	39380	443	192	TLSv1.2	16:05:04.112914000
1.068369000	129	35.156.35.140	192.168.1.2	443	45259	1494	TLSv1.2	16:05:04.125220000
1.069990000	131	35.156.35.140	192.168.1.2	443	45259	1494	TLSv1.2	16:05:04.126841000
1.069994000	132	35.156.35.140	192.168.1.2	443	45259	166	TLSv1.2	16:05:04.126845000
1.076903000	135	35.186.213.138	192.168.1.2	443	35033	149	TLSv1.2	16:05:04.133754000
1.077341000	136	68.232.35.180	192.168.1.2	443	39380	308	TLSv1.2	16:05:04.134192000
1.077370000	137	35.186.213.138	192.168.1.2	443	35033	236	TLSv1.2	16:05:04.134221000
1.077386000	138	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:04.134237000
1.078729000	140	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:04.135580000
1.079003000	141	192.168.1.2	68.232.35.180	39380	443	450	TLSv1.2	16:05:04.135854000
1.084743000	144	192.168.1.2	35.156.35.140	45259	443	192	TLSv1.2	16:05:04.141594000
1.084897000	145	192.168.1.2	35.156.35.140	57495	443	253	SSL	16:05:04.141748000
1.100413000	149	68.232.35.180	192.168.1.2	443	39380	394	TLSv1.2	16:05:04.157264000
1.110795000	150	192.168.1.2	35.156.35.140	38607	443	253	SSL	16:05:04.167646000
1.114622000	151	35.156.35.140	192.168.1.2	443	45259	117	TLSv1.2	16:05:04.171473000
1.117331000	153	35.156.35.140	192.168.1.2	443	57495	1506	TLSv1.2	16:05:04.174182000
1.118093000	154	35.156.35.140	192.168.1.2	443	57495	1506	TLSv1.2	16:05:04.174944000
1.118099000	155	35.156.35.140	192.168.1.2	443	57495	142	TLSv1.2	16:05:04.174950000
1.123261000	159	192.168.1.2	68.232.35.180	39380	443	399	TLSv1.2	16:05:04.180112000
1.124397000	160	192.168.1.2	35.156.35.140	45259	443	1506	TCP	16:05:04.181248000
1.124454000	161	192.168.1.2	35.156.35.140	45259	443	81	TLSv1.2	16:05:04.181305000
1.139410000	162	192.168.1.2	35.156.35.140	57495	443	192	TLSv1.2	16:05:04.196261000
1.144107000	164	35.156.35.140	192.168.1.2	443	38607	1494	TLSv1.2	16:05:04.200958000
1.144748000	165	35.156.35.140	192.168.1.2	443	38607	1494	TLSv1.2	16:05:04.201599000
1.144755000	166	35.156.35.140	192.168.1.2	443	38607	166	TLSv1.2	16:05:04.201606000
1.144817000	167	68.232.35.180	192.168.1.2	443	39380	417	TLSv1.2	16:05:04.201668000
1.145483000	171	68.232.35.180	192.168.1.2	443	39380	822	TLSv1.2	16:05:04.202334000
1.162280000	174	35.156.35.140	192.168.1.2	443	45259	861	TLSv1.2	16:05:04.219131000
1.170061000	175	35.156.35.140	192.168.1.2	443	57495	117	TLSv1.2	16:05:04.226912000
1.173612000	176	192.168.1.2	35.156.35.140	57495	443	1506	TCP	16:05:04.230463000
1.173664000	177	192.168.1.2	35.156.35.140	57495	443	81	TLSv1.2	16:05:04.230515000
1.180656000	178	192.168.1.2	35.156.35.140	38607	443	192	TLSv1.2	16:05:04.237507000
1.206941000	180	192.168.1.2	35.186.213.138	35033	443	305	TLSv1.2	16:05:04.263792000
1.208271000	182	35.156.35.140	192.168.1.2	443	57495	861	TLSv1.2	16:05:04.265122000
1.210744000	183	35.156.35.140	192.168.1.2	443	38607	117	TLSv1.2	16:05:04.267595000
1.212321000	184	192.168.1.2	35.156.35.140	38607	443	1506	TCP	16:05:04.269172000
1.212359000	185	192.168.1.2	35.156.35.140	38607	443	81	TLSv1.2	16:05:04.269210000
1.247584000	189	35.156.35.140	192.168.1.2	443	38607	861	TLSv1.2	16:05:04.304435000
1.248106000	190	192.168.1.2	35.186.213.138	45905	443	97	TLSv1.2	16:05:04.304957000
1.385431000	197	35.186.213.138	192.168.1.2	443	35033	172	TLSv1.2	16:05:04.442282000
1.385875000	198	35.186.213.138	192.168.1.2	443	35033	292	TLSv1.2	16:05:04.442726000
1.385879000	199	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:04.442730000
1.386326000	201	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:04.443177000
2.894622000	203	192.168.1.2	35.186.213.138	35033	443	283	TLSv1.2	16:05:05.951473000
3.072380000	205	35.186.213.138	192.168.1.2	443	35033	169	TLSv1.2	16:05:06.129231000
3.072984000	206	35.186.213.138	192.168.1.2	443	35033	243	TLSv1.2	16:05:06.129835000
3.073014000	207	35.186.213.138	192.168.1.2	443	35033	104	TLSv1.2	16:05:06.129865000
3.073016000	208	35.186.213.138	192.168.1.2	443	35033	112	TLSv1.2	16:05:06.129867000
3.073378000	210	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:06.130229000
3.094384000	212	192.168.1.2	35.186.213.138	35033	443	278	TLSv1.2	16:05:06.151235000
3.271198000	214	35.186.213.138	192.168.1.2	443	35033	115	TLSv1.2	16:05:06.328049000
3.271712000	215	35.186.213.138	192.168.1.2	443	35033	779	TLSv1.2	16:05:06.328563000
3.273191000	217	192.168.1.2	35.186.213.138	35033	443	112	TLSv1.2	16:05:06.330042000
