_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.283991000	58	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:36.168665000
2.350711000	60	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:36.235385000
2.354769000	62	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.239443000
2.442675000	64	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:36.327349000
2.445139000	65	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.329813000
2.612431000	67	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.497105000
2.613041000	68	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.497715000
2.613046000	69	46.105.63.44	192.168.1.2	9001	37283	299	TLSv1.2	15:33:36.497720000
2.638417000	71	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.523091000
2.790922000	73	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.675596000
2.791597000	74	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.676271000
2.791605000	75	46.105.63.44	192.168.1.2	9001	37283	299	TLSv1.2	15:33:36.676279000
2.810951000	77	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.695625000
2.925143000	79	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.809817000
2.925729000	80	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:36.810403000
2.925733000	81	46.105.63.44	192.168.1.2	9001	37283	299	TLSv1.2	15:33:36.810407000
2.953734000	83	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.838408000
3.080486000	85	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:36.965160000
3.084737000	86	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:36.969411000
3.188471000	88	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.073145000
3.269852000	90	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:37.154526000
3.277523000	91	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.162197000
3.561685000	93	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:37.446359000
3.566121000	94	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.450795000
3.574920000	95	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:37.459594000
3.592981000	96	46.105.63.44	192.168.1.2	9001	37283	197	TLSv1.2	15:33:37.477655000
3.601716000	98	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.486390000
3.710620000	100	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:37.595294000
3.721536000	101	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.606210000
3.770074000	103	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.654748000
3.799863000	105	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.684537000
3.849809000	107	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:37.734483000
3.850249000	108	46.105.63.44	192.168.1.2	9001	37283	197	TLSv1.2	15:33:37.734923000
3.866228000	110	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.750902000
3.935281000	112	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.819955000
3.964153000	114	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.848827000
3.984885000	115	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:37.869559000
3.985302000	116	46.105.63.44	192.168.1.2	9001	37283	197	TLSv1.2	15:33:37.869976000
4.030478000	119	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:37.915152000
4.130732000	121	46.105.63.44	192.168.1.2	9001	37283	609	TLSv1.2	15:33:38.015406000
4.132825000	122	192.168.1.2	46.105.63.44	37283	9001	1123	TLSv1.2	15:33:38.017499000
4.268939000	124	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:38.153613000
4.269502000	125	46.105.63.44	192.168.1.2	9001	37283	1506	TCP	15:33:38.154176000
4.269504000	126	46.105.63.44	192.168.1.2	9001	37283	299	TLSv1.2	15:33:38.154178000
4.277629000	128	192.168.1.2	46.105.63.44	37283	9001	609	TLSv1.2	15:33:38.162303000
