_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.381657000	8	192.168.1.2	35.186.213.138	45728	443	237	SSL	16:40:02.533023000
4.404313000	10	35.186.213.138	192.168.1.2	443	45728	1484	TLSv1.2	16:40:02.555679000
4.404969000	11	35.186.213.138	192.168.1.2	443	45728	1484	TLSv1.2	16:40:02.556335000
4.404975000	12	35.186.213.138	192.168.1.2	443	45728	169	TLSv1.2	16:40:02.556341000
4.436279000	16	192.168.1.2	35.186.213.138	45728	443	192	TLSv1.2	16:40:02.587645000
4.457448000	17	35.186.213.138	192.168.1.2	443	45728	350	TLSv1.2	16:40:02.608814000
4.457959000	18	35.186.213.138	192.168.1.2	443	45728	135	TLSv1.2	16:40:02.609325000
4.477430000	19	192.168.1.2	35.186.213.138	45728	443	119	TLSv1.2	16:40:02.628796000
4.538728000	21	192.168.1.2	35.186.213.138	45728	443	569	TLSv1.2	16:40:02.690094000
4.559964000	23	35.186.213.138	192.168.1.2	443	45728	104	TLSv1.2	16:40:02.711330000
4.713694000	25	35.186.213.138	192.168.1.2	443	45728	270	TLSv1.2	16:40:02.865060000
4.714148000	26	35.186.213.138	192.168.1.2	443	45728	171	TLSv1.2	16:40:02.865514000
4.714155000	27	35.186.213.138	192.168.1.2	443	45728	112	TLSv1.2	16:40:02.865521000
4.717525000	31	192.168.1.2	35.186.213.138	45728	443	112	TLSv1.2	16:40:02.868891000
4.780441000	33	192.168.1.2	35.186.213.138	45728	443	283	TLSv1.2	16:40:02.931807000
4.957718000	35	35.186.213.138	192.168.1.2	443	45728	150	TLSv1.2	16:40:03.109084000
4.958174000	36	35.186.213.138	192.168.1.2	443	45728	281	TLSv1.2	16:40:03.109540000
4.958177000	37	35.186.213.138	192.168.1.2	443	45728	112	TLSv1.2	16:40:03.109543000
4.958893000	39	192.168.1.2	35.186.213.138	45728	443	112	TLSv1.2	16:40:03.110259000
4.979767000	41	192.168.1.2	35.186.213.138	45728	443	278	TLSv1.2	16:40:03.131133000
5.083632000	52	192.168.1.2	68.232.35.180	48713	443	247	SSL	16:40:03.234998000
5.084879000	54	192.168.1.2	35.156.35.140	47250	443	253	SSL	16:40:03.236245000
5.106323000	56	68.232.35.180	192.168.1.2	443	48713	1506	TLSv1.2	16:40:03.257689000
5.106966000	58	68.232.35.180	192.168.1.2	443	48713	1506	TCP	16:40:03.258332000
5.107024000	59	68.232.35.180	192.168.1.2	443	48713	653	TLSv1.2	16:40:03.258390000
5.117409000	63	35.156.35.140	192.168.1.2	443	47250	1506	TLSv1.2	16:40:03.268775000
5.118114000	64	35.156.35.140	192.168.1.2	443	47250	1506	TLSv1.2	16:40:03.269480000
5.118123000	65	35.156.35.140	192.168.1.2	443	47250	142	TLSv1.2	16:40:03.269489000
5.151431000	69	192.168.1.2	35.156.35.140	47250	443	192	TLSv1.2	16:40:03.302797000
5.158483000	70	35.186.213.138	192.168.1.2	443	45728	150	TLSv1.2	16:40:03.309849000
5.159046000	71	35.186.213.138	192.168.1.2	443	45728	733	TLSv1.2	16:40:03.310412000
5.159055000	72	35.186.213.138	192.168.1.2	443	45728	112	TLSv1.2	16:40:03.310421000
5.160683000	74	192.168.1.2	35.186.213.138	45728	443	112	TLSv1.2	16:40:03.312049000
5.169612000	75	192.168.1.2	68.232.35.180	48713	443	192	TLSv1.2	16:40:03.320978000
5.181898000	76	35.156.35.140	192.168.1.2	443	47250	117	TLSv1.2	16:40:03.333264000
5.189491000	78	192.168.1.2	35.186.213.138	45728	443	290	TLSv1.2	16:40:03.340857000
5.190814000	79	68.232.35.180	192.168.1.2	443	48713	308	TLSv1.2	16:40:03.342180000
5.191380000	80	192.168.1.2	35.156.35.140	47250	443	1506	TCP	16:40:03.342746000
