_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.178884000	3	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:35:59.711743000
2.681478000	5	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:00.214337000
2.687874000	6	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.220733000
2.867444000	8	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.400303000
2.897831000	10	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.430690000
3.006956000	12	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.539815000
3.034739000	14	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.567598000
3.177510000	16	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:00.710369000
3.178128000	17	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:00.710987000
3.178131000	18	46.105.63.44	192.168.1.2	9001	37298	299	TLSv1.2	15:36:00.710990000
3.187568000	20	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.720427000
3.275788000	22	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:00.808647000
3.277973000	23	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:00.810832000
3.757167000	25	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.290026000
3.757701000	26	46.105.63.44	192.168.1.2	9001	37298	197	TLSv1.2	15:36:01.290560000
3.761016000	28	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.293875000
3.788732000	30	192.168.1.2	46.105.63.44	37298	9001	1152	TLSv1.2	15:36:01.321591000
3.862302000	32	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:01.395161000
3.867931000	33	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.400790000
3.874650000	34	192.168.1.2	46.105.63.44	37298	9001	1506	TLSv1.2	15:36:01.407509000
3.905782000	36	192.168.1.2	46.105.63.44	37298	9001	255	TLSv1.2	15:36:01.438641000
3.951076000	37	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.483935000
3.951678000	38	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.484537000
3.951768000	39	46.105.63.44	192.168.1.2	9001	37298	813	TLSv1.2	15:36:01.484627000
3.958912000	41	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.491771000
4.133229000	43	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.666088000
4.133809000	44	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.666668000
4.133813000	45	46.105.63.44	192.168.1.2	9001	37298	299	TLSv1.2	15:36:01.666672000
4.140252000	47	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.673111000
4.309730000	49	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.842589000
4.310333000	50	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.843192000
4.310417000	51	46.105.63.44	192.168.1.2	9001	37298	813	TLSv1.2	15:36:01.843276000
4.317231000	53	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.850090000
4.445689000	55	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:01.978548000
4.446184000	56	46.105.63.44	192.168.1.2	9001	37298	1225	TLSv1.2	15:36:01.979043000
4.452886000	58	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:01.985745000
4.473160000	59	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:02.006019000
4.744471000	64	46.105.63.44	192.168.1.2	9001	37298	1123	TLSv1.2	15:36:02.277330000
4.747555000	66	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:02.280414000
4.774472000	68	192.168.1.2	46.105.63.44	37298	9001	1152	TLSv1.2	15:36:02.307331000
4.817301000	70	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:02.350160000
4.819514000	71	192.168.1.2	46.105.63.44	37298	9001	1506	TCP	15:36:02.352373000
4.819535000	72	192.168.1.2	46.105.63.44	37298	9001	197	TLSv1.2	15:36:02.352394000
4.908443000	74	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:02.441302000
4.911186000	75	192.168.1.2	46.105.63.44	37298	9001	1506	TCP	15:36:02.444045000
4.911205000	76	192.168.1.2	46.105.63.44	37298	9001	197	TLSv1.2	15:36:02.444064000
5.005173000	78	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:02.538032000
5.011133000	79	192.168.1.2	46.105.63.44	37298	9001	1506	TCP	15:36:02.543992000
5.011166000	80	192.168.1.2	46.105.63.44	37298	9001	197	TLSv1.2	15:36:02.544025000
5.063544000	82	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:02.596403000
5.504418000	84	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:03.037277000
5.504899000	85	46.105.63.44	192.168.1.2	9001	37298	197	TLSv1.2	15:36:03.037758000
5.518209000	88	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:03.051068000
5.571782000	89	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:03.104641000
5.572310000	90	46.105.63.44	192.168.1.2	9001	37298	711	TLSv1.2	15:36:03.105169000
5.572899000	91	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:03.105758000
5.638537000	94	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:03.171396000
5.878231000	96	192.168.1.2	46.105.63.44	37298	9001	1506	TCP	15:36:03.411090000
5.878281000	97	192.168.1.2	46.105.63.44	37298	9001	197	TLSv1.2	15:36:03.411140000
5.934217000	100	46.105.63.44	192.168.1.2	9001	37298	1506	TCP	15:36:03.467076000
5.934664000	102	46.105.63.44	192.168.1.2	9001	37298	197	TLSv1.2	15:36:03.467523000
6.198673000	104	46.105.63.44	192.168.1.2	9001	37298	1123	TLSv1.2	15:36:03.731532000
6.210067000	106	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:03.742926000
6.259117000	107	46.105.63.44	192.168.1.2	9001	37298	1123	TLSv1.2	15:36:03.791976000
6.259729000	108	192.168.1.2	46.105.63.44	37298	9001	609	TLSv1.2	15:36:03.792588000
6.809352000	110	46.105.63.44	192.168.1.2	9001	37298	609	TLSv1.2	15:36:04.342211000
