_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.035586000	3	192.168.1.5	35.186.213.138	51259	443	74	TCP	15:22:11.952583000
0.056912000	4	35.186.213.138	192.168.1.5	443	51259	74	TCP	15:22:11.973909000
0.057436000	5	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:11.974433000
0.058910000	6	192.168.1.5	35.186.213.138	51259	443	237	SSL	15:22:11.975907000
0.084707000	7	35.186.213.138	192.168.1.5	443	51259	66	TCP	15:22:12.001704000
0.085456000	8	35.186.213.138	192.168.1.5	443	51259	1484	TLSv1.2	15:22:12.002453000
0.085629000	9	35.186.213.138	192.168.1.5	443	51259	1484	TLSv1.2	15:22:12.002626000
0.085631000	10	35.186.213.138	192.168.1.5	443	51259	169	TLSv1.2	15:22:12.002628000
0.085917000	11	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.002914000
0.085962000	12	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.002959000
0.085971000	13	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.002968000
0.107027000	14	192.168.1.5	35.186.213.138	51259	443	192	TLSv1.2	15:22:12.024024000
0.127707000	15	35.186.213.138	192.168.1.5	443	51259	350	TLSv1.2	15:22:12.044704000
0.128141000	16	35.186.213.138	192.168.1.5	443	51259	135	TLSv1.2	15:22:12.045138000
0.152500000	17	192.168.1.5	35.186.213.138	51259	443	119	TLSv1.2	15:22:12.069497000
0.213759000	18	35.186.213.138	192.168.1.5	443	51259	66	TCP	15:22:12.130756000
0.214981000	19	192.168.1.5	35.186.213.138	51259	443	569	TLSv1.2	15:22:12.131978000
0.235647000	20	35.186.213.138	192.168.1.5	443	51259	66	TCP	15:22:12.152644000
0.236358000	21	35.186.213.138	192.168.1.5	443	51259	104	TLSv1.2	15:22:12.153355000
0.280100000	22	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.197097000
0.391313000	23	35.186.213.138	192.168.1.5	443	51259	270	TLSv1.2	15:22:12.308310000
0.391772000	24	35.186.213.138	192.168.1.5	443	51259	171	TLSv1.2	15:22:12.308769000
0.391774000	25	35.186.213.138	192.168.1.5	443	51259	112	TLSv1.2	15:22:12.308771000
0.391793000	26	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.308790000
0.392652000	27	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.309649000
0.392679000	28	192.168.1.5	35.186.213.138	51259	443	66	TCP	15:22:12.309676000
0.393797000	29	192.168.1.5	35.186.213.138	51259	443	112	TLSv1.2	15:22:12.310794000
0.453891000	30	35.186.213.138	192.168.1.5	443	51259	66	TCP	15:22:12.370888000
0.455554000	31	192.168.1.5	35.186.213.138	51259	443	283	TLSv1.2	15:22:12.372551000
0.475848000	32	35.186.213.138	192.168.1.5	443	51259	66	TCP	15:22:12.392845000
