_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.465704000	66	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:12.656911000
4.492873000	67	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:12.684080000
4.844432000	68	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:13.035639000
4.857536000	69	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.048743000
4.884639000	70	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.075846000
4.913332000	71	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.104539000
4.942734000	72	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.133941000
4.943317000	73	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.134524000
4.973892000	74	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.165099000
5.076936000	75	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.268143000
5.103766000	76	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.294973000
5.104278000	77	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.295485000
5.131054000	78	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.322261000
5.326181000	79	46.105.63.44	192.168.1.5	9001	39063	1506	TCP	15:20:13.517388000
5.328072000	80	46.105.63.44	192.168.1.5	9001	39063	1506	TCP	15:20:13.519279000
5.328073000	81	46.105.63.44	192.168.1.5	9001	39063	299	TLSv1.2	15:20:13.519280000
5.328351000	82	192.168.1.5	46.105.63.44	39063	9001	66	TCP	15:20:13.519558000
5.336301000	83	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.527508000
5.340357000	85	192.168.1.5	46.105.63.44	39063	9001	78	TCP	15:20:13.531564000
5.402894000	86	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.594101000
5.419214000	87	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:13.610421000
5.419584000	88	192.168.1.5	46.105.63.44	39063	9001	66	TCP	15:20:13.610791000
5.421765000	89	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.612972000
5.484843000	90	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.676050000
5.509254000	91	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:13.700461000
5.511329000	92	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.702536000
5.568945000	93	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.760152000
5.588689000	94	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:13.779896000
5.590485000	95	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.781692000
5.658541000	96	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.849748000
5.667441000	97	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:13.858648000
5.669225000	98	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:13.860432000
5.737367000	99	46.105.63.44	192.168.1.5	9001	39063	66	TCP	15:20:13.928574000
5.820693000	100	46.105.63.44	192.168.1.5	9001	39063	609	TLSv1.2	15:20:14.011900000
5.824431000	101	192.168.1.5	46.105.63.44	39063	9001	609	TLSv1.2	15:20:14.015638000
