_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.226075000	8	192.168.1.2	35.186.213.138	36297	443	237	SSL	16:09:48.629608000
3.248818000	10	35.186.213.138	192.168.1.2	443	36297	1484	TLSv1.2	16:09:48.652351000
3.249380000	12	35.186.213.138	192.168.1.2	443	36297	1484	TLSv1.2	16:09:48.652913000
3.249383000	13	35.186.213.138	192.168.1.2	443	36297	169	TLSv1.2	16:09:48.652916000
3.255595000	16	192.168.1.2	35.186.213.138	36297	443	192	TLSv1.2	16:09:48.659128000
3.276271000	17	35.186.213.138	192.168.1.2	443	36297	350	TLSv1.2	16:09:48.679804000
3.276687000	18	35.186.213.138	192.168.1.2	443	36297	135	TLSv1.2	16:09:48.680220000
3.295435000	19	192.168.1.2	35.186.213.138	36297	443	119	TLSv1.2	16:09:48.698968000
3.360634000	21	192.168.1.2	35.186.213.138	36297	443	569	TLSv1.2	16:09:48.764167000
3.382073000	23	35.186.213.138	192.168.1.2	443	36297	104	TLSv1.2	16:09:48.785606000
3.537506000	25	35.186.213.138	192.168.1.2	443	36297	270	TLSv1.2	16:09:48.941039000
3.540353000	27	35.186.213.138	192.168.1.2	443	36297	171	TLSv1.2	16:09:48.943886000
3.540380000	28	35.186.213.138	192.168.1.2	443	36297	112	TLSv1.2	16:09:48.943913000
3.542350000	31	192.168.1.2	35.186.213.138	36297	443	112	TLSv1.2	16:09:48.945883000
3.605372000	33	192.168.1.2	35.186.213.138	36297	443	283	TLSv1.2	16:09:49.008905000
3.784728000	35	35.186.213.138	192.168.1.2	443	36297	150	TLSv1.2	16:09:49.188261000
3.785124000	36	35.186.213.138	192.168.1.2	443	36297	243	TLSv1.2	16:09:49.188657000
3.785129000	37	35.186.213.138	192.168.1.2	443	36297	104	TLSv1.2	16:09:49.188662000
3.785136000	38	35.186.213.138	192.168.1.2	443	36297	112	TLSv1.2	16:09:49.188669000
3.786248000	40	192.168.1.2	35.186.213.138	36297	443	112	TLSv1.2	16:09:49.189781000
3.807262000	42	192.168.1.2	35.186.213.138	36297	443	278	TLSv1.2	16:09:49.210795000
3.895961000	52	192.168.1.2	68.232.35.180	45529	443	247	SSL	16:09:49.299494000
3.910789000	55	192.168.1.2	18.194.8.220	46121	443	253	SSL	16:09:49.314322000
3.919611000	57	68.232.35.180	192.168.1.2	443	45529	1506	TLSv1.2	16:09:49.323144000
3.920171000	58	68.232.35.180	192.168.1.2	443	45529	1506	TCP	16:09:49.323704000
3.920220000	59	68.232.35.180	192.168.1.2	443	45529	653	TLSv1.2	16:09:49.323753000
3.945168000	64	18.194.8.220	192.168.1.2	443	46121	1506	TLSv1.2	16:09:49.348701000
3.945350000	65	18.194.8.220	192.168.1.2	443	46121	1506	TLSv1.2	16:09:49.348883000
3.945353000	66	18.194.8.220	192.168.1.2	443	46121	142	TLSv1.2	16:09:49.348886000
3.971880000	70	192.168.1.2	68.232.35.180	45529	443	192	TLSv1.2	16:09:49.375413000
3.985701000	71	35.186.213.138	192.168.1.2	443	36297	173	TLSv1.2	16:09:49.389234000
3.986215000	72	35.186.213.138	192.168.1.2	443	36297	733	TLSv1.2	16:09:49.389748000
3.986222000	73	35.186.213.138	192.168.1.2	443	36297	112	TLSv1.2	16:09:49.389755000
