_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.719433000	3	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:08.281731000
2.904261000	5	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:08.466559000
2.914996000	7	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:08.477294000
3.415266000	9	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:08.977564000
3.416124000	10	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:08.978422000
3.416757000	11	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:08.979055000
3.416841000	12	46.105.63.44	192.168.1.2	9001	37313	813	TLSv1.2	15:38:08.979139000
3.442906000	15	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.005204000
3.474230000	16	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:09.036528000
3.480225000	17	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.042523000
3.608910000	19	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:09.171208000
3.612759000	20	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.175057000
3.706205000	22	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.268503000
3.733684000	24	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.295982000
3.823254000	26	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:09.385552000
3.829489000	27	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.391787000
3.888112000	29	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:09.450410000
3.888701000	30	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:09.450999000
3.888754000	31	46.105.63.44	192.168.1.2	9001	37313	813	TLSv1.2	15:38:09.451052000
3.902690000	33	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.464988000
3.969035000	35	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.531333000
4.114113000	37	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:09.676411000
4.114499000	38	46.105.63.44	192.168.1.2	9001	37313	197	TLSv1.2	15:38:09.676797000
4.119403000	40	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.681701000
4.145458000	41	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:09.707756000
4.147066000	42	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:09.709364000
4.147135000	43	46.105.63.44	192.168.1.2	9001	37313	813	TLSv1.2	15:38:09.709433000
4.158040000	46	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.720338000
4.185520000	47	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:09.747818000
4.189251000	48	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.751549000
4.259135000	50	192.168.1.2	46.105.63.44	37313	9001	1152	TLSv1.2	15:38:09.821433000
4.362498000	52	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:09.924796000
4.364781000	53	192.168.1.2	46.105.63.44	37313	9001	1123	TLSv1.2	15:38:09.927079000
4.395765000	55	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:09.958063000
4.397594000	56	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:09.959892000
4.585854000	58	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:10.148152000
4.586510000	59	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:10.148808000
4.586598000	60	46.105.63.44	192.168.1.2	9001	37313	813	TLSv1.2	15:38:10.148896000
4.592751000	62	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.155049000
4.605258000	63	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:10.167556000
4.619883000	64	46.105.63.44	192.168.1.2	9001	37313	1225	TLSv1.2	15:38:10.182181000
4.629865000	66	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.192163000
4.880850000	68	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.443148000
4.883424000	69	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.445722000
4.910493000	70	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.472791000
4.910892000	71	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.473190000
4.976777000	73	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.539075000
4.989223000	74	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.551521000
4.991855000	75	192.168.1.2	46.105.63.44	37313	9001	1506	TCP	15:38:10.554153000
5.003908000	77	192.168.1.2	46.105.63.44	37313	9001	197	TLSv1.2	15:38:10.566206000
5.080483000	80	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.642781000
5.082726000	81	192.168.1.2	46.105.63.44	37313	9001	1506	TCP	15:38:10.645024000
5.082751000	82	192.168.1.2	46.105.63.44	37313	9001	197	TLSv1.2	15:38:10.645049000
5.193839000	84	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.756137000
5.195807000	85	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.758105000
5.290523000	87	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:10.852821000
5.292571000	88	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.854869000
5.321184000	90	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.883482000
5.340002000	91	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:10.902300000
5.385473000	94	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:10.947771000
5.405067000	95	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:10.967365000
5.464489000	98	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:11.026787000
5.467124000	100	192.168.1.2	46.105.63.44	37313	9001	1506	TCP	15:38:11.029422000
5.467148000	101	192.168.1.2	46.105.63.44	37313	9001	711	TLSv1.2	15:38:11.029446000
5.687321000	104	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:11.249619000
5.687728000	105	46.105.63.44	192.168.1.2	9001	37313	197	TLSv1.2	15:38:11.250026000
5.716547000	107	192.168.1.2	46.105.63.44	37313	9001	1506	TCP	15:38:11.278845000
5.716617000	108	192.168.1.2	46.105.63.44	37313	9001	197	TLSv1.2	15:38:11.278915000
5.728402000	109	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:11.290700000
5.745404000	111	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:11.307702000
5.802834000	113	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:11.365132000
5.993771000	115	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:11.556069000
6.135299000	117	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:11.697597000
6.138894000	119	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:11.701192000
7.125060000	121	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:12.687358000
7.408578000	123	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:12.970876000
7.494456000	125	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:13.056754000
7.503805000	126	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:13.066103000
7.777765000	128	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:13.340063000
7.782925000	129	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:13.345223000
7.811985000	131	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:13.374283000
8.235728000	133	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:13.798026000
8.247010000	134	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:13.809308000
8.277095000	136	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:13.839393000
8.946207000	138	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:14.508505000
8.955879000	139	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:14.518177000
10.229025000	141	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:15.791323000
10.679815000	143	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:16.242113000
10.704930000	144	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:16.267228000
10.732845000	146	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:16.295143000
11.136839000	148	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:16.699137000
11.141108000	149	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:16.703406000
11.168659000	151	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:16.730957000
11.700734000	153	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:17.263032000
11.705082000	154	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:17.267380000
12.119682000	156	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:17.681980000
12.298749000	158	46.105.63.44	192.168.1.2	9001	37313	609	TLSv1.2	15:38:17.861047000
12.303820000	159	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:17.866118000
12.595719000	161	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:18.158017000
12.596308000	162	46.105.63.44	192.168.1.2	9001	37313	1506	TCP	15:38:18.158606000
12.596311000	163	46.105.63.44	192.168.1.2	9001	37313	299	TLSv1.2	15:38:18.158609000
12.615456000	165	192.168.1.2	46.105.63.44	37313	9001	609	TLSv1.2	15:38:18.177754000
12.619398000	166	192.168.1.2	46.105.63.44	37313	9001	1506	TCP	15:38:18.181696000
12.645541000	168	192.168.1.2	46.105.63.44	37313	9001	197	TLSv1.2	15:38:18.207839000
12.922866000	171	46.105.63.44	192.168.1.2	9001	37313	1123	TLSv1.2	15:38:18.485164000
