_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.063162000	6	192.168.1.2	31.13.86.8	60282	443	250	SSL	16:29:17.363854000
0.085776000	8	31.13.86.8	192.168.1.2	443	60282	1464	TLSv1.2	16:29:17.386468000
0.086339000	10	31.13.86.8	192.168.1.2	443	60282	1464	TCP	16:29:17.387031000
0.086420000	11	31.13.86.8	192.168.1.2	443	60282	765	TLSv1.2	16:29:17.387112000
0.095358000	14	192.168.1.2	31.13.86.8	60282	443	192	TLSv1.2	16:29:17.396050000
0.116321000	15	31.13.86.8	192.168.1.2	443	60282	324	TLSv1.2	16:29:17.417013000
0.117016000	16	192.168.1.2	31.13.86.8	60282	443	557	TLSv1.2	16:29:17.417708000
0.195726000	18	31.13.86.8	192.168.1.2	443	60282	1125	TLSv1.2	16:29:17.496418000
0.560216000	23	192.168.1.2	35.186.213.138	57920	443	237	SSL	16:29:17.860908000
0.582968000	25	35.186.213.138	192.168.1.2	443	57920	1484	TLSv1.2	16:29:17.883660000
0.583656000	26	35.186.213.138	192.168.1.2	443	57920	1484	TLSv1.2	16:29:17.884348000
0.583664000	27	35.186.213.138	192.168.1.2	443	57920	169	TLSv1.2	16:29:17.884356000
0.601284000	31	192.168.1.2	35.186.213.138	57920	443	192	TLSv1.2	16:29:17.901976000
0.623012000	32	35.186.213.138	192.168.1.2	443	57920	350	TLSv1.2	16:29:17.923704000
0.623713000	33	35.186.213.138	192.168.1.2	443	57920	135	TLSv1.2	16:29:17.924405000
0.630529000	34	192.168.1.2	35.186.213.138	57920	443	119	TLSv1.2	16:29:17.931221000
0.692856000	36	192.168.1.2	35.186.213.138	57920	443	569	TLSv1.2	16:29:17.993548000
0.714519000	38	35.186.213.138	192.168.1.2	443	57920	104	TLSv1.2	16:29:18.015211000
0.867925000	40	35.186.213.138	192.168.1.2	443	57920	270	TLSv1.2	16:29:18.168617000
0.868339000	42	35.186.213.138	192.168.1.2	443	57920	171	TLSv1.2	16:29:18.169031000
0.868360000	43	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:18.169052000
0.869651000	46	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:18.170343000
0.931849000	48	192.168.1.2	35.186.213.138	57920	443	283	TLSv1.2	16:29:18.232541000
1.058160000	58	192.168.1.2	68.232.35.180	35761	443	247	SSL	16:29:18.358852000
1.064982000	61	192.168.1.2	52.58.41.71	56705	443	253	SSL	16:29:18.365674000
1.080914000	63	68.232.35.180	192.168.1.2	443	35761	1506	TLSv1.2	16:29:18.381606000
1.081671000	65	68.232.35.180	192.168.1.2	443	35761	1506	TCP	16:29:18.382363000
1.081726000	66	68.232.35.180	192.168.1.2	443	35761	653	TLSv1.2	16:29:18.382418000
1.097362000	70	52.58.41.71	192.168.1.2	443	56705	1494	TLSv1.2	16:29:18.398054000
1.097927000	71	52.58.41.71	192.168.1.2	443	56705	1494	TLSv1.2	16:29:18.398619000
1.097930000	72	52.58.41.71	192.168.1.2	443	56705	166	TLSv1.2	16:29:18.398622000
1.102017000	76	192.168.1.2	68.232.35.180	35761	443	192	TLSv1.2	16:29:18.402709000
1.110898000	77	35.186.213.138	192.168.1.2	443	57920	173	TLSv1.2	16:29:18.411590000
1.111429000	78	35.186.213.138	192.168.1.2	443	57920	281	TLSv1.2	16:29:18.412121000
1.111463000	79	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:18.412155000
1.112722000	81	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:18.413414000
1.114034000	82	192.168.1.2	52.58.41.71	56705	443	192	TLSv1.2	16:29:18.414726000
1.123675000	83	68.232.35.180	192.168.1.2	443	35761	308	TLSv1.2	16:29:18.424367000
1.126585000	84	192.168.1.2	68.232.35.180	35761	443	450	TLSv1.2	16:29:18.427277000
1.133956000	87	192.168.1.2	35.186.213.138	57920	443	278	TLSv1.2	16:29:18.434648000
1.143869000	88	52.58.41.71	192.168.1.2	443	56705	117	TLSv1.2	16:29:18.444561000
1.145731000	89	192.168.1.2	52.58.41.71	56705	443	1506	TCP	16:29:18.446423000
1.146156000	90	192.168.1.2	52.58.41.71	56705	443	81	TLSv1.2	16:29:18.446848000
1.149117000	91	68.232.35.180	192.168.1.2	443	35761	394	TLSv1.2	16:29:18.449809000
1.160239000	95	192.168.1.2	52.58.41.71	53227	443	285	SSL	16:29:18.460931000
1.179869000	98	52.58.41.71	192.168.1.2	443	56705	861	TLSv1.2	16:29:18.480561000
1.180687000	99	192.168.1.2	68.232.35.180	35761	443	399	TLSv1.2	16:29:18.481379000
1.190801000	101	52.58.41.71	192.168.1.2	443	53227	211	TLSv1.2	16:29:18.491493000
1.191876000	103	192.168.1.2	52.58.41.71	53227	443	117	TLSv1.2	16:29:18.492568000
1.192338000	106	192.168.1.2	52.58.41.71	53227	443	1506	TCP	16:29:18.493030000
1.195708000	107	192.168.1.2	52.58.41.71	45796	443	285	SSL	16:29:18.496400000
1.202239000	108	68.232.35.180	192.168.1.2	443	35761	417	TLSv1.2	16:29:18.502931000
1.202813000	109	68.232.35.180	192.168.1.2	443	35761	822	TLSv1.2	16:29:18.503505000
1.223317000	113	192.168.1.2	52.58.41.71	53227	443	81	TLSv1.2	16:29:18.524009000
1.226279000	115	52.58.41.71	192.168.1.2	443	45796	211	TLSv1.2	16:29:18.526971000
1.227366000	117	192.168.1.2	52.58.41.71	45796	443	117	TLSv1.2	16:29:18.528058000
1.227767000	118	192.168.1.2	52.58.41.71	45796	443	1506	TCP	16:29:18.528459000
1.253498000	119	52.58.41.71	192.168.1.2	443	53227	861	TLSv1.2	16:29:18.554190000
1.258382000	121	192.168.1.2	52.58.41.71	45796	443	81	TLSv1.2	16:29:18.559074000
1.289195000	123	52.58.41.71	192.168.1.2	443	45796	861	TLSv1.2	16:29:18.589887000
1.314210000	125	35.186.213.138	192.168.1.2	443	57920	119	TLSv1.2	16:29:18.614902000
1.314721000	127	35.186.213.138	192.168.1.2	443	57920	779	TLSv1.2	16:29:18.615413000
1.315132000	129	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:18.615824000
1.336574000	132	192.168.1.2	35.186.213.138	57920	443	290	TLSv1.2	16:29:18.637266000
1.515166000	134	35.186.213.138	192.168.1.2	443	57920	149	TLSv1.2	16:29:18.815858000
1.515710000	135	35.186.213.138	192.168.1.2	443	57920	236	TLSv1.2	16:29:18.816402000
1.515734000	136	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:18.816426000
1.516164000	138	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:18.816856000
3.123447000	140	192.168.1.2	35.186.213.138	57920	443	283	TLSv1.2	16:29:20.424139000
3.310670000	142	35.186.213.138	192.168.1.2	443	57920	169	TLSv1.2	16:29:20.611362000
3.311104000	143	35.186.213.138	192.168.1.2	443	57920	281	TLSv1.2	16:29:20.611796000
3.311109000	144	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:20.611801000
3.312653000	146	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:20.613345000
3.346059000	148	192.168.1.2	35.186.213.138	57920	443	278	TLSv1.2	16:29:20.646751000
3.528630000	150	35.186.213.138	192.168.1.2	443	57920	115	TLSv1.2	16:29:20.829322000
3.529263000	151	35.186.213.138	192.168.1.2	443	57920	779	TLSv1.2	16:29:20.829955000
3.534044000	153	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:20.834736000
3.554766000	155	192.168.1.2	35.186.213.138	57920	443	290	TLSv1.2	16:29:20.855458000
3.732532000	157	35.186.213.138	192.168.1.2	443	57920	145	TLSv1.2	16:29:21.033224000
3.732929000	158	35.186.213.138	192.168.1.2	443	57920	236	TLSv1.2	16:29:21.033621000
3.732937000	159	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:21.033629000
3.736107000	161	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:21.036799000
3.782141000	163	192.168.1.2	35.186.213.138	57920	443	283	TLSv1.2	16:29:21.082833000
4.895730000	165	35.186.213.138	192.168.1.2	443	57920	145	TLSv1.2	16:29:22.196422000
4.896021000	166	35.186.213.138	192.168.1.2	443	57920	281	TLSv1.2	16:29:22.196713000
4.896328000	167	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:22.197020000
4.896631000	169	35.186.213.138	192.168.1.2	443	57920	145	TLSv1.2	16:29:22.197323000
4.897031000	170	35.186.213.138	192.168.1.2	443	57920	145	TLSv1.2	16:29:22.197723000
4.900899000	175	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:22.201591000
4.939531000	180	192.168.1.2	35.186.213.138	32858	443	248	SSL	16:29:22.240223000
4.962422000	182	35.186.213.138	192.168.1.2	443	32858	1484	TLSv1.2	16:29:22.263114000
4.963053000	184	35.186.213.138	192.168.1.2	443	32858	1484	TLSv1.2	16:29:22.263745000
4.963057000	185	35.186.213.138	192.168.1.2	443	32858	175	TLSv1.2	16:29:22.263749000
4.977945000	188	192.168.1.2	35.186.213.138	32858	443	192	TLSv1.2	16:29:22.278637000
4.999137000	189	35.186.213.138	192.168.1.2	443	32858	350	TLSv1.2	16:29:22.299829000
5.001095000	190	192.168.1.2	35.186.213.138	32858	443	694	TLSv1.2	16:29:22.301787000
5.057972000	191	192.168.1.2	35.186.213.138	57920	443	415	TLSv1.2	16:29:22.358664000
5.178683000	194	35.186.213.138	192.168.1.2	443	32858	739	TLSv1.2	16:29:22.479375000
5.180110000	195	192.168.1.2	31.13.86.8	60282	443	97	TLSv1.2	16:29:22.480802000
5.201685000	198	31.13.86.8	192.168.1.2	443	60282	97	TLSv1.2	16:29:22.502377000
5.247132000	205	35.186.213.138	192.168.1.2	443	57920	141	TLSv1.2	16:29:22.547824000
5.247637000	206	35.186.213.138	192.168.1.2	443	57920	237	TLSv1.2	16:29:22.548329000
5.247650000	207	35.186.213.138	192.168.1.2	443	57920	112	TLSv1.2	16:29:22.548342000
5.249805000	209	192.168.1.2	35.186.213.138	57920	443	112	TLSv1.2	16:29:22.550497000
