_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.906308000	5	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:37.099427000
4.051670000	7	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:37.244789000
4.060667000	9	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:37.253786000
4.264979000	11	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:37.458098000
4.297104000	12	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:37.490223000
4.297720000	14	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:37.490839000
4.324988000	15	46.105.63.44	192.168.1.2	9001	37542	842	TLSv1.2	16:28:37.518107000
4.353727000	17	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:37.546846000
4.580222000	19	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:37.773341000
4.583338000	20	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:37.776457000
4.611244000	22	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:37.804363000
4.967241000	24	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.160360000
4.983501000	25	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.176620000
5.013855000	27	192.168.1.2	46.105.63.44	37542	9001	1152	TLSv1.2	16:28:38.206974000
5.015855000	28	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:38.208974000
5.016316000	29	46.105.63.44	192.168.1.2	9001	37542	197	TLSv1.2	16:28:38.209435000
5.091906000	32	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.285025000
5.164239000	34	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.357358000
5.261809000	36	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:38.454928000
5.262375000	38	46.105.63.44	192.168.1.2	9001	37542	1225	TLSv1.2	16:28:38.455494000
5.270640000	40	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.463759000
5.303772000	42	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.496891000
5.305482000	43	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.498601000
5.379500000	45	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.572619000
5.381543000	46	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.574662000
5.422857000	48	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.615976000
5.424701000	49	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.617820000
5.507876000	51	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.700995000
5.513678000	52	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.706797000
5.521727000	53	192.168.1.2	46.105.63.44	37542	9001	1506	TLSv1.2	16:28:38.714846000
5.541030000	55	192.168.1.2	46.105.63.44	37542	9001	255	TLSv1.2	16:28:38.734149000
5.568144000	58	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.761263000
5.584874000	59	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:38.777993000
5.585512000	61	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:38.778631000
5.606923000	62	46.105.63.44	192.168.1.2	9001	37542	1506	TLSv1.2	16:28:38.800042000
5.612912000	64	46.105.63.44	192.168.1.2	9001	37542	973	TLSv1.2	16:28:38.806031000
5.616986000	65	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.810105000
5.645275000	66	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:38.838394000
5.654070000	67	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.847189000
5.681705000	68	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.874824000
5.685231000	69	46.105.63.44	192.168.1.2	9001	37542	1506	TCP	16:28:38.878350000
5.713454000	71	46.105.63.44	192.168.1.2	9001	37542	1225	TLSv1.2	16:28:38.906573000
5.737007000	72	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:38.930126000
5.764914000	73	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:38.958033000
5.832326000	75	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.025445000
5.834070000	77	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:39.027189000
5.859359000	78	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.052478000
5.861416000	79	192.168.1.2	46.105.63.44	37542	9001	1506	TCP	16:28:39.054535000
5.889527000	80	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:39.082646000
5.889821000	81	192.168.1.2	46.105.63.44	37542	9001	197	TLSv1.2	16:28:39.082940000
5.954266000	83	192.168.1.2	46.105.63.44	37542	9001	1152	TLSv1.2	16:28:39.147385000
5.958037000	84	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.151156000
5.960042000	85	192.168.1.2	46.105.63.44	37542	9001	1506	TCP	16:28:39.153161000
5.981747000	87	192.168.1.2	46.105.63.44	37542	9001	197	TLSv1.2	16:28:39.174866000
6.055637000	90	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.248756000
6.059195000	91	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:39.252314000
6.153652000	93	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.346771000
6.266064000	95	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.459183000
6.269207000	96	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:39.462326000
6.296401000	97	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.489520000
6.378894000	99	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:39.572013000
6.382105000	101	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:39.575224000
6.405975000	102	46.105.63.44	192.168.1.2	9001	37542	1152	TLSv1.2	16:28:39.599094000
6.446755000	105	192.168.1.2	46.105.63.44	37542	9001	1152	TLSv1.2	16:28:39.639874000
6.473318000	106	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.666437000
6.515135000	109	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:39.708254000
6.557071000	111	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.750190000
6.559320000	113	192.168.1.2	46.105.63.44	37542	9001	1506	TCP	16:28:39.752439000
6.559338000	114	192.168.1.2	46.105.63.44	37542	9001	711	TLSv1.2	16:28:39.752457000
6.753812000	117	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:39.946931000
6.829758000	119	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:40.022877000
6.900652000	121	46.105.63.44	192.168.1.2	9001	37542	1152	TLSv1.2	16:28:40.093771000
6.903495000	123	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:40.096614000
6.930824000	125	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:40.123943000
7.352308000	127	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:40.545427000
7.416094000	129	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:40.609213000
7.429964000	131	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:40.623083000
8.317519000	133	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:41.510638000
8.654722000	135	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:41.847841000
8.660923000	136	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:41.854042000
8.688622000	138	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:41.881741000
8.913807000	140	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:42.106926000
9.054140000	142	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:42.247259000
9.134006000	144	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:42.327125000
9.136266000	146	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:42.329385000
9.163577000	148	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:42.356696000
9.259866000	150	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:42.452985000
9.561504000	152	46.105.63.44	192.168.1.2	9001	37542	609	TLSv1.2	16:28:42.754623000
9.595724000	154	46.105.63.44	192.168.1.2	9001	37542	1123	TLSv1.2	16:28:42.788843000
9.598076000	156	192.168.1.2	46.105.63.44	37542	9001	609	TLSv1.2	16:28:42.791195000
