_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.248521000	6	192.168.1.2	35.186.213.138	38916	443	237	SSL	15:58:57.723521000
0.271744000	8	35.186.213.138	192.168.1.2	443	38916	1484	TLSv1.2	15:58:57.746744000
0.272378000	9	35.186.213.138	192.168.1.2	443	38916	1484	TLSv1.2	15:58:57.747378000
0.272385000	10	35.186.213.138	192.168.1.2	443	38916	169	TLSv1.2	15:58:57.747385000
0.291890000	14	192.168.1.2	35.186.213.138	38916	443	192	TLSv1.2	15:58:57.766890000
0.312833000	15	35.186.213.138	192.168.1.2	443	38916	350	TLSv1.2	15:58:57.787833000
0.313360000	16	35.186.213.138	192.168.1.2	443	38916	135	TLSv1.2	15:58:57.788360000
0.315022000	17	192.168.1.2	35.186.213.138	38916	443	119	TLSv1.2	15:58:57.790022000
0.379437000	19	192.168.1.2	35.186.213.138	38916	443	569	TLSv1.2	15:58:57.854437000
0.400778000	21	35.186.213.138	192.168.1.2	443	38916	104	TLSv1.2	15:58:57.875778000
0.554599000	23	35.186.213.138	192.168.1.2	443	38916	270	TLSv1.2	15:58:58.029599000
0.554998000	24	35.186.213.138	192.168.1.2	443	38916	171	TLSv1.2	15:58:58.029998000
0.555009000	25	35.186.213.138	192.168.1.2	443	38916	112	TLSv1.2	15:58:58.030009000
0.556968000	29	192.168.1.2	35.186.213.138	38916	443	112	TLSv1.2	15:58:58.031968000
0.618172000	31	192.168.1.2	35.186.213.138	38916	443	283	TLSv1.2	15:58:58.093172000
0.798947000	33	35.186.213.138	192.168.1.2	443	38916	150	TLSv1.2	15:58:58.273947000
0.799375000	34	35.186.213.138	192.168.1.2	443	38916	281	TLSv1.2	15:58:58.274375000
0.799378000	35	35.186.213.138	192.168.1.2	443	38916	112	TLSv1.2	15:58:58.274378000
0.800782000	37	192.168.1.2	35.186.213.138	38916	443	112	TLSv1.2	15:58:58.275782000
0.823439000	39	192.168.1.2	35.186.213.138	38916	443	278	TLSv1.2	15:58:58.298439000
1.027161000	43	35.186.213.138	192.168.1.2	443	38916	119	TLSv1.2	15:58:58.502161000
1.028014000	44	35.186.213.138	192.168.1.2	443	38916	733	TLSv1.2	15:58:58.503014000
1.028021000	45	35.186.213.138	192.168.1.2	443	38916	112	TLSv1.2	15:58:58.503021000
1.033799000	47	192.168.1.2	35.186.213.138	38916	443	112	TLSv1.2	15:58:58.508799000
1.055147000	51	192.168.1.2	35.186.213.138	38916	443	290	TLSv1.2	15:58:58.530147000
1.059780000	54	192.168.1.2	68.232.35.180	49705	443	247	SSL	15:58:58.534780000
1.083030000	57	68.232.35.180	192.168.1.2	443	49705	1506	TLSv1.2	15:58:58.558030000
1.083636000	59	68.232.35.180	192.168.1.2	443	49705	1506	TCP	15:58:58.558636000
1.083698000	60	68.232.35.180	192.168.1.2	443	49705	653	TLSv1.2	15:58:58.558698000
1.092895000	65	192.168.1.2	52.58.41.71	41176	443	253	SSL	15:58:58.567895000
1.099369000	66	192.168.1.2	68.232.35.180	49705	443	192	TLSv1.2	15:58:58.574369000
1.120384000	67	68.232.35.180	192.168.1.2	443	49705	308	TLSv1.2	15:58:58.595384000
