_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.693870000	9	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:13.317620000
2.724093000	10	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.347843000
2.962841000	11	192.168.1.5	46.105.63.44	39122	9001	1506	TCP	16:22:13.586591000
2.962892000	12	192.168.1.5	46.105.63.44	39122	9001	1506	TCP	16:22:13.586642000
2.962936000	13	192.168.1.5	46.105.63.44	39122	9001	813	TLSv1.2	16:22:13.586686000
2.991026000	14	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.614776000
2.991601000	15	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.615351000
2.992190000	16	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.615940000
2.992934000	17	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:13.616684000
2.993265000	18	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:13.617015000
3.000162000	19	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:13.623912000
3.068177000	20	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.691927000
3.226272000	21	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:13.850022000
3.254077000	22	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.877827000
3.254702000	23	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:13.878452000
3.281549000	24	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:13.905299000
3.413038000	25	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.036788000
3.440754000	26	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.064504000
3.441559000	27	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.065309000
3.468542000	28	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.092292000
3.569670000	29	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.193420000
3.572017000	30	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.195767000
3.599277000	31	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.223027000
3.786804000	32	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.410554000
3.788781000	33	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.412531000
3.815599000	34	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.439349000
3.919034000	35	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.542784000
3.921870000	36	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.545620000
3.959307000	37	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.583057000
3.963598000	38	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.587348000
4.027965000	39	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.651715000
4.098488000	40	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.722238000
4.100433000	41	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.724183000
4.133982000	42	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.757732000
4.222267000	43	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.846017000
4.224562000	44	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.848312000
4.251976000	45	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.875726000
4.344925000	46	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:14.968675000
4.347107000	47	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:14.970857000
4.374088000	48	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:14.997838000
4.460285000	49	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.084035000
4.480162000	50	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.103912000
4.480551000	51	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.104301000
4.480682000	52	46.105.63.44	192.168.1.5	9001	39122	1506	TLSv1.2	16:22:15.104432000
4.505808000	53	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.129558000
4.507699000	54	46.105.63.44	192.168.1.5	9001	39122	328	TLSv1.2	16:22:15.131449000
4.532422000	55	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:15.156172000
4.547484000	56	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.171234000
4.603912000	57	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.227662000
4.604314000	58	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.228064000
4.604505000	59	46.105.63.44	192.168.1.5	9001	39122	1225	TLSv1.2	16:22:15.228255000
4.604817000	60	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.228567000
4.610125000	61	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.233875000
4.640382000	62	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:15.264132000
4.738108000	66	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.361858000
4.775380000	67	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.399130000
4.792586000	68	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.416336000
4.792977000	69	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.416727000
4.793702000	70	46.105.63.44	192.168.1.5	9001	39122	1506	TLSv1.2	16:22:15.417452000
4.793974000	71	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.417724000
4.799947000	72	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.423697000
4.801939000	73	46.105.63.44	192.168.1.5	9001	39122	328	TLSv1.2	16:22:15.425689000
4.827131000	74	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:15.450881000
4.839977000	75	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.463727000
4.898910000	76	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.522660000
4.899297000	77	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.523047000
4.899434000	78	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.523184000
4.899437000	79	46.105.63.44	192.168.1.5	9001	39122	299	TLSv1.2	16:22:15.523187000
4.899680000	80	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.523430000
4.899699000	81	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.523449000
4.914574000	82	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.538324000
4.926160000	83	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.549910000
4.941588000	84	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:15.565338000
4.941869000	85	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.565619000
4.969314000	86	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.593064000
4.975109000	87	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.598859000
5.014527000	88	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.638277000
5.020420000	89	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.644170000
5.060191000	90	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.683941000
5.060702000	91	46.105.63.44	192.168.1.5	9001	39122	1225	TLSv1.2	16:22:15.684452000
5.061015000	92	192.168.1.5	46.105.63.44	39122	9001	66	TCP	16:22:15.684765000
5.070715000	93	192.168.1.5	46.105.63.44	39122	9001	609	TLSv1.2	16:22:15.694465000
5.136486000	96	46.105.63.44	192.168.1.5	9001	39122	66	TCP	16:22:15.760236000
5.139289000	97	46.105.63.44	192.168.1.5	9001	39122	609	TLSv1.2	16:22:15.763039000
5.152612000	98	46.105.63.44	192.168.1.5	9001	39122	1506	TCP	16:22:15.776362000
