_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.023887000	6	192.168.1.5	31.13.86.8	50902	443	285	SSL	20:20:06.263776000
0.030028000	7	192.168.1.5	31.13.86.8	50902	443	1464	SSL	20:20:06.269917000
0.030070000	8	192.168.1.5	31.13.86.8	50902	443	93	SSL	20:20:06.269959000
0.042236000	12	192.168.1.5	31.13.86.8	50903	443	285	SSL	20:20:06.282125000
0.045346000	14	31.13.86.8	192.168.1.5	443	50902	204	SSL	20:20:06.285235000
0.045372000	15	31.13.86.8	192.168.1.5	443	50902	143	SSL	20:20:06.285261000
0.046244000	18	192.168.1.5	31.13.86.8	50902	443	100	SSL	20:20:06.286133000
0.052037000	20	31.13.86.8	192.168.1.5	443	50902	126	SSL	20:20:06.291926000
0.064020000	22	31.13.86.8	192.168.1.5	443	50903	204	SSL	20:20:06.303909000
0.064444000	23	31.13.86.8	192.168.1.5	443	50903	143	SSL	20:20:06.304333000
0.293412000	28	31.13.86.8	192.168.1.5	443	50902	691	SSL	20:20:06.533301000
0.357551000	30	31.13.86.8	192.168.1.5	443	50902	307	SSL	20:20:06.597440000
0.497755000	32	192.168.1.5	31.13.86.8	50902	443	577	SSL	20:20:06.737644000
0.504928000	33	192.168.1.5	31.13.86.8	50902	443	354	SSL	20:20:06.744817000
0.519052000	35	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:06.758941000
0.525856000	37	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:06.765745000
0.537865000	39	192.168.1.5	31.13.86.8	50902	443	526	SSL	20:20:06.777754000
0.560940000	40	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:06.800829000
0.758815000	42	31.13.86.8	192.168.1.5	443	50902	411	SSL	20:20:06.998704000
0.936806000	48	192.168.1.5	31.13.86.37	51218	443	285	SSL	20:20:07.176695000
0.938168000	49	192.168.1.5	31.13.86.37	51218	443	1095	SSL	20:20:07.178057000
0.954280000	51	31.13.86.8	192.168.1.5	443	50902	1464	SSL	20:20:07.194169000
0.954748000	53	31.13.86.8	192.168.1.5	443	50902	258	SSL	20:20:07.194637000
0.954849000	54	31.13.86.8	192.168.1.5	443	50902	694	SSL	20:20:07.194738000
0.958431000	58	31.13.86.37	192.168.1.5	443	51218	204	SSL	20:20:07.198320000
0.958458000	59	31.13.86.37	192.168.1.5	443	51218	143	SSL	20:20:07.198347000
0.959764000	62	31.13.86.37	192.168.1.5	443	51218	113	SSL	20:20:07.199653000
0.960698000	64	192.168.1.5	31.13.86.37	51218	443	100	SSL	20:20:07.200587000
1.167477000	66	31.13.86.8	192.168.1.5	443	50902	1464	SSL	20:20:07.407366000
1.167951000	67	31.13.86.8	192.168.1.5	443	50902	150	SSL	20:20:07.407840000
1.653736000	70	192.168.1.5	31.13.86.8	50902	443	292	SSL	20:20:07.893625000
1.674703000	71	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:07.914592000
1.819153000	73	192.168.1.5	31.13.86.8	50902	443	330	SSL	20:20:08.059042000
1.828834000	74	192.168.1.5	31.13.86.8	50902	443	336	SSL	20:20:08.068723000
1.835297000	75	192.168.1.5	31.13.86.8	50902	443	1180	SSL	20:20:08.075186000
1.840241000	76	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.080130000
1.850200000	78	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.090089000
1.856732000	80	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.096621000
1.872205000	82	192.168.1.5	31.13.86.8	50902	443	485	SSL	20:20:08.112094000
1.893487000	83	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.133376000
1.894001000	84	31.13.86.8	192.168.1.5	443	50902	351	SSL	20:20:08.133890000
2.024311000	86	192.168.1.5	31.13.86.8	50902	443	432	SSL	20:20:08.264200000
2.045239000	87	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.285128000
2.078631000	88	192.168.1.5	31.13.86.8	50902	443	484	SSL	20:20:08.318520000
2.099483000	89	31.13.86.8	192.168.1.5	443	50902	104	SSL	20:20:08.339372000
2.145829000	93	31.13.86.8	192.168.1.5	443	50902	391	SSL	20:20:08.385718000
2.158673000	95	31.13.86.8	192.168.1.5	443	50902	631	SSL	20:20:08.398562000
2.182411000	97	31.13.86.8	192.168.1.5	443	50902	808	SSL	20:20:08.422300000
2.298539000	99	31.13.86.8	192.168.1.5	443	50902	333	SSL	20:20:08.538428000
2.337380000	101	31.13.86.8	192.168.1.5	443	50902	663	SSL	20:20:08.577269000
2.622657000	110	192.168.1.5	31.13.86.2	58355	443	603	SSL	20:20:08.862546000
2.653629000	112	31.13.86.2	192.168.1.5	443	58355	203	TLSv1.2	20:20:08.893518000
2.654233000	114	192.168.1.5	31.13.86.2	58355	443	117	TLSv1.2	20:20:08.894122000
2.654479000	115	192.168.1.5	31.13.86.2	58355	443	248	TLSv1.2	20:20:08.894368000
2.796702000	117	31.13.86.2	192.168.1.5	443	58355	99	TLSv1.2	20:20:09.036591000
2.802682000	118	192.168.1.5	31.13.86.2	58355	443	106	TLSv1.2	20:20:09.042571000
2.803212000	119	192.168.1.5	31.13.86.2	58355	443	1486	TLSv1.2	20:20:09.043101000
2.942693000	121	31.13.86.2	192.168.1.5	443	58355	99	TLSv1.2	20:20:09.182582000
5.359749000	133	31.13.86.8	192.168.1.5	443	50902	602	SSL	20:20:11.599638000
5.748908000	135	31.13.86.37	192.168.1.5	443	51218	1464	SSL	20:20:11.988797000
5.749312000	136	31.13.86.37	192.168.1.5	443	51218	403	SSL	20:20:11.989201000
