_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.379849000	37	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:56.905428000
5.638295000	39	192.168.1.5	46.105.63.44	39768	9001	1123	TLSv1.2	19:30:58.163874000
5.708120000	41	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:58.233699000
6.295646000	43	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:58.821225000
6.323833000	45	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:58.849412000
6.351894000	47	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:58.877473000
6.494515000	49	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:30:59.020094000
6.499260000	51	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.024839000
6.511017000	52	192.168.1.5	46.105.63.44	39768	9001	1506	TCP	19:30:59.036596000
6.511067000	53	192.168.1.5	46.105.63.44	39768	9001	1506	TCP	19:30:59.036646000
6.527167000	55	192.168.1.5	46.105.63.44	39768	9001	299	TLSv1.2	19:30:59.052746000
6.676289000	59	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:30:59.201868000
6.678929000	60	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.204508000
6.802982000	62	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:30:59.328561000
6.808907000	63	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.334486000
6.979428000	65	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:30:59.505007000
6.982548000	66	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.508127000
7.282899000	68	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.808478000
7.290527000	69	192.168.1.5	46.105.63.44	39768	9001	1506	TLSv1.2	19:30:59.816106000
7.296820000	70	192.168.1.5	46.105.63.44	39768	9001	1506	TLSv1.2	19:30:59.822399000
7.310494000	72	192.168.1.5	46.105.63.44	39768	9001	386	TLSv1.2	19:30:59.836073000
7.401086000	76	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:30:59.926665000
7.404574000	77	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:30:59.930153000
7.640954000	81	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:00.166533000
7.643297000	82	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:31:00.168876000
7.866362000	84	46.105.63.44	192.168.1.5	9001	39768	1506	TCP	19:31:00.391941000
7.867000000	85	46.105.63.44	192.168.1.5	9001	39768	1506	TCP	19:31:00.392579000
7.867067000	86	46.105.63.44	192.168.1.5	9001	39768	813	TLSv1.2	19:31:00.392646000
7.931779000	91	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:00.457358000
7.934969000	93	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:31:00.460548000
8.017857000	95	46.105.63.44	192.168.1.5	9001	39768	1506	TCP	19:31:00.543436000
8.018233000	96	46.105.63.44	192.168.1.5	9001	39768	197	TLSv1.2	19:31:00.543812000
8.050928000	100	192.168.1.5	46.105.63.44	39768	9001	1506	TCP	19:31:00.576507000
8.050985000	101	192.168.1.5	46.105.63.44	39768	9001	197	TLSv1.2	19:31:00.576564000
8.080182000	104	192.168.1.5	46.105.63.44	39768	9001	609	TLSv1.2	19:31:00.605761000
8.110627000	106	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:00.636206000
8.392198000	112	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:00.917777000
8.486698000	114	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:01.012277000
8.685564000	118	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:01.211143000
8.800974000	124	192.168.1.5	31.13.86.2	57918	443	603	SSL	19:31:01.326553000
8.822667000	127	31.13.86.2	192.168.1.5	443	57918	203	TLSv1.2	19:31:01.348246000
8.822973000	129	192.168.1.5	31.13.86.2	57918	443	117	TLSv1.2	19:31:01.348552000
8.823342000	130	192.168.1.5	31.13.86.2	57918	443	248	TLSv1.2	19:31:01.348921000
8.875248000	134	46.105.63.44	192.168.1.5	9001	39768	1123	TLSv1.2	19:31:01.400827000
8.979684000	138	31.13.86.2	192.168.1.5	443	57918	99	TLSv1.2	19:31:01.505263000
8.986097000	139	192.168.1.5	31.13.86.2	57918	443	106	TLSv1.2	19:31:01.511676000
8.986515000	140	192.168.1.5	31.13.86.2	57918	443	1204	TLSv1.2	19:31:01.512094000
9.144342000	142	31.13.86.2	192.168.1.5	443	57918	99	TLSv1.2	19:31:01.669921000
9.244441000	144	46.105.63.44	192.168.1.5	9001	39768	1123	TLSv1.2	19:31:01.770020000
9.306269000	146	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:01.831848000
9.333675000	148	46.105.63.44	192.168.1.5	9001	39768	609	TLSv1.2	19:31:01.859254000
9.397091000	150	46.105.63.44	192.168.1.5	9001	39768	1506	TCP	19:31:01.922670000
9.397602000	152	46.105.63.44	192.168.1.5	9001	39768	711	TLSv1.2	19:31:01.923181000
