_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.024300000	5	192.168.1.5	31.13.86.8	50928	443	285	SSL	20:22:07.341838000
0.029025000	6	192.168.1.5	31.13.86.8	50928	443	941	SSL	20:22:07.346563000
0.045776000	9	31.13.86.8	192.168.1.5	443	50928	204	SSL	20:22:07.363314000
0.046190000	11	31.13.86.8	192.168.1.5	443	50928	143	SSL	20:22:07.363728000
0.047633000	13	192.168.1.5	31.13.86.8	50928	443	100	SSL	20:22:07.365171000
0.052485000	14	31.13.86.8	192.168.1.5	443	50928	113	SSL	20:22:07.370023000
0.065492000	15	192.168.1.5	31.13.86.8	50928	443	619	SSL	20:22:07.383030000
0.090557000	17	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:07.408095000
0.200428000	19	31.13.86.8	192.168.1.5	443	50928	690	SSL	20:22:07.517966000
0.228034000	21	31.13.86.8	192.168.1.5	443	50928	309	SSL	20:22:07.545572000
0.559897000	23	192.168.1.5	31.13.86.8	50928	443	574	SSL	20:22:07.877435000
0.566972000	24	192.168.1.5	31.13.86.8	50928	443	354	SSL	20:22:07.884510000
0.581218000	25	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:07.898756000
0.586201000	27	192.168.1.5	31.13.86.8	50928	443	526	SSL	20:22:07.903739000
0.588181000	28	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:07.905719000
0.608420000	29	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:07.925958000
0.742334000	31	31.13.86.8	192.168.1.5	443	50928	411	SSL	20:22:08.059872000
0.754284000	32	31.13.86.8	192.168.1.5	443	50928	1464	SSL	20:22:08.071822000
0.754754000	33	31.13.86.8	192.168.1.5	443	50928	274	SSL	20:22:08.072292000
0.754836000	34	31.13.86.8	192.168.1.5	443	50928	651	SSL	20:22:08.072374000
0.790189000	37	31.13.86.8	192.168.1.5	443	50928	1464	SSL	20:22:08.107727000
0.790548000	38	31.13.86.8	192.168.1.5	443	50928	168	SSL	20:22:08.108086000
0.948512000	44	192.168.1.5	31.13.86.37	51243	443	285	SSL	20:22:08.266050000
0.955314000	45	192.168.1.5	31.13.86.37	51243	443	1095	SSL	20:22:08.272852000
0.970165000	48	31.13.86.37	192.168.1.5	443	51243	204	SSL	20:22:08.287703000
0.970670000	50	31.13.86.37	192.168.1.5	443	51243	143	SSL	20:22:08.288208000
0.973484000	52	192.168.1.5	31.13.86.37	51243	443	100	SSL	20:22:08.291022000
0.978930000	53	31.13.86.37	192.168.1.5	443	51243	113	SSL	20:22:08.296468000
1.119129000	56	31.13.86.37	192.168.1.5	443	51243	1464	SSL	20:22:08.436667000
1.136403000	58	31.13.86.37	192.168.1.5	443	51243	405	SSL	20:22:08.453941000
1.607323000	60	192.168.1.5	31.13.86.8	50928	443	291	SSL	20:22:08.924861000
1.628498000	61	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:08.946036000
1.758220000	63	192.168.1.5	31.13.86.8	50928	443	329	SSL	20:22:09.075758000
1.767033000	64	192.168.1.5	31.13.86.8	50928	443	335	SSL	20:22:09.084571000
1.768748000	65	31.13.86.8	192.168.1.5	443	50928	349	SSL	20:22:09.086286000
1.774938000	67	192.168.1.5	31.13.86.8	50928	443	1179	SSL	20:22:09.092476000
1.779208000	68	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.096746000
1.788026000	69	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.105564000
1.796146000	71	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.113684000
1.874842000	73	192.168.1.5	31.13.86.8	50928	443	432	SSL	20:22:09.192380000
1.890513000	74	192.168.1.5	31.13.86.8	50928	443	483	SSL	20:22:09.208051000
1.895772000	75	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.213310000
1.911508000	77	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.229046000
1.921309000	79	31.13.86.8	192.168.1.5	443	50928	806	SSL	20:22:09.238847000
1.923722000	81	192.168.1.5	31.13.86.8	50928	443	484	SSL	20:22:09.241260000
1.945452000	82	31.13.86.8	192.168.1.5	443	50928	104	SSL	20:22:09.262990000
1.946307000	83	31.13.86.8	192.168.1.5	443	50928	587	SSL	20:22:09.263845000
1.966780000	85	31.13.86.8	192.168.1.5	443	50928	386	SSL	20:22:09.284318000
2.046032000	87	31.13.86.8	192.168.1.5	443	50928	332	SSL	20:22:09.363570000
2.059922000	89	31.13.86.8	192.168.1.5	443	50928	605	SSL	20:22:09.377460000
2.082555000	91	31.13.86.8	192.168.1.5	443	50928	629	SSL	20:22:09.400093000
2.548557000	101	192.168.1.5	31.13.86.2	58380	443	603	SSL	20:22:09.866095000
2.570317000	104	31.13.86.2	192.168.1.5	443	58380	203	TLSv1.2	20:22:09.887855000
2.571072000	106	192.168.1.5	31.13.86.2	58380	443	117	TLSv1.2	20:22:09.888610000
