_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:21.992894000
0.058522000	3	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:22.051416000
0.329819000	5	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:22.322713000
0.336254000	6	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:22.329148000
0.349819000	7	192.168.1.5	46.105.63.44	39483	9001	1506	TCP	19:00:22.342713000
0.368237000	9	192.168.1.5	46.105.63.44	39483	9001	197	TLSv1.2	19:00:22.361131000
0.579583000	12	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:22.572477000
0.585737000	13	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:22.578631000
0.694384000	15	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:22.687278000
0.697725000	16	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:22.690619000
0.720197000	17	192.168.1.5	46.105.63.44	39483	9001	1506	TLSv1.2	19:00:22.713091000
0.725834000	19	192.168.1.5	46.105.63.44	39483	9001	255	TLSv1.2	19:00:22.718728000
0.823585000	24	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:22.816479000
0.955703000	26	46.105.63.44	192.168.1.5	9001	39483	1123	TLSv1.2	19:00:22.948597000
1.106965000	28	192.168.1.5	46.105.63.44	39483	9001	609	TLSv1.2	19:00:23.099859000
1.117309000	29	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:23.110203000
1.145058000	32	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:23.137952000
1.240626000	34	46.105.63.44	192.168.1.5	9001	39483	609	TLSv1.2	19:00:23.233520000
1.269438000	36	46.105.63.44	192.168.1.5	9001	39483	1152	TLSv1.2	19:00:23.262332000
1.385865000	38	46.105.63.44	192.168.1.5	9001	39483	1506	TCP	19:00:23.378759000
1.386454000	40	46.105.63.44	192.168.1.5	9001	39483	1225	TLSv1.2	19:00:23.379348000
1.509712000	42	46.105.63.44	192.168.1.5	9001	39483	1506	TCP	19:00:23.502606000
1.510105000	43	46.105.63.44	192.168.1.5	9001	39483	197	TLSv1.2	19:00:23.502999000
