_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.024395000	5	192.168.1.5	31.13.86.8	50817	443	285	SSL	20:06:54.711043000
0.026664000	6	192.168.1.5	31.13.86.8	50817	443	1464	SSL	20:06:54.713312000
0.026684000	7	192.168.1.5	31.13.86.8	50817	443	762	SSL	20:06:54.713332000
0.028222000	8	192.168.1.5	31.13.86.8	50817	443	321	SSL	20:06:54.714870000
0.049426000	11	31.13.86.8	192.168.1.5	443	50817	204	SSL	20:06:54.736074000
0.049919000	12	31.13.86.8	192.168.1.5	443	50817	143	SSL	20:06:54.736567000
0.049928000	13	31.13.86.8	192.168.1.5	443	50817	113	SSL	20:06:54.736576000
0.050532000	14	31.13.86.8	192.168.1.5	443	50817	104	SSL	20:06:54.737180000
0.052390000	19	192.168.1.5	31.13.86.8	50817	443	100	SSL	20:06:54.739038000
0.196563000	21	31.13.86.8	192.168.1.5	443	50817	691	SSL	20:06:54.883211000
0.523429000	25	192.168.1.5	31.13.86.8	50817	443	1066	SSL	20:06:55.210077000
0.531644000	26	192.168.1.5	31.13.86.8	50817	443	526	SSL	20:06:55.218292000
0.545653000	28	31.13.86.8	192.168.1.5	443	50817	117	SSL	20:06:55.232301000
0.552658000	30	31.13.86.8	192.168.1.5	443	50817	104	SSL	20:06:55.239306000
0.673229000	32	31.13.86.8	192.168.1.5	443	50817	432	SSL	20:06:55.359877000
0.709127000	34	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.395775000
0.709498000	35	31.13.86.8	192.168.1.5	443	50817	138	SSL	20:06:55.396146000
0.709505000	36	31.13.86.8	192.168.1.5	443	50817	115	SSL	20:06:55.396153000
0.717951000	40	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.404599000
0.718430000	41	31.13.86.8	192.168.1.5	443	50817	274	SSL	20:06:55.405078000
0.718510000	42	31.13.86.8	192.168.1.5	443	50817	648	SSL	20:06:55.405158000
0.877063000	50	192.168.1.5	31.13.86.37	51132	443	285	SSL	20:06:55.563711000
0.878925000	51	192.168.1.5	31.13.86.37	51132	443	1091	SSL	20:06:55.565573000
0.898903000	53	31.13.86.37	192.168.1.5	443	51132	204	SSL	20:06:55.585551000
0.898912000	54	31.13.86.37	192.168.1.5	443	51132	143	SSL	20:06:55.585560000
0.900368000	57	31.13.86.37	192.168.1.5	443	51132	113	SSL	20:06:55.587016000
0.900625000	58	192.168.1.5	31.13.86.37	51132	443	100	SSL	20:06:55.587273000
1.037496000	62	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:06:55.724144000
1.038133000	63	31.13.86.37	192.168.1.5	443	51132	400	SSL	20:06:55.724781000
1.186181000	66	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.872829000
1.186605000	67	31.13.86.8	192.168.1.5	443	50817	267	SSL	20:06:55.873253000
1.186807000	69	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.873455000
1.186955000	70	31.13.86.8	192.168.1.5	443	50817	1252	SSL	20:06:55.873603000
1.186994000	71	31.13.86.8	192.168.1.5	443	50817	471	SSL	20:06:55.873642000
1.288260000	76	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.974908000
1.288833000	78	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:55.975481000
1.288932000	79	31.13.86.8	192.168.1.5	443	50817	1134	SSL	20:06:55.975580000
1.317378000	82	192.168.1.5	31.13.86.8	50817	443	389	SSL	20:06:56.004026000
1.338708000	83	31.13.86.8	192.168.1.5	443	50817	104	SSL	20:06:56.025356000
1.382346000	85	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.068994000
1.382901000	86	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.069549000
1.382984000	87	31.13.86.8	192.168.1.5	443	50817	871	SSL	20:06:56.069632000
1.419103000	95	192.168.1.5	31.13.86.4	56600	443	295	SSL	20:06:56.105751000
1.421980000	96	192.168.1.5	31.13.86.4	56600	443	637	SSL	20:06:56.108628000
1.426446000	97	192.168.1.5	31.13.86.4	56600	443	222	SSL	20:06:56.113094000
1.432821000	99	31.13.86.8	192.168.1.5	443	50817	1174	SSL	20:06:56.119469000
1.440599000	102	31.13.86.4	192.168.1.5	443	56600	204	SSL	20:06:56.127247000
1.440625000	103	31.13.86.4	192.168.1.5	443	56600	143	SSL	20:06:56.127273000
1.442296000	106	192.168.1.5	31.13.86.4	56600	443	100	SSL	20:06:56.128944000
1.446412000	107	31.13.86.4	192.168.1.5	443	56600	113	SSL	20:06:56.133060000
1.447122000	108	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.133770000
1.447768000	110	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.134416000
1.447951000	111	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.134599000
1.448138000	112	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.134786000
1.448323000	114	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.134971000
1.449325000	116	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.135973000
1.449463000	117	31.13.86.4	192.168.1.5	443	56600	1152	SSL	20:06:56.136111000
1.462430000	119	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.149078000
1.463146000	120	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.149794000
1.463333000	121	31.13.86.4	192.168.1.5	443	56600	1464	SSL	20:06:56.149981000
1.463335000	122	31.13.86.4	192.168.1.5	443	56600	186	SSL	20:06:56.149983000
1.466201000	125	31.13.86.8	192.168.1.5	443	50817	332	SSL	20:06:56.152849000
1.513286000	128	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.199934000
1.513917000	130	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.200565000
1.513919000	131	31.13.86.8	192.168.1.5	443	50817	197	SSL	20:06:56.200567000
1.563594000	134	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.250242000
1.564231000	136	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.250879000
1.564234000	137	31.13.86.8	192.168.1.5	443	50817	185	SSL	20:06:56.250882000
1.598576000	140	31.13.86.8	192.168.1.5	443	50817	1406	SSL	20:06:56.285224000
1.659390000	142	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.346038000
1.660039000	144	31.13.86.8	192.168.1.5	443	50817	1464	SSL	20:06:56.346687000
1.660047000	145	31.13.86.8	192.168.1.5	443	50817	288	TCP	20:06:56.346695000
1.835742000	148	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:06:56.522390000
1.836380000	150	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:06:56.523028000
1.836535000	151	31.13.86.8	192.168.1.5	443	50817	1412	TCP	20:06:56.523183000
1.881181000	154	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:06:56.567829000
1.881708000	156	31.13.86.8	192.168.1.5	443	50817	631	TCP	20:06:56.568356000
1.881713000	157	31.13.86.8	192.168.1.5	443	50817	156	TCP	20:06:56.568361000
1.896911000	160	192.168.1.5	31.13.86.8	50817	443	291	SSL	20:06:56.583559000
1.920642000	161	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:06:56.607290000
2.052169000	163	31.13.86.8	192.168.1.5	443	50817	326	TCP	20:06:56.738817000
4.408863000	165	192.168.1.5	31.13.86.8	50817	443	399	SSL	20:06:59.095511000
4.430583000	166	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:06:59.117231000
4.524211000	168	192.168.1.5	31.13.86.37	51132	443	388	SSL	20:06:59.210859000
4.545803000	170	31.13.86.37	192.168.1.5	443	51132	104	SSL	20:06:59.232451000
4.557630000	172	31.13.86.8	192.168.1.5	443	50817	466	TCP	20:06:59.244278000
5.332410000	174	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.019058000
5.332907000	176	31.13.86.37	192.168.1.5	443	51132	283	SSL	20:07:00.019555000
5.333125000	177	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.019773000
5.333315000	179	31.13.86.37	192.168.1.5	443	51132	1286	SSL	20:07:00.019963000
5.333446000	182	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.020094000
5.334434000	184	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.021082000
5.334604000	185	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.021252000
5.334790000	186	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.021438000
5.334972000	187	31.13.86.37	192.168.1.5	443	51132	1464	SSL	20:07:00.021620000
5.335026000	188	31.13.86.37	192.168.1.5	443	51132	486	SSL	20:07:00.021674000
6.109440000	194	192.168.1.5	31.13.86.8	50817	443	382	SSL	20:07:00.796088000
6.131683000	195	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:07:00.818331000
6.179522000	197	192.168.1.5	31.13.86.8	50817	443	331	SSL	20:07:00.866170000
6.200347000	198	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:07:00.886995000
6.224971000	200	192.168.1.5	31.13.86.8	50817	443	1136	SSL	20:07:00.911619000
6.246702000	201	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:07:00.933350000
6.258404000	202	31.13.86.8	192.168.1.5	443	50817	331	TCP	20:07:00.945052000
6.385276000	204	31.13.86.8	192.168.1.5	443	50817	558	TCP	20:07:01.071924000
6.545420000	206	192.168.1.5	31.13.86.8	50817	443	562	SSL	20:07:01.232068000
6.567226000	207	31.13.86.8	192.168.1.5	443	50817	104	TCP	20:07:01.253874000
6.703771000	209	31.13.86.8	192.168.1.5	443	50817	707	TCP	20:07:01.390419000
6.779699000	211	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:07:01.466347000
6.780854000	213	31.13.86.8	192.168.1.5	443	50817	972	TCP	20:07:01.467502000
6.780855000	214	31.13.86.8	192.168.1.5	443	50817	155	TCP	20:07:01.467503000
6.919779000	217	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:07:01.606427000
6.920341000	218	31.13.86.8	192.168.1.5	443	50817	290	TCP	20:07:01.606989000
6.923773000	221	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:07:01.610421000
6.923774000	222	31.13.86.8	192.168.1.5	443	50817	1273	TCP	20:07:01.610422000
6.924080000	223	31.13.86.8	192.168.1.5	443	50817	1464	TCP	20:07:01.610728000
