_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	40252	9001	1123	TLSv1.2	20:23:41.210696000
0.716068000	3	192.168.1.5	46.105.63.44	40252	9001	609	TLSv1.2	20:23:41.926764000
0.745260000	5	192.168.1.5	46.105.63.44	40252	9001	1152	TLSv1.2	20:23:41.955956000
1.951037000	7	192.168.1.5	46.105.63.44	40252	9001	609	TLSv1.2	20:23:43.161733000
2.607250000	9	192.168.1.5	46.105.63.44	40252	9001	609	TLSv1.2	20:23:43.817946000
2.637998000	11	192.168.1.5	46.105.63.44	40252	9001	1152	TLSv1.2	20:23:43.848694000
3.351631000	21	192.168.1.5	31.13.86.2	58406	443	603	SSL	20:23:44.562327000
3.375351000	24	31.13.86.2	192.168.1.5	443	58406	203	TLSv1.2	20:23:44.586047000
3.375950000	26	192.168.1.5	31.13.86.2	58406	443	117	TLSv1.2	20:23:44.586646000
3.375969000	27	192.168.1.5	31.13.86.2	58406	443	248	TLSv1.2	20:23:44.586665000
3.514161000	31	31.13.86.2	192.168.1.5	443	58406	99	TLSv1.2	20:23:44.724857000
3.520341000	32	192.168.1.5	31.13.86.2	58406	443	106	TLSv1.2	20:23:44.731037000
3.520960000	33	192.168.1.5	31.13.86.2	58406	443	1475	TLSv1.2	20:23:44.731656000
3.657627000	35	31.13.86.2	192.168.1.5	443	58406	99	TLSv1.2	20:23:44.868323000
6.204329000	47	46.105.63.44	192.168.1.5	9001	40252	1506	TCP	20:23:47.415025000
6.204899000	48	46.105.63.44	192.168.1.5	9001	40252	1506	TCP	20:23:47.415595000
6.205393000	50	46.105.63.44	192.168.1.5	9001	40252	299	TLSv1.2	20:23:47.416089000
6.215369000	51	192.168.1.5	46.105.63.44	40252	9001	609	TLSv1.2	20:23:47.426065000
6.236742000	52	192.168.1.5	46.105.63.44	40252	9001	1506	TCP	20:23:47.447438000
6.241871000	53	192.168.1.5	46.105.63.44	40252	9001	1506	TLSv1.2	20:23:47.452567000
6.244361000	55	192.168.1.5	46.105.63.44	40252	9001	357	TLSv1.2	20:23:47.455057000
6.249332000	56	192.168.1.5	46.105.63.44	40252	9001	1506	TLSv1.2	20:23:47.460028000
6.271918000	60	192.168.1.5	46.105.63.44	40252	9001	255	TLSv1.2	20:23:47.482614000
9.384088000	67	46.105.63.44	192.168.1.5	9001	40252	1506	TCP	20:23:50.594784000
