_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
5.455152000	9	192.168.1.5	31.13.86.8	50413	443	285	SSL	19:21:29.600953000
5.456682000	10	192.168.1.5	31.13.86.8	50413	443	937	SSL	19:21:29.602483000
5.476954000	13	31.13.86.8	192.168.1.5	443	50413	204	SSL	19:21:29.622755000
5.477425000	15	31.13.86.8	192.168.1.5	443	50413	143	SSL	19:21:29.623226000
5.478126000	16	31.13.86.8	192.168.1.5	443	50413	113	SSL	19:21:29.623927000
5.478802000	19	192.168.1.5	31.13.86.8	50413	443	100	SSL	19:21:29.624603000
5.511313000	20	192.168.1.5	31.13.86.8	50413	443	619	SSL	19:21:29.657114000
5.532727000	22	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:29.678528000
5.609213000	24	31.13.86.8	192.168.1.5	443	50413	691	SSL	19:21:29.755014000
5.660628000	26	31.13.86.8	192.168.1.5	443	50413	310	SSL	19:21:29.806429000
6.048099000	28	192.168.1.5	31.13.86.8	50413	443	574	SSL	19:21:30.193900000
6.050639000	29	192.168.1.5	31.13.86.8	50413	443	354	SSL	19:21:30.196440000
6.069362000	30	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:30.215163000
6.071703000	32	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:30.217504000
6.077949000	34	192.168.1.5	31.13.86.8	50413	443	526	SSL	19:21:30.223750000
6.099461000	35	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:30.245262000
6.212332000	37	31.13.86.8	192.168.1.5	443	50413	434	SSL	19:21:30.358133000
6.225777000	39	31.13.86.8	192.168.1.5	443	50413	1464	SSL	19:21:30.371578000
6.226198000	41	31.13.86.8	192.168.1.5	443	50413	252	SSL	19:21:30.371999000
6.226299000	42	31.13.86.8	192.168.1.5	443	50413	669	SSL	19:21:30.372100000
6.262358000	45	31.13.86.8	192.168.1.5	443	50413	1464	SSL	19:21:30.408159000
6.262813000	46	31.13.86.8	192.168.1.5	443	50413	149	SSL	19:21:30.408614000
6.416177000	53	192.168.1.5	31.13.86.37	50728	443	285	SSL	19:21:30.561978000
6.428562000	54	192.168.1.5	31.13.86.37	50728	443	1091	SSL	19:21:30.574363000
6.437931000	57	31.13.86.37	192.168.1.5	443	50728	204	SSL	19:21:30.583732000
6.437943000	58	31.13.86.37	192.168.1.5	443	50728	143	SSL	19:21:30.583744000
6.440230000	61	192.168.1.5	31.13.86.37	50728	443	100	SSL	19:21:30.586031000
6.450394000	62	31.13.86.37	192.168.1.5	443	50728	113	SSL	19:21:30.596195000
6.598515000	65	31.13.86.37	192.168.1.5	443	50728	1464	SSL	19:21:30.744316000
6.598927000	67	31.13.86.37	192.168.1.5	443	50728	402	SSL	19:21:30.744728000
7.050041000	69	192.168.1.5	31.13.86.8	50413	443	291	SSL	19:21:31.195842000
7.070805000	70	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.216606000
7.201630000	72	31.13.86.8	192.168.1.5	443	50413	350	SSL	19:21:31.347431000
7.263583000	75	192.168.1.5	31.13.86.8	50413	443	329	SSL	19:21:31.409384000
7.273473000	81	192.168.1.5	31.13.86.8	50413	443	335	SSL	19:21:31.419274000
7.278335000	82	192.168.1.5	31.13.86.8	50413	443	1179	SSL	19:21:31.424136000
7.287582000	83	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.433383000
7.295048000	85	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.440849000
7.299801000	87	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.445602000
7.367010000	89	192.168.1.5	31.13.86.8	50413	443	484	SSL	19:21:31.512811000
7.388294000	90	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.534095000
7.425946000	92	31.13.86.8	192.168.1.5	443	50413	809	SSL	19:21:31.571747000
7.433413000	94	31.13.86.8	192.168.1.5	443	50413	578	SSL	19:21:31.579214000
7.454273000	96	192.168.1.5	31.13.86.8	50413	443	430	SSL	19:21:31.600074000
7.467555000	97	31.13.86.8	192.168.1.5	443	50413	387	SSL	19:21:31.613356000
7.475209000	98	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.621010000
7.479938000	100	192.168.1.5	31.13.86.8	50413	443	483	SSL	19:21:31.625739000
7.501483000	101	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:31.647284000
7.518445000	102	31.13.86.8	192.168.1.5	443	50413	627	SSL	19:21:31.664246000
8.524596000	116	31.13.86.8	192.168.1.5	443	50413	612	SSL	19:21:32.670397000
8.524870000	117	31.13.86.8	192.168.1.5	443	50413	332	SSL	19:21:32.670671000
9.550304000	142	192.168.1.5	31.13.86.2	57865	443	603	SSL	19:21:33.696105000
9.571927000	146	31.13.86.2	192.168.1.5	443	57865	203	TLSv1.2	19:21:33.717728000
9.572390000	148	192.168.1.5	31.13.86.2	57865	443	117	TLSv1.2	19:21:33.718191000
9.572650000	149	192.168.1.5	31.13.86.2	57865	443	248	TLSv1.2	19:21:33.718451000
9.706817000	153	31.13.86.2	192.168.1.5	443	57865	99	TLSv1.2	19:21:33.852618000
9.721953000	154	192.168.1.5	31.13.86.2	57865	443	1131	TLSv1.2	19:21:33.867754000
9.756994000	159	192.168.1.5	31.13.86.8	50416	443	283	SSL	19:21:33.902795000
9.761141000	160	192.168.1.5	31.13.86.8	50416	443	173	SSL	19:21:33.906942000
9.779317000	163	31.13.86.8	192.168.1.5	443	50416	204	SSL	19:21:33.925118000
9.779328000	164	31.13.86.8	192.168.1.5	443	50416	143	SSL	19:21:33.925129000
9.782407000	167	31.13.86.8	192.168.1.5	443	50416	100	SSL	19:21:33.928208000
9.784042000	170	192.168.1.5	31.13.86.8	50416	443	1058	SSL	19:21:33.929843000
9.805574000	171	31.13.86.8	192.168.1.5	443	50416	104	SSL	19:21:33.951375000
9.855531000	173	31.13.86.2	192.168.1.5	443	57865	99	TLSv1.2	19:21:34.001332000
9.967912000	177	31.13.86.8	192.168.1.5	443	50416	498	SSL	19:21:34.113713000
10.025936000	179	192.168.1.5	31.13.86.2	57865	443	106	TLSv1.2	19:21:34.171737000
11.746114000	185	192.168.1.5	31.13.86.8	50416	443	514	SSL	19:21:35.891915000
11.767080000	186	31.13.86.8	192.168.1.5	443	50416	104	SSL	19:21:35.912881000
12.053962000	190	31.13.86.8	192.168.1.5	443	50416	1066	SSL	19:21:36.199763000
12.116812000	192	192.168.1.5	31.13.86.8	50416	443	497	SSL	19:21:36.262613000
12.138171000	193	31.13.86.8	192.168.1.5	443	50416	104	SSL	19:21:36.283972000
12.300699000	195	192.168.1.5	31.13.86.8	50416	443	498	SSL	19:21:36.446500000
12.322177000	196	31.13.86.8	192.168.1.5	443	50416	104	SSL	19:21:36.467978000
12.392782000	198	31.13.86.8	192.168.1.5	443	50416	924	SSL	19:21:36.538583000
12.583015000	200	31.13.86.8	192.168.1.5	443	50416	780	SSL	19:21:36.728816000
14.075498000	204	192.168.1.5	31.13.86.8	50413	443	1040	SSL	19:21:38.221299000
14.097455000	205	31.13.86.8	192.168.1.5	443	50413	104	SSL	19:21:38.243256000
14.476428000	207	31.13.86.8	192.168.1.5	443	50413	1464	SSL	19:21:38.622229000
14.476881000	209	31.13.86.8	192.168.1.5	443	50413	300	SSL	19:21:38.622682000
14.498056000	211	31.13.86.8	192.168.1.5	443	50413	1464	SSL	19:21:38.643857000
14.498720000	212	31.13.86.8	192.168.1.5	443	50413	1464	SSL	19:21:38.644521000
14.498783000	214	31.13.86.8	192.168.1.5	443	50413	539	SSL	19:21:38.644584000
