_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.999137000	6	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:17.152481000
2.490888000	8	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:18.644232000
2.518494000	10	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:18.671838000
2.992052000	12	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:19.145396000
2.997223000	14	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:19.150567000
3.010500000	15	192.168.1.5	46.105.63.44	40160	9001	1506	TCP	20:10:19.163844000
3.010536000	16	192.168.1.5	46.105.63.44	40160	9001	1506	TCP	20:10:19.163880000
3.025891000	18	192.168.1.5	46.105.63.44	40160	9001	299	TLSv1.2	20:10:19.179235000
3.107442000	21	192.168.1.5	46.105.63.44	40160	9001	1123	TLSv1.2	20:10:19.260786000
3.136454000	23	192.168.1.5	46.105.63.44	40160	9001	1152	TLSv1.2	20:10:19.289798000
3.166329000	25	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:19.319673000
3.172793000	26	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:19.326137000
3.517092000	28	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:19.670436000
3.523093000	29	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:19.676437000
3.698372000	31	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:19.851716000
3.875991000	33	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:20.029335000
3.876625000	35	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:20.029969000
3.876633000	36	46.105.63.44	192.168.1.5	9001	40160	299	TLSv1.2	20:10:20.029977000
3.965578000	39	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:20.118922000
4.052380000	41	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:20.205724000
4.243277000	43	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:20.396621000
4.243724000	44	46.105.63.44	192.168.1.5	9001	40160	711	TLSv1.2	20:10:20.397068000
4.271789000	47	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:20.425133000
4.434279000	49	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:20.587623000
4.447758000	50	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:20.601102000
4.448412000	52	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:20.601756000
4.448495000	53	46.105.63.44	192.168.1.5	9001	40160	813	TLSv1.2	20:10:20.601839000
4.599169000	57	46.105.63.44	192.168.1.5	9001	40160	1123	TLSv1.2	20:10:20.752513000
4.626563000	59	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:20.779907000
4.636949000	61	192.168.1.5	46.105.63.44	40160	9001	1506	TCP	20:10:20.790293000
4.637006000	62	192.168.1.5	46.105.63.44	40160	9001	197	TLSv1.2	20:10:20.790350000
4.996006000	64	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.149350000
5.156702000	66	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.310046000
5.159503000	67	46.105.63.44	192.168.1.5	9001	40160	609	TLSv1.2	20:10:21.312847000
5.186728000	69	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.340072000
5.189658000	70	192.168.1.5	46.105.63.44	40160	9001	1506	TCP	20:10:21.343002000
5.214715000	72	192.168.1.5	46.105.63.44	40160	9001	197	TLSv1.2	20:10:21.368059000
5.261878000	75	46.105.63.44	192.168.1.5	9001	40160	1123	TLSv1.2	20:10:21.415222000
5.265828000	76	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.419172000
5.332774000	78	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.486118000
5.335660000	79	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.489004000
5.336338000	80	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.489682000
5.336422000	81	46.105.63.44	192.168.1.5	9001	40160	813	TLSv1.2	20:10:21.489766000
5.370932000	84	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.524276000
5.383363000	85	46.105.63.44	192.168.1.5	9001	40160	1506	TLSv1.2	20:10:21.536707000
5.400111000	86	46.105.63.44	192.168.1.5	9001	40160	1254	TLSv1.2	20:10:21.553455000
5.400445000	87	192.168.1.5	46.105.63.44	40160	9001	609	TLSv1.2	20:10:21.553789000
5.483909000	89	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.637253000
5.484529000	90	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.637873000
5.484692000	91	46.105.63.44	192.168.1.5	9001	40160	1356	TLSv1.2	20:10:21.638036000
5.594926000	96	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.748270000
5.595292000	97	46.105.63.44	192.168.1.5	9001	40160	197	TLSv1.2	20:10:21.748636000
5.635513000	100	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.788857000
5.636088000	102	46.105.63.44	192.168.1.5	9001	40160	1506	TCP	20:10:21.789432000
