_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
1.071535000	11	192.168.1.5	31.13.86.8	50856	443	285	SSL	20:11:44.963458000
1.081475000	12	192.168.1.5	31.13.86.8	50856	443	1464	SSL	20:11:44.973398000
1.081510000	13	192.168.1.5	31.13.86.8	50856	443	92	SSL	20:11:44.973433000
1.081786000	14	192.168.1.5	31.13.86.8	50857	443	285	SSL	20:11:44.973709000
1.094093000	17	31.13.86.8	192.168.1.5	443	50856	204	SSL	20:11:44.986016000
1.094099000	18	31.13.86.8	192.168.1.5	443	50856	143	SSL	20:11:44.986022000
1.097677000	21	192.168.1.5	31.13.86.8	50856	443	100	SSL	20:11:44.989600000
1.105035000	24	31.13.86.8	192.168.1.5	443	50856	126	SSL	20:11:44.996958000
1.106736000	25	31.13.86.8	192.168.1.5	443	50857	204	SSL	20:11:44.998659000
1.107195000	26	31.13.86.8	192.168.1.5	443	50857	143	SSL	20:11:44.999118000
1.245221000	31	31.13.86.8	192.168.1.5	443	50856	672	SSL	20:11:45.137144000
1.253596000	33	31.13.86.8	192.168.1.5	443	50856	335	SSL	20:11:45.145519000
1.424578000	35	192.168.1.5	31.13.86.8	50856	443	577	SSL	20:11:45.316501000
1.429454000	36	192.168.1.5	31.13.86.8	50856	443	354	SSL	20:11:45.321377000
1.446139000	38	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:45.338062000
1.450500000	40	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:45.342423000
1.460375000	42	192.168.1.5	31.13.86.8	50856	443	526	SSL	20:11:45.352298000
1.481604000	43	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:45.373527000
1.590832000	45	31.13.86.8	192.168.1.5	443	50856	411	SSL	20:11:45.482755000
1.602445000	47	31.13.86.8	192.168.1.5	443	50856	1464	SSL	20:11:45.494368000
1.602894000	49	31.13.86.8	192.168.1.5	443	50856	251	SSL	20:11:45.494817000
1.602978000	50	31.13.86.8	192.168.1.5	443	50856	671	SSL	20:11:45.494901000
1.810499000	57	192.168.1.5	31.13.86.37	51172	443	285	SSL	20:11:45.702422000
1.812888000	58	192.168.1.5	31.13.86.37	51172	443	1094	SSL	20:11:45.704811000
1.832586000	60	31.13.86.37	192.168.1.5	443	51172	204	SSL	20:11:45.724509000
1.833444000	62	31.13.86.37	192.168.1.5	443	51172	143	SSL	20:11:45.725367000
1.834080000	64	192.168.1.5	31.13.86.37	51172	443	100	SSL	20:11:45.726003000
1.834742000	65	31.13.86.37	192.168.1.5	443	51172	113	SSL	20:11:45.726665000
1.875690000	66	31.13.86.8	192.168.1.5	443	50856	1464	SSL	20:11:45.767613000
1.876595000	69	31.13.86.8	192.168.1.5	443	50856	146	SSL	20:11:45.768518000
1.975348000	72	31.13.86.37	192.168.1.5	443	51172	1464	SSL	20:11:45.867271000
1.975755000	74	31.13.86.37	192.168.1.5	443	51172	404	SSL	20:11:45.867678000
2.418238000	76	192.168.1.5	31.13.86.8	50856	443	291	SSL	20:11:46.310161000
2.439371000	77	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:46.331294000
2.583916000	79	31.13.86.8	192.168.1.5	443	50856	349	SSL	20:11:46.475839000
6.061843000	83	192.168.1.5	31.13.86.8	50856	443	402	SSL	20:11:49.953766000
6.083371000	84	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:49.975294000
6.102666000	86	192.168.1.5	31.13.86.8	50856	443	360	SSL	20:11:49.994589000
6.107972000	87	192.168.1.5	31.13.86.8	50856	443	387	SSL	20:11:49.999895000
6.123640000	88	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.015563000
6.128777000	89	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.020700000
6.218818000	91	192.168.1.5	31.13.86.8	50856	443	334	SSL	20:11:50.110741000
6.219943000	92	192.168.1.5	31.13.86.8	50856	443	432	SSL	20:11:50.111866000
6.228444000	93	31.13.86.8	192.168.1.5	443	50856	359	SSL	20:11:50.120367000
6.239885000	94	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.131808000
6.241067000	96	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.132990000
6.263207000	97	31.13.86.8	192.168.1.5	443	50856	398	SSL	20:11:50.155130000
6.268973000	99	31.13.86.8	192.168.1.5	443	50856	893	SSL	20:11:50.160896000
6.379930000	101	31.13.86.8	192.168.1.5	443	50856	415	SSL	20:11:50.271853000
6.443344000	103	31.13.86.8	192.168.1.5	443	50856	1464	SSL	20:11:50.335267000
6.443727000	105	31.13.86.8	192.168.1.5	443	50856	494	SSL	20:11:50.335650000
6.553215000	113	192.168.1.5	31.13.86.8	50856	443	329	SSL	20:11:50.445138000
6.574598000	119	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.466521000
6.595583000	124	192.168.1.5	31.13.86.8	50856	443	335	SSL	20:11:50.487506000
6.615624000	125	192.168.1.5	31.13.86.8	50856	443	1179	SSL	20:11:50.507547000
6.616751000	126	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.508674000
6.637309000	127	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.529232000
6.729252000	129	192.168.1.5	31.13.86.8	50856	443	431	SSL	20:11:50.621175000
6.743238000	130	192.168.1.5	31.13.86.8	50856	443	483	SSL	20:11:50.635161000
6.750240000	131	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.642163000
6.758772000	132	31.13.86.8	192.168.1.5	443	50856	813	SSL	20:11:50.650695000
6.764279000	134	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:50.656202000
6.789510000	135	31.13.86.8	192.168.1.5	443	50856	404	SSL	20:11:50.681433000
6.793023000	137	31.13.86.8	192.168.1.5	443	50856	577	SSL	20:11:50.684946000
6.892130000	139	31.13.86.8	192.168.1.5	443	50856	364	SSL	20:11:50.784053000
6.903672000	141	31.13.86.8	192.168.1.5	443	50856	331	SSL	20:11:50.795595000
7.090052000	147	192.168.1.5	31.13.86.2	58309	443	603	SSL	20:11:50.981975000
7.111856000	149	31.13.86.2	192.168.1.5	443	58309	203	TLSv1.2	20:11:51.003779000
7.112414000	151	192.168.1.5	31.13.86.2	58309	443	117	TLSv1.2	20:11:51.004337000
7.112715000	152	192.168.1.5	31.13.86.2	58309	443	248	TLSv1.2	20:11:51.004638000
7.248322000	154	31.13.86.2	192.168.1.5	443	58309	99	TLSv1.2	20:11:51.140245000
7.281163000	155	192.168.1.5	31.13.86.2	58309	443	1405	TLSv1.2	20:11:51.173086000
7.319122000	156	192.168.1.5	31.13.86.2	58309	443	106	TLSv1.2	20:11:51.211045000
7.407098000	158	192.168.1.5	31.13.86.8	50856	443	376	SSL	20:11:51.299021000
7.416367000	159	31.13.86.2	192.168.1.5	443	58309	99	TLSv1.2	20:11:51.308290000
7.428269000	160	31.13.86.8	192.168.1.5	443	50856	104	SSL	20:11:51.320192000
7.568937000	164	31.13.86.8	192.168.1.5	443	50856	370	SSL	20:11:51.460860000
