_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.999631000	5	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:35.819510000
2.167931000	7	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:36.987810000
2.263778000	9	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.083657000
2.443710000	11	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.263589000
2.451545000	13	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.271424000
2.463025000	14	192.168.1.5	46.105.63.44	39576	9001	1506	TCP	19:07:37.282904000
2.479089000	16	192.168.1.5	46.105.63.44	39576	9001	197	TLSv1.2	19:07:37.298968000
2.683442000	19	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.503321000
2.689788000	20	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.509667000
2.771174000	22	192.168.1.5	46.105.63.44	39576	9001	1123	TLSv1.2	19:07:37.591053000
2.799845000	24	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.619724000
2.828298000	26	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.648177000
2.859623000	28	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.679502000
2.864759000	29	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:37.684638000
2.892650000	30	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.712529000
2.959271000	32	46.105.63.44	192.168.1.5	9001	39576	1123	TLSv1.2	19:07:37.779150000
3.074925000	34	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.894804000
3.138754000	36	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:37.958633000
3.239667000	38	46.105.63.44	192.168.1.5	9001	39576	1506	TCP	19:07:38.059546000
3.240245000	40	46.105.63.44	192.168.1.5	9001	39576	1506	TCP	19:07:38.060124000
3.240249000	41	46.105.63.44	192.168.1.5	9001	39576	299	TLSv1.2	19:07:38.060128000
3.349945000	44	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:38.169824000
3.351027000	46	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:38.170906000
3.381086000	47	46.105.63.44	192.168.1.5	9001	39576	1506	TCP	19:07:38.200965000
3.381504000	48	46.105.63.44	192.168.1.5	9001	39576	197	TLSv1.2	19:07:38.201383000
3.914597000	50	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:38.734476000
4.194977000	52	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:39.014856000
4.371686000	54	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:39.191565000
6.875986000	56	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:41.695865000
6.932099000	58	192.168.1.5	46.105.63.44	39576	9001	1152	TLSv1.2	19:07:41.751978000
7.030087000	60	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:41.849966000
7.057740000	62	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:41.877619000
7.064677000	63	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:41.884556000
7.162910000	66	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:41.982789000
7.208487000	68	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.028366000
7.271284000	70	46.105.63.44	192.168.1.5	9001	39576	1123	TLSv1.2	19:07:42.091163000
7.282554000	72	46.105.63.44	192.168.1.5	9001	39576	1506	TCP	19:07:42.102433000
7.298311000	74	46.105.63.44	192.168.1.5	9001	39576	197	TLSv1.2	19:07:42.118190000
7.303506000	76	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:42.123385000
7.332824000	79	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:42.152703000
7.361207000	86	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:42.181086000
7.387064000	95	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.206943000
7.427680000	98	192.168.1.5	46.105.63.44	39576	9001	1152	TLSv1.2	19:07:42.247559000
7.437493000	99	192.168.1.5	46.105.63.44	39576	9001	1506	TCP	19:07:42.257372000
7.450728000	100	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.270607000
7.455673000	103	192.168.1.5	46.105.63.44	39576	9001	197	TLSv1.2	19:07:42.275552000
7.510132000	106	46.105.63.44	192.168.1.5	9001	39576	1506	TCP	19:07:42.330011000
7.510639000	107	46.105.63.44	192.168.1.5	9001	39576	711	TLSv1.2	19:07:42.330518000
7.659888000	109	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:42.479767000
7.668959000	110	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.488838000
7.723935000	113	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:42.543814000
7.739825000	114	46.105.63.44	192.168.1.5	9001	39576	1123	TLSv1.2	19:07:42.559704000
7.805367000	117	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.625246000
7.833916000	119	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.653795000
7.899524000	121	46.105.63.44	192.168.1.5	9001	39576	1123	TLSv1.2	19:07:42.719403000
7.926716000	123	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.746595000
7.954188000	125	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.774067000
8.078197000	127	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.898076000
8.113349000	132	192.168.1.5	31.13.86.2	57725	443	603	SSL	19:07:42.933228000
8.135786000	136	31.13.86.2	192.168.1.5	443	57725	203	TLSv1.2	19:07:42.955665000
8.136600000	138	192.168.1.5	31.13.86.2	57725	443	117	TLSv1.2	19:07:42.956479000
8.136617000	139	192.168.1.5	31.13.86.2	57725	443	248	TLSv1.2	19:07:42.956496000
8.142457000	140	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:42.962336000
8.282159000	143	31.13.86.2	192.168.1.5	443	57725	99	TLSv1.2	19:07:43.102038000
8.300999000	144	192.168.1.5	31.13.86.2	57725	443	1088	TLSv1.2	19:07:43.120878000
8.317660000	145	192.168.1.5	31.13.86.2	57725	443	106	TLSv1.2	19:07:43.137539000
8.444357000	151	31.13.86.2	192.168.1.5	443	57725	99	TLSv1.2	19:07:43.264236000
8.518298000	153	192.168.1.5	46.105.63.44	39576	9001	609	TLSv1.2	19:07:43.338177000
8.873091000	155	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:43.692970000
8.987206000	157	46.105.63.44	192.168.1.5	9001	39576	609	TLSv1.2	19:07:43.807085000
