_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.059124000	6	192.168.1.5	216.58.205.165	38988	443	260	SSL	13:36:13.148979000
0.094713000	8	216.58.205.165	192.168.1.5	443	38988	1484	TLSv1.2	13:36:13.184568000
0.095262000	10	216.58.205.165	192.168.1.5	443	38988	1041	TLSv1.2	13:36:13.185117000
0.118776000	12	192.168.1.5	216.58.205.165	38988	443	192	TLSv1.2	13:36:13.208631000
0.140122000	13	216.58.205.165	192.168.1.5	443	38988	117	TLSv1.2	13:36:13.229977000
0.144012000	14	192.168.1.5	216.58.205.165	38988	443	572	TLSv1.2	13:36:13.233867000
0.144056000	15	192.168.1.5	216.58.205.165	38988	443	469	TLSv1.2	13:36:13.233911000
0.734071000	17	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:13.823926000
0.734791000	18	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:13.824646000
0.734864000	19	216.58.205.165	192.168.1.5	443	38988	637	TLSv1.2	13:36:13.824719000
0.734871000	20	216.58.205.165	192.168.1.5	443	38988	141	TLSv1.2	13:36:13.824726000
0.838264000	23	192.168.1.5	216.58.205.165	38988	443	912	TLSv1.2	13:36:13.928119000
0.838319000	24	192.168.1.5	216.58.205.165	38988	443	529	TLSv1.2	13:36:13.928174000
1.425967000	26	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:14.515822000
1.426581000	27	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:14.516436000
1.426587000	28	216.58.205.165	192.168.1.5	443	38988	245	TLSv1.2	13:36:14.516442000
1.426591000	29	216.58.205.165	192.168.1.5	443	38988	144	TLSv1.2	13:36:14.516446000
1.666791000	32	192.168.1.5	216.58.205.165	38988	443	1129	TLSv1.2	13:36:14.756646000
1.829029000	34	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:14.918884000
1.829681000	35	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:14.919536000
1.829688000	36	216.58.205.165	192.168.1.5	443	38988	277	TLSv1.2	13:36:14.919543000
1.829766000	37	216.58.205.165	192.168.1.5	443	38988	814	TLSv1.2	13:36:14.919621000
1.836444000	40	216.58.205.165	192.168.1.5	443	38988	100	TLSv1.2	13:36:14.926299000
3.008921000	42	192.168.1.5	216.58.205.165	38988	443	912	TLSv1.2	13:36:16.098776000
3.009838000	43	192.168.1.5	216.58.205.165	38988	443	489	TLSv1.2	13:36:16.099693000
3.482068000	46	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:16.571923000
3.482716000	48	216.58.205.165	192.168.1.5	443	38988	1484	TCP	13:36:16.572571000
3.482722000	49	216.58.205.165	192.168.1.5	443	38988	277	TLSv1.2	13:36:16.572577000
3.482842000	50	216.58.205.165	192.168.1.5	443	38988	872	TLSv1.2	13:36:16.572697000
3.489130000	54	216.58.205.165	192.168.1.5	443	38988	100	TLSv1.2	13:36:16.578985000
