_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	56659	9001	609	TLSv1.2	14:06:37.503853000
0.175886000	3	46.105.63.44	192.168.1.5	9001	56659	609	TLSv1.2	14:06:37.679739000
0.186319000	4	192.168.1.5	46.105.63.44	56659	9001	609	TLSv1.2	14:06:37.690172000
0.388738000	6	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:37.892591000
0.389428000	7	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:37.893281000
0.389522000	8	46.105.63.44	192.168.1.5	9001	56659	813	TLSv1.2	14:06:37.893375000
0.416329000	10	192.168.1.5	46.105.63.44	56659	9001	609	TLSv1.2	14:06:37.920182000
0.513207000	12	46.105.63.44	192.168.1.5	9001	56659	609	TLSv1.2	14:06:38.017060000
0.528981000	13	192.168.1.5	46.105.63.44	56659	9001	1123	TLSv1.2	14:06:38.032834000
0.557070000	15	192.168.1.5	46.105.63.44	56659	9001	609	TLSv1.2	14:06:38.060923000
1.287558000	17	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:38.791411000
1.288218000	18	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:38.792071000
1.288227000	19	46.105.63.44	192.168.1.5	9001	56659	299	TLSv1.2	14:06:38.792080000
1.309949000	21	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:38.813802000
1.317338000	22	46.105.63.44	192.168.1.5	9001	56659	1254	TLSv1.2	14:06:38.821191000
1.788960000	24	192.168.1.5	46.105.63.44	56659	9001	1506	TCP	14:06:39.292813000
1.788984000	25	192.168.1.5	46.105.63.44	56659	9001	197	TLSv1.2	14:06:39.292837000
2.551456000	28	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:40.055309000
2.552165000	29	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:40.056018000
2.552272000	30	46.105.63.44	192.168.1.5	9001	56659	813	TLSv1.2	14:06:40.056125000
2.580451000	32	46.105.63.44	192.168.1.5	9001	56659	609	TLSv1.2	14:06:40.084304000
2.967697000	34	192.168.1.5	46.105.63.44	56659	9001	1506	TCP	14:06:40.471550000
2.967741000	35	192.168.1.5	46.105.63.44	56659	9001	197	TLSv1.2	14:06:40.471594000
3.295884000	38	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:40.799737000
3.296479000	40	46.105.63.44	192.168.1.5	9001	56659	1506	TCP	14:06:40.800332000
3.296536000	41	46.105.63.44	192.168.1.5	9001	56659	842	TLSv1.2	14:06:40.800389000
3.323720000	44	46.105.63.44	192.168.1.5	9001	56659	1152	TLSv1.2	14:06:40.827573000
