_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.033908000	4	192.168.1.5	216.58.205.133	39480	443	260	SSL	12:50:43.029234000
0.056197000	6	216.58.205.133	192.168.1.5	443	39480	213	TLSv1.2	12:50:43.051523000
0.056879000	8	192.168.1.5	216.58.205.133	39480	443	117	TLSv1.2	12:50:43.052205000
0.059700000	9	192.168.1.5	216.58.205.133	39480	443	572	TLSv1.2	12:50:43.055026000
0.059910000	10	192.168.1.5	216.58.205.133	39480	443	487	TLSv1.2	12:50:43.055236000
0.658847000	13	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:43.654173000
0.659526000	14	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:43.654852000
0.659532000	15	216.58.205.133	192.168.1.5	443	39480	637	TLSv1.2	12:50:43.654858000
0.659535000	16	216.58.205.133	192.168.1.5	443	39480	141	TLSv1.2	12:50:43.654861000
0.729952000	19	192.168.1.5	216.58.205.133	39480	443	912	TLSv1.2	12:50:43.725278000
0.729992000	20	192.168.1.5	216.58.205.133	39480	443	514	TLSv1.2	12:50:43.725318000
1.306917000	23	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:44.302243000
1.307532000	24	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:44.302858000
1.307539000	25	216.58.205.133	192.168.1.5	443	39480	245	TLSv1.2	12:50:44.302865000
1.307548000	26	216.58.205.133	192.168.1.5	443	39480	144	TLSv1.2	12:50:44.302874000
1.534779000	29	192.168.1.5	216.58.205.133	39480	443	1129	TLSv1.2	12:50:44.530105000
1.702751000	31	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:44.698077000
1.703485000	32	216.58.205.133	192.168.1.5	443	39480	1484	TCP	12:50:44.698811000
1.703490000	33	216.58.205.133	192.168.1.5	443	39480	277	TLSv1.2	12:50:44.698816000
1.703605000	34	216.58.205.133	192.168.1.5	443	39480	718	TLSv1.2	12:50:44.698931000
1.711225000	37	216.58.205.133	192.168.1.5	443	39480	100	TLSv1.2	12:50:44.706551000
3.252524000	39	192.168.1.5	216.58.205.106	41912	443	1252	TLSv1.2	12:50:46.247850000
3.305232000	40	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.300558000
3.305847000	42	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.301173000
3.306021000	43	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.301347000
3.306242000	44	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.301568000
3.306401000	47	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.301727000
3.306597000	48	216.58.205.106	192.168.1.5	443	41912	1313	TLSv1.2	12:50:46.301923000
3.306782000	51	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.302108000
3.307009000	52	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.302335000
3.307908000	55	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.303234000
3.307917000	56	216.58.205.106	192.168.1.5	443	41912	185	TLSv1.2	12:50:46.303243000
3.308106000	58	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.303432000
3.308297000	59	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.303623000
3.308479000	63	216.58.205.106	192.168.1.5	443	41912	1459	TLSv1.2	12:50:46.303805000
3.308669000	64	216.58.205.106	192.168.1.5	443	41912	1484	TLSv1.2	12:50:46.303995000
