_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	56536	9001	609	TLSv1.2	13:06:42.714890000
0.223512000	3	46.105.63.44	192.168.1.5	9001	56536	609	TLSv1.2	13:06:42.938402000
0.233938000	4	192.168.1.5	46.105.63.44	56536	9001	609	TLSv1.2	13:06:42.948828000
0.443678000	6	46.105.63.44	192.168.1.5	9001	56536	1506	TCP	13:06:43.158568000
0.444281000	7	46.105.63.44	192.168.1.5	9001	56536	1225	TLSv1.2	13:06:43.159171000
0.479596000	9	192.168.1.5	46.105.63.44	56536	9001	609	TLSv1.2	13:06:43.194486000
0.675264000	11	46.105.63.44	192.168.1.5	9001	56536	609	TLSv1.2	13:06:43.390154000
0.683513000	12	192.168.1.5	46.105.63.44	56536	9001	1506	TCP	13:06:43.398403000
0.683568000	13	192.168.1.5	46.105.63.44	56536	9001	197	TLSv1.2	13:06:43.398458000
1.542683000	15	46.105.63.44	192.168.1.5	9001	56536	1506	TCP	13:06:44.257573000
1.545002000	16	46.105.63.44	192.168.1.5	9001	56536	1506	TCP	13:06:44.259892000
1.545003000	17	46.105.63.44	192.168.1.5	9001	56536	813	TLSv1.2	13:06:44.259893000
1.848005000	20	192.168.1.5	46.105.63.44	56536	9001	1506	TCP	13:06:44.562895000
1.848201000	21	192.168.1.5	46.105.63.44	56536	9001	197	TLSv1.2	13:06:44.563091000
2.589061000	23	46.105.63.44	192.168.1.5	9001	56536	1506	TCP	13:06:45.303951000
2.590464000	25	46.105.63.44	192.168.1.5	9001	56536	1506	TCP	13:06:45.305354000
2.590467000	26	46.105.63.44	192.168.1.5	9001	56536	813	TLSv1.2	13:06:45.305357000
2.624952000	29	46.105.63.44	192.168.1.5	9001	56536	609	TLSv1.2	13:06:45.339842000
