_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.062020000	6	192.168.1.5	216.58.205.133	45848	443	260	SSL	13:24:02.690389000
0.083970000	8	216.58.205.133	192.168.1.5	443	45848	213	TLSv1.2	13:24:02.712339000
0.084753000	10	192.168.1.5	216.58.205.133	45848	443	117	TLSv1.2	13:24:02.713122000
0.087269000	11	192.168.1.5	216.58.205.133	45848	443	572	TLSv1.2	13:24:02.715638000
0.087290000	12	192.168.1.5	216.58.205.133	45848	443	564	TLSv1.2	13:24:02.715659000
0.736063000	15	216.58.205.133	192.168.1.5	443	45848	1484	TCP	13:24:03.364432000
0.736732000	16	216.58.205.133	192.168.1.5	443	45848	1484	TCP	13:24:03.365101000
0.736769000	17	216.58.205.133	192.168.1.5	443	45848	637	TLSv1.2	13:24:03.365138000
0.736808000	18	216.58.205.133	192.168.1.5	443	45848	171	TLSv1.2	13:24:03.365177000
0.974311000	21	192.168.1.5	216.58.205.133	45848	443	1129	TLSv1.2	13:24:03.602680000
1.523509000	23	216.58.205.133	192.168.1.5	443	45848	1484	TCP	13:24:04.151878000
1.524123000	24	216.58.205.133	192.168.1.5	443	45848	1484	TCP	13:24:04.152492000
1.524130000	25	216.58.205.133	192.168.1.5	443	45848	277	TLSv1.2	13:24:04.152499000
1.524228000	26	216.58.205.133	192.168.1.5	443	45848	731	TLSv1.2	13:24:04.152597000
1.532066000	28	216.58.205.133	192.168.1.5	443	45848	100	TLSv1.2	13:24:04.160435000
