_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.137946000	11	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:00.457073000
0.138352000	12	46.105.63.44	192.168.1.5	9001	56603	699	TLSv1.2	13:40:00.457479000
0.149585000	14	192.168.1.5	46.105.63.44	56603	9001	1506	TCP	13:40:00.468712000
0.149598000	15	192.168.1.5	46.105.63.44	56603	9001	1506	TCP	13:40:00.468725000
0.149606000	16	192.168.1.5	46.105.63.44	56603	9001	299	TLSv1.2	13:40:00.468733000
0.179326000	18	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:00.498453000
0.179751000	19	46.105.63.44	192.168.1.5	9001	56603	197	TLSv1.2	13:40:00.498878000
0.200433000	21	192.168.1.5	46.105.63.44	56603	9001	1506	TCP	13:40:00.519560000
0.200457000	22	192.168.1.5	46.105.63.44	56603	9001	197	TLSv1.2	13:40:00.519584000
0.208158000	23	46.105.63.44	192.168.1.5	9001	56603	1123	TLSv1.2	13:40:00.527285000
0.228139000	25	192.168.1.5	46.105.63.44	56603	9001	1123	TLSv1.2	13:40:00.547266000
0.256061000	26	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:00.575188000
0.269272000	27	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:00.588399000
0.296526000	28	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:00.615653000
0.304492000	29	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:00.623619000
0.331995000	30	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:00.651122000
0.346737000	31	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:00.665864000
0.416946000	33	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:00.736073000
0.477809000	35	46.105.63.44	192.168.1.5	9001	56603	1506	TLSv1.2	13:40:00.796936000
0.485150000	37	46.105.63.44	192.168.1.5	9001	56603	255	TLSv1.2	13:40:00.804277000
0.499692000	39	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:00.818819000
0.525698000	40	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:00.844825000
0.527624000	42	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:00.846751000
0.537480000	43	192.168.1.5	46.105.63.44	56603	9001	1506	TCP	13:40:00.856607000
0.555167000	45	192.168.1.5	46.105.63.44	56603	9001	197	TLSv1.2	13:40:00.874294000
0.756305000	48	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:01.075432000
0.771224000	49	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.090351000
0.884106000	51	46.105.63.44	192.168.1.5	9001	56603	1123	TLSv1.2	13:40:01.203233000
0.892212000	52	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.211339000
0.922298000	54	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.241425000
1.068171000	56	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:01.387298000
1.068812000	57	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:01.387939000
1.068820000	58	46.105.63.44	192.168.1.5	9001	56603	299	TLSv1.2	13:40:01.387947000
1.108452000	61	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.427579000
1.135264000	62	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:01.454391000
1.190876000	65	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:01.510003000
1.191462000	67	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:01.510589000
1.191534000	68	46.105.63.44	192.168.1.5	9001	56603	813	TLSv1.2	13:40:01.510661000
1.214792000	71	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.533919000
1.226203000	72	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:01.545330000
1.226795000	73	46.105.63.44	192.168.1.5	9001	56603	1225	TLSv1.2	13:40:01.545922000
1.251378000	76	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.570505000
1.387252000	78	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:01.706379000
1.390880000	79	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.710007000
1.535570000	81	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:01.854697000
1.537651000	82	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.856778000
1.564942000	83	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:01.884069000
1.566954000	84	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:01.886081000
1.771208000	86	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:02.090335000
1.771652000	87	46.105.63.44	192.168.1.5	9001	56603	197	TLSv1.2	13:40:02.090779000
1.783845000	89	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.102972000
1.839466000	91	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:02.158593000
1.839866000	92	46.105.63.44	192.168.1.5	9001	56603	197	TLSv1.2	13:40:02.158993000
1.902215000	94	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:02.221342000
1.902624000	95	46.105.63.44	192.168.1.5	9001	56603	197	TLSv1.2	13:40:02.221751000
1.991007000	97	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:02.310134000
1.997387000	98	192.168.1.5	46.105.63.44	56603	9001	1123	TLSv1.2	13:40:02.316514000
2.064146000	100	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.383273000
2.174015000	102	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:02.493142000
2.178273000	103	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.497400000
2.221544000	105	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:02.540671000
2.227427000	106	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.546554000
2.292530000	108	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.611657000
2.299270000	109	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:02.618397000
2.299787000	110	46.105.63.44	192.168.1.5	9001	56603	1225	TLSv1.2	13:40:02.618914000
2.325841000	113	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.644968000
2.611017000	115	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.930144000
2.638787000	117	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:02.957914000
2.649928000	118	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:02.969055000
2.650284000	119	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:02.969411000
2.677269000	120	46.105.63.44	192.168.1.5	9001	56603	711	TLSv1.2	13:40:02.996396000
2.703343000	122	192.168.1.5	46.105.63.44	56603	9001	1123	TLSv1.2	13:40:03.022470000
2.738346000	123	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:03.057473000
2.751798000	124	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:03.070925000
2.884031000	126	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:03.203158000
2.927657000	128	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:03.246784000
3.169273000	130	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:03.488400000
3.172537000	132	192.168.1.5	46.105.63.44	56603	9001	1123	TLSv1.2	13:40:03.491664000
3.399333000	134	46.105.63.44	192.168.1.5	9001	56603	609	TLSv1.2	13:40:03.718460000
3.425922000	135	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:03.745049000
3.431175000	136	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:03.750302000
3.431815000	137	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:03.750942000
3.454890000	139	46.105.63.44	192.168.1.5	9001	56603	1356	TLSv1.2	13:40:03.774017000
3.546805000	141	192.168.1.5	46.105.63.44	56603	9001	1123	TLSv1.2	13:40:03.865932000
3.614200000	143	192.168.1.5	46.105.63.44	56603	9001	609	TLSv1.2	13:40:03.933327000
3.659742000	145	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:03.978869000
3.660105000	147	46.105.63.44	192.168.1.5	9001	56603	197	TLSv1.2	13:40:03.979232000
4.236668000	149	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:04.555795000
4.237231000	151	46.105.63.44	192.168.1.5	9001	56603	1506	TCP	13:40:04.556358000
4.237324000	152	46.105.63.44	192.168.1.5	9001	56603	813	TLSv1.2	13:40:04.556451000
4.547949000	155	192.168.1.5	46.105.63.44	56603	9001	1506	TCP	13:40:04.867076000
4.547977000	156	192.168.1.5	46.105.63.44	56603	9001	197	TLSv1.2	13:40:04.867104000
