_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.023520000	4	192.168.1.5	216.58.205.133	41125	443	260	SSL	13:26:09.040506000
0.045048000	6	216.58.205.133	192.168.1.5	443	41125	213	TLSv1.2	13:26:09.062034000
0.046612000	8	192.168.1.5	216.58.205.133	41125	443	117	TLSv1.2	13:26:09.063598000
0.049504000	9	192.168.1.5	216.58.205.133	41125	443	572	TLSv1.2	13:26:09.066490000
0.049526000	10	192.168.1.5	216.58.205.133	41125	443	510	TLSv1.2	13:26:09.066512000
0.716036000	13	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:09.733022000
0.716727000	14	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:09.733713000
0.716793000	15	216.58.205.133	192.168.1.5	443	41125	669	TLSv1.2	13:26:09.733779000
0.716992000	16	216.58.205.133	192.168.1.5	443	41125	1341	TLSv1.2	13:26:09.733978000
0.723705000	19	216.58.205.133	192.168.1.5	443	41125	100	TLSv1.2	13:26:09.740691000
1.117191000	21	192.168.1.5	216.58.205.133	41125	443	913	TLSv1.2	13:26:10.134177000
1.117318000	22	192.168.1.5	216.58.205.133	41125	443	1330	TLSv1.2	13:26:10.134304000
2.156515000	25	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.173501000
2.157185000	27	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.174171000
2.157187000	28	216.58.205.133	192.168.1.5	443	41125	246	TLSv1.2	13:26:11.174173000
2.157188000	29	216.58.205.133	192.168.1.5	443	41125	203	TLSv1.2	13:26:11.174174000
2.207002000	33	192.168.1.5	216.58.205.133	41125	443	912	TLSv1.2	13:26:11.223988000
2.207024000	34	192.168.1.5	216.58.205.133	41125	443	458	TLSv1.2	13:26:11.224010000
2.638375000	37	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.655361000
2.639000000	39	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.655986000
2.639002000	40	216.58.205.133	192.168.1.5	443	41125	245	TLSv1.2	13:26:11.655988000
2.639005000	41	216.58.205.133	192.168.1.5	443	41125	144	TLSv1.2	13:26:11.655991000
2.681687000	45	192.168.1.5	216.58.205.133	41125	443	1129	TLSv1.2	13:26:11.698673000
2.847650000	47	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.864636000
2.848335000	49	216.58.205.133	192.168.1.5	443	41125	1484	TCP	13:26:11.865321000
2.848339000	50	216.58.205.133	192.168.1.5	443	41125	277	TLSv1.2	13:26:11.865325000
2.848397000	51	216.58.205.133	192.168.1.5	443	41125	724	TLSv1.2	13:26:11.865383000
2.856685000	55	216.58.205.133	192.168.1.5	443	41125	100	TLSv1.2	13:26:11.873671000
