_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	56611	9001	609	TLSv1.2	13:42:10.106649000
0.086688000	3	46.105.63.44	192.168.1.5	9001	56611	609	TLSv1.2	13:42:10.193337000
0.092119000	4	192.168.1.5	46.105.63.44	56611	9001	609	TLSv1.2	13:42:10.198768000
0.158228000	6	46.105.63.44	192.168.1.5	9001	56611	609	TLSv1.2	13:42:10.264877000
0.160861000	7	192.168.1.5	46.105.63.44	56611	9001	609	TLSv1.2	13:42:10.267510000
0.188797000	9	192.168.1.5	46.105.63.44	56611	9001	1123	TLSv1.2	13:42:10.295446000
1.047322000	11	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:11.153971000
1.047971000	12	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:11.154620000
1.048044000	13	46.105.63.44	192.168.1.5	9001	56611	813	TLSv1.2	13:42:11.154693000
1.115045000	16	46.105.63.44	192.168.1.5	9001	56611	609	TLSv1.2	13:42:11.221694000
1.239855000	18	192.168.1.5	46.105.63.44	56611	9001	1506	TCP	13:42:11.346504000
1.239879000	19	192.168.1.5	46.105.63.44	56611	9001	197	TLSv1.2	13:42:11.346528000
1.654325000	22	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:11.760974000
1.654929000	24	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:11.761578000
1.655012000	25	46.105.63.44	192.168.1.5	9001	56611	813	TLSv1.2	13:42:11.761661000
1.712461000	28	192.168.1.5	46.105.63.44	56611	9001	1506	TCP	13:42:11.819110000
1.712544000	29	192.168.1.5	46.105.63.44	56611	9001	197	TLSv1.2	13:42:11.819193000
1.986915000	32	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:12.093564000
1.988484000	34	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:12.095133000
1.988486000	35	46.105.63.44	192.168.1.5	9001	56611	813	TLSv1.2	13:42:12.095135000
2.250002000	38	192.168.1.5	46.105.63.44	56611	9001	1506	TCP	13:42:12.356651000
2.250052000	39	192.168.1.5	46.105.63.44	56611	9001	197	TLSv1.2	13:42:12.356701000
2.434836000	41	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:12.541485000
2.435237000	42	46.105.63.44	192.168.1.5	9001	56611	197	TLSv1.2	13:42:12.541886000
2.443307000	45	46.105.63.44	192.168.1.5	9001	56611	1506	TCP	13:42:12.549956000
2.451495000	47	46.105.63.44	192.168.1.5	9001	56611	1506	TLSv1.2	13:42:12.558144000
2.462337000	49	46.105.63.44	192.168.1.5	9001	56611	328	TLSv1.2	13:42:12.568986000
