_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.005504000	25	192.168.1.5	216.58.205.133	57773	443	260	SSL	14:15:41.276599000
4.027557000	27	216.58.205.133	192.168.1.5	443	57773	213	TLSv1.2	14:15:41.298652000
4.028859000	29	192.168.1.5	216.58.205.133	57773	443	117	TLSv1.2	14:15:41.299954000
4.037843000	30	192.168.1.5	216.58.205.133	57773	443	572	TLSv1.2	14:15:41.308938000
4.037863000	31	192.168.1.5	216.58.205.133	57773	443	598	TLSv1.2	14:15:41.308958000
4.680044000	34	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:41.951139000
4.680726000	35	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:41.951821000
4.680737000	36	216.58.205.133	192.168.1.5	443	57773	637	TLSv1.2	14:15:41.951832000
4.680745000	37	216.58.205.133	192.168.1.5	443	57773	141	TLSv1.2	14:15:41.951840000
4.877060000	40	192.168.1.5	216.58.205.133	57773	443	912	TLSv1.2	14:15:42.148155000
4.877108000	41	192.168.1.5	216.58.205.133	57773	443	527	TLSv1.2	14:15:42.148203000
5.484488000	44	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:42.755583000
5.485121000	46	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:42.756216000
5.485124000	47	216.58.205.133	192.168.1.5	443	57773	245	TLSv1.2	14:15:42.756219000
5.485154000	48	216.58.205.133	192.168.1.5	443	57773	144	TLSv1.2	14:15:42.756249000
5.637009000	52	192.168.1.5	216.58.205.133	57773	443	912	TLSv1.2	14:15:42.908104000
5.637054000	53	192.168.1.5	216.58.205.133	57773	443	476	TLSv1.2	14:15:42.908149000
5.789051000	56	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.060146000
5.789763000	58	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.060858000
5.789768000	59	216.58.205.133	192.168.1.5	443	57773	245	TLSv1.2	14:15:43.060863000
5.789776000	60	216.58.205.133	192.168.1.5	443	57773	141	TLSv1.2	14:15:43.060871000
5.918700000	64	192.168.1.5	216.58.205.133	57773	443	912	TLSv1.2	14:15:43.189795000
5.918751000	65	192.168.1.5	216.58.205.133	57773	443	469	TLSv1.2	14:15:43.189846000
6.135757000	68	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.406852000
6.136384000	70	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.407479000
6.136385000	71	216.58.205.133	192.168.1.5	443	57773	245	TLSv1.2	14:15:43.407480000
6.136387000	72	216.58.205.133	192.168.1.5	443	57773	141	TLSv1.2	14:15:43.407482000
6.499841000	76	192.168.1.5	216.58.205.133	57773	443	1129	TLSv1.2	14:15:43.770936000
6.663945000	78	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.935040000
6.664573000	80	216.58.205.133	192.168.1.5	443	57773	1484	TCP	14:15:43.935668000
6.664582000	81	216.58.205.133	192.168.1.5	443	57773	277	TLSv1.2	14:15:43.935677000
6.664707000	82	216.58.205.133	192.168.1.5	443	57773	880	TLSv1.2	14:15:43.935802000
6.669842000	86	216.58.205.133	192.168.1.5	443	57773	100	TLSv1.2	14:15:43.940937000
