_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.5	46.105.63.44	56692	9001	609	TLSv1.2	14:15:07.261704000
0.204926000	3	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:07.466630000
0.209013000	5	192.168.1.5	46.105.63.44	56692	9001	609	TLSv1.2	14:15:07.470717000
0.381839000	7	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:07.643543000
0.393304000	8	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:07.655008000
0.434154000	10	46.105.63.44	192.168.1.5	9001	56692	197	TLSv1.2	14:15:07.695858000
0.503240000	12	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:07.764944000
0.528637000	14	192.168.1.5	46.105.63.44	56692	9001	609	TLSv1.2	14:15:07.790341000
0.742398000	16	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:08.004102000
0.765152000	17	192.168.1.5	46.105.63.44	56692	9001	1506	TCP	14:15:08.026856000
0.765213000	18	192.168.1.5	46.105.63.44	56692	9001	197	TLSv1.2	14:15:08.026917000
1.648168000	21	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:08.909872000
1.656004000	22	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:08.917708000
1.656585000	24	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:08.918289000
1.683094000	25	46.105.63.44	192.168.1.5	9001	56692	299	TLSv1.2	14:15:08.944798000
1.913464000	27	192.168.1.5	46.105.63.44	56692	9001	1123	TLSv1.2	14:15:09.175168000
1.941328000	29	192.168.1.5	46.105.63.44	56692	9001	609	TLSv1.2	14:15:09.203032000
2.662359000	31	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:09.924063000
2.672803000	32	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:09.934507000
2.673318000	33	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:09.935022000
2.699821000	35	46.105.63.44	192.168.1.5	9001	56692	299	TLSv1.2	14:15:09.961525000
3.309051000	37	192.168.1.5	46.105.63.44	56692	9001	1506	TCP	14:15:10.570755000
3.309070000	38	192.168.1.5	46.105.63.44	56692	9001	197	TLSv1.2	14:15:10.570774000
3.705482000	41	46.105.63.44	192.168.1.5	9001	56692	609	TLSv1.2	14:15:10.967186000
3.715148000	42	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:10.976852000
3.715772000	43	46.105.63.44	192.168.1.5	9001	56692	1506	TCP	14:15:10.977476000
3.742743000	45	46.105.63.44	192.168.1.5	9001	56692	813	TLSv1.2	14:15:11.004447000
