_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.441183000	11	192.168.1.2	104.244.42.130	42850	443	250	SSL	13:25:39.650572000
2.459505000	14	192.168.1.2	104.244.42.130	60821	443	250	SSL	13:25:39.668894000
2.474735000	18	104.244.42.130	192.168.1.2	443	42850	1506	TLSv1.2	13:25:39.684124000
2.475416000	20	104.244.42.130	192.168.1.2	443	42850	1506	TCP	13:25:39.684805000
2.475469000	21	104.244.42.130	192.168.1.2	443	42850	615	TLSv1.2	13:25:39.684858000
2.485888000	28	192.168.1.2	93.184.220.70	45023	443	248	SSL	13:25:39.695277000
2.493353000	30	104.244.42.130	192.168.1.2	443	60821	1506	TLSv1.2	13:25:39.702742000
2.494032000	32	104.244.42.130	192.168.1.2	443	60821	1506	TCP	13:25:39.703421000
2.494085000	33	104.244.42.130	192.168.1.2	443	60821	615	TLSv1.2	13:25:39.703474000
2.494673000	36	192.168.1.2	104.244.42.130	42850	443	192	TLSv1.2	13:25:39.704062000
2.499092000	37	192.168.1.2	104.244.42.130	60821	443	192	TLSv1.2	13:25:39.708481000
2.502629000	38	192.168.1.2	104.244.42.130	60821	443	205	TLSv1.2	13:25:39.712018000
2.508308000	42	192.168.1.2	104.244.46.231	44559	443	250	SSL	13:25:39.717697000
2.508451000	43	93.184.220.70	192.168.1.2	443	45023	1506	TLSv1.2	13:25:39.717840000
2.509340000	45	93.184.220.70	192.168.1.2	443	45023	1506	TCP	13:25:39.718729000
2.509529000	46	93.184.220.70	192.168.1.2	443	45023	1506	TLSv1.2	13:25:39.718918000
2.509606000	47	93.184.220.70	192.168.1.2	443	45023	747	TLSv1.2	13:25:39.718995000
2.525286000	51	104.244.42.130	192.168.1.2	443	42850	308	TLSv1.2	13:25:39.734675000
2.525678000	52	104.244.42.130	192.168.1.2	443	42850	110	TLSv1.2	13:25:39.735067000
2.526274000	53	192.168.1.2	104.244.42.130	42850	443	205	TLSv1.2	13:25:39.735663000
2.529725000	54	104.244.42.130	192.168.1.2	443	60821	308	TLSv1.2	13:25:39.739114000
2.530122000	56	104.244.42.130	192.168.1.2	443	60821	110	TLSv1.2	13:25:39.739511000
2.532930000	58	104.244.42.130	192.168.1.2	443	60821	104	TLSv1.2	13:25:39.742319000
2.533006000	59	192.168.1.2	93.184.220.70	45023	443	192	TLSv1.2	13:25:39.742395000
2.533654000	61	104.244.42.130	192.168.1.2	443	60821	97	TLSv1.2	13:25:39.743043000
2.540774000	65	104.244.46.231	192.168.1.2	443	44559	1506	TLSv1.2	13:25:39.750163000
2.541340000	67	104.244.46.231	192.168.1.2	443	44559	1506	TCP	13:25:39.750729000
2.541485000	68	104.244.46.231	192.168.1.2	443	44559	1222	TLSv1.2	13:25:39.750874000
2.552206000	71	192.168.1.2	104.244.46.231	44559	443	192	TLSv1.2	13:25:39.761595000
2.554869000	72	93.184.220.70	192.168.1.2	443	45023	308	TLSv1.2	13:25:39.764258000
2.555199000	73	192.168.1.2	93.184.220.70	45023	443	303	TLSv1.2	13:25:39.764588000
2.555411000	74	93.184.220.70	192.168.1.2	443	45023	134	TLSv1.2	13:25:39.764800000
2.555431000	75	93.184.220.70	192.168.1.2	443	45023	108	TLSv1.2	13:25:39.764820000
2.555994000	76	104.244.42.130	192.168.1.2	443	42850	104	TLSv1.2	13:25:39.765383000
2.556275000	77	192.168.1.2	104.244.42.130	42850	443	1150	TLSv1.2	13:25:39.765664000
2.576500000	79	93.184.220.70	192.168.1.2	443	45023	104	TLSv1.2	13:25:39.785889000
2.576845000	80	192.168.1.2	93.184.220.70	45023	443	104	TLSv1.2	13:25:39.786234000
2.584259000	81	104.244.46.231	192.168.1.2	443	44559	308	TLSv1.2	13:25:39.793648000
