_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
2.676964000	9	192.168.1.2	46.105.63.44	56565	9001	1123	TLSv1.2	13:26:27.315059000
2.707191000	11	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:27.345286000
2.735568000	13	192.168.1.2	46.105.63.44	56565	9001	1152	TLSv1.2	13:26:27.373663000
2.914338000	15	46.105.63.44	192.168.1.2	9001	56565	609	TLSv1.2	13:26:27.552433000
2.925832000	17	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:27.563927000
3.050095000	19	46.105.63.44	192.168.1.2	9001	56565	1123	TLSv1.2	13:26:27.688190000
3.054851000	20	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:27.692946000
3.082098000	22	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:27.720193000
3.192694000	24	46.105.63.44	192.168.1.2	9001	56565	1123	TLSv1.2	13:26:27.830789000
3.212788000	25	192.168.1.2	46.105.63.44	56565	9001	1123	TLSv1.2	13:26:27.850883000
3.228488000	26	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:27.866583000
3.229108000	27	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:27.867203000
3.240906000	29	46.105.63.44	192.168.1.2	9001	56565	813	TLSv1.2	13:26:27.879001000
3.322068000	31	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:27.960163000
3.374224000	32	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.012319000
3.374754000	33	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.012849000
3.374831000	34	46.105.63.44	192.168.1.2	9001	56565	813	TLSv1.2	13:26:28.012926000
3.392503000	38	192.168.1.2	46.105.63.44	56565	9001	609	TLSv1.2	13:26:28.030598000
3.417985000	39	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.056080000
3.418593000	40	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.056688000
3.418657000	41	46.105.63.44	192.168.1.2	9001	56565	813	TLSv1.2	13:26:28.056752000
3.433287000	43	192.168.1.2	46.105.63.44	56565	9001	1506	TLSv1.2	13:26:28.071382000
3.446291000	44	192.168.1.2	46.105.63.44	56565	9001	1506	TLSv1.2	13:26:28.084386000
3.463447000	47	192.168.1.2	46.105.63.44	56565	9001	1501	TLSv1.2	13:26:28.101542000
3.511213000	50	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.149308000
3.511831000	51	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.149926000
3.511915000	52	46.105.63.44	192.168.1.2	9001	56565	813	TLSv1.2	13:26:28.150010000
3.517968000	54	46.105.63.44	192.168.1.2	9001	56565	1506	TCP	13:26:28.156063000
