_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.2	104.244.42.130	44024	443	488	TLSv1.2	12:57:25.262244000
0.235759000	3	104.244.42.130	192.168.1.2	443	44024	344	TLSv1.2	12:57:25.498003000
0.240065000	5	104.244.42.130	192.168.1.2	443	44024	1405	TLSv1.2	12:57:25.502309000
0.240732000	7	104.244.42.130	192.168.1.2	443	44024	1506	TCP	12:57:25.502976000
0.241432000	8	104.244.42.130	192.168.1.2	443	44024	1506	TCP	12:57:25.503676000
0.241695000	10	104.244.42.130	192.168.1.2	443	44024	1506	TLSv1.2	12:57:25.503939000
0.241815000	11	104.244.42.130	192.168.1.2	443	44024	1506	TCP	12:57:25.504059000
0.242005000	12	104.244.42.130	192.168.1.2	443	44024	1506	TCP	12:57:25.504249000
0.242945000	17	104.244.42.130	192.168.1.2	443	44024	1163	TLSv1.2	12:57:25.505189000
0.243135000	18	104.244.42.130	192.168.1.2	443	44024	1431	TLSv1.2	12:57:25.505379000
0.243138000	19	104.244.42.130	192.168.1.2	443	44024	104	TLSv1.2	12:57:25.505382000
2.041046000	25	192.168.1.2	104.244.42.130	44024	443	924	TLSv1.2	12:57:27.303290000
2.071293000	27	192.168.1.2	104.244.42.130	44024	443	104	TLSv1.2	12:57:27.333537000
2.209954000	29	104.244.42.130	192.168.1.2	443	44024	318	TLSv1.2	12:57:27.472198000
