_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
5.687789000	9	192.168.1.2	46.105.63.44	56506	9001	609	TLSv1.2	13:12:57.843810000
6.038717000	11	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.194738000
6.039396000	13	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.195417000
6.039480000	14	46.105.63.44	192.168.1.2	9001	56506	813	TLSv1.2	13:12:58.195501000
6.046262000	17	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.202283000
6.046812000	18	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.202833000
6.059464000	21	46.105.63.44	192.168.1.2	9001	56506	1506	TLSv1.2	13:12:58.215485000
6.060110000	22	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.216131000
6.060297000	23	46.105.63.44	192.168.1.2	9001	56506	1506	TCP	13:12:58.216318000
6.067621000	27	46.105.63.44	192.168.1.2	9001	56506	1206	TLSv1.2	13:12:58.223642000
6.131850000	29	46.105.63.44	192.168.1.2	9001	56506	609	TLSv1.2	13:12:58.287871000
7.638248000	31	192.168.1.2	46.105.63.44	56506	9001	1123	TLSv1.2	13:12:59.794269000
7.666038000	33	192.168.1.2	46.105.63.44	56506	9001	609	TLSv1.2	13:12:59.822059000
7.885301000	35	46.105.63.44	192.168.1.2	9001	56506	609	TLSv1.2	13:13:00.041322000
