_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.107022000	5	192.168.1.2	104.244.42.130	32940	443	666	TLSv1.2	13:45:30.081798000
4.137680000	7	192.168.1.2	104.244.42.130	32940	443	104	TLSv1.2	13:45:30.112456000
4.278952000	9	104.244.42.130	192.168.1.2	443	32940	273	TLSv1.2	13:45:30.253728000
8.531502000	13	192.168.1.2	104.244.42.130	32940	443	1236	TLSv1.2	13:45:34.506278000
8.562951000	15	192.168.1.2	104.244.42.130	32940	443	104	TLSv1.2	13:45:34.537727000
8.623463000	17	192.168.1.2	104.244.42.130	32940	443	558	TLSv1.2	13:45:34.598239000
8.654306000	19	192.168.1.2	104.244.42.130	32940	443	104	TLSv1.2	13:45:34.629082000
8.857317000	21	104.244.42.130	192.168.1.2	443	32940	279	TLSv1.2	13:45:34.832093000
9.029411000	23	104.244.42.130	192.168.1.2	443	32940	1506	TLSv1.2	13:45:35.004187000
9.029820000	24	104.244.42.130	192.168.1.2	443	32940	69	TLSv1.2	13:45:35.004596000
10.152988000	27	104.244.42.130	192.168.1.2	443	32940	131	TLSv1.2	13:45:36.127764000
