_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
5.726949000	27	192.168.1.2	46.105.63.44	56591	9001	1123	TLSv1.2	13:30:21.467543000
5.754677000	29	192.168.1.2	46.105.63.44	56591	9001	609	TLSv1.2	13:30:21.495271000
6.343687000	31	46.105.63.44	192.168.1.2	9001	56591	609	TLSv1.2	13:30:22.084281000
10.180614000	35	192.168.1.2	46.105.63.44	56591	9001	1506	TCP	13:30:25.921208000
10.180713000	36	192.168.1.2	46.105.63.44	56591	9001	197	TLSv1.2	13:30:25.921307000
10.218947000	38	192.168.1.2	46.105.63.44	56591	9001	1123	TLSv1.2	13:30:25.959541000
10.284667000	40	192.168.1.2	46.105.63.44	56591	9001	1123	TLSv1.2	13:30:26.025261000
10.753026000	42	192.168.1.2	46.105.63.44	56591	9001	1506	TCP	13:30:26.493620000
10.753057000	43	192.168.1.2	46.105.63.44	56591	9001	711	TLSv1.2	13:30:26.493651000
10.889517000	46	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:26.630111000
10.890114000	48	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:26.630708000
10.890218000	49	46.105.63.44	192.168.1.2	9001	56591	813	TLSv1.2	13:30:26.630812000
10.918977000	52	46.105.63.44	192.168.1.2	9001	56591	1123	TLSv1.2	13:30:26.659571000
10.924505000	54	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:26.665099000
10.949001000	56	46.105.63.44	192.168.1.2	9001	56591	197	TLSv1.2	13:30:26.689595000
11.228520000	58	192.168.1.2	46.105.63.44	56591	9001	1123	TLSv1.2	13:30:26.969114000
11.257125000	60	192.168.1.2	46.105.63.44	56591	9001	609	TLSv1.2	13:30:26.997719000
11.315967000	62	192.168.1.2	46.105.63.44	56591	9001	609	TLSv1.2	13:30:27.056561000
11.327389000	63	46.105.63.44	192.168.1.2	9001	56591	609	TLSv1.2	13:30:27.067983000
11.536670000	69	192.168.1.2	64.233.166.188	55648	5228	583	SSL	13:30:27.277264000
11.580234000	71	64.233.166.188	192.168.1.2	5228	55648	213	TLSv1.2	13:30:27.320828000
11.581153000	73	192.168.1.2	64.233.166.188	55648	5228	117	TLSv1.2	13:30:27.321747000
11.673392000	75	192.168.1.2	64.233.166.188	55648	5228	513	TLSv1.2	13:30:27.413986000
11.697345000	76	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.437939000
11.697891000	78	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.438485000
11.697970000	79	46.105.63.44	192.168.1.2	9001	56591	813	TLSv1.2	13:30:27.438564000
11.705239000	82	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.445833000
11.705821000	84	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.446415000
11.705961000	85	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.446555000
11.716287000	88	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.456881000
11.716937000	89	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.457531000
11.717112000	91	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.457706000
11.717129000	93	64.233.166.188	192.168.1.2	5228	55648	96	TLSv1.2	13:30:27.457723000
11.723011000	96	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.463605000
11.725465000	98	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.466059000
11.726140000	100	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.466734000
11.726151000	101	46.105.63.44	192.168.1.2	9001	56591	130	TLSv1.2	13:30:27.466745000
11.727621000	104	64.233.166.188	192.168.1.2	5228	55648	180	TLSv1.2	13:30:27.468215000
11.728542000	105	64.233.166.188	192.168.1.2	5228	55648	191	TLSv1.2	13:30:27.469136000
11.769454000	108	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.510048000
11.770091000	110	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.510685000
11.770166000	111	46.105.63.44	192.168.1.2	9001	56591	813	TLSv1.2	13:30:27.510760000
11.777911000	114	192.168.1.2	46.105.63.44	56591	9001	609	TLSv1.2	13:30:27.518505000
11.780537000	115	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.521131000
11.781090000	116	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.521684000
11.781831000	118	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.522425000
11.791727000	119	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.532321000
11.792285000	121	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.532879000
11.792476000	122	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.533070000
11.797409000	124	46.105.63.44	192.168.1.2	9001	56591	794	TLSv1.2	13:30:27.538003000
11.814285000	126	46.105.63.44	192.168.1.2	9001	56591	1506	TLSv1.2	13:30:27.554879000
11.814870000	128	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.555464000
11.842438000	129	46.105.63.44	192.168.1.2	9001	56591	842	TLSv1.2	13:30:27.583032000
11.882045000	131	46.105.63.44	192.168.1.2	9001	56591	1506	TCP	13:30:27.622639000
