_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.666533000	7	192.168.1.2	104.244.42.130	46345	443	1118	TLSv1.2	13:31:27.167790000
3.821748000	9	104.244.42.130	192.168.1.2	443	46345	380	TLSv1.2	13:31:27.323005000
4.215064000	11	192.168.1.2	104.244.42.130	46345	443	652	TLSv1.2	13:31:27.716321000
4.249471000	13	192.168.1.2	104.244.42.130	46345	443	104	TLSv1.2	13:31:27.750728000
4.279996000	15	192.168.1.2	104.244.42.130	46345	443	608	TLSv1.2	13:31:27.781253000
4.407312000	17	104.244.42.130	192.168.1.2	443	46345	699	TLSv1.2	13:31:27.908569000
4.427801000	19	104.244.42.130	192.168.1.2	443	46345	215	TLSv1.2	13:31:27.929058000
6.347775000	21	192.168.1.2	104.244.42.130	46345	443	470	TLSv1.2	13:31:29.849032000
6.497454000	23	104.244.42.130	192.168.1.2	443	46345	561	TLSv1.2	13:31:29.998711000
6.699614000	25	64.233.166.188	192.168.1.2	5228	55648	97	TLSv1.2	13:31:30.200871000
6.712552000	27	192.168.1.2	64.233.166.188	55648	5228	101	TLSv1.2	13:31:30.213809000
6.742733000	28	64.233.166.188	192.168.1.2	5228	55648	474	TLSv1.2	13:31:30.243990000
7.719735000	31	192.168.1.2	104.244.42.130	46345	443	907	TLSv1.2	13:31:31.220992000
7.750954000	33	192.168.1.2	104.244.42.130	46345	443	104	TLSv1.2	13:31:31.252211000
7.891677000	35	104.244.42.130	192.168.1.2	443	46345	269	TLSv1.2	13:31:31.392934000
8.065806000	37	192.168.1.2	104.244.42.130	46345	443	474	TLSv1.2	13:31:31.567063000
8.236574000	39	104.244.42.130	192.168.1.2	443	46345	1036	TLSv1.2	13:31:31.737831000
10.045773000	41	192.168.1.2	104.244.42.130	46345	443	883	TLSv1.2	13:31:33.547030000
10.211786000	43	104.244.42.130	192.168.1.2	443	46345	349	TLSv1.2	13:31:33.713043000
11.618385000	45	192.168.1.2	104.244.42.130	46345	443	647	TLSv1.2	13:31:35.119642000
11.649060000	47	192.168.1.2	104.244.42.130	46345	443	104	TLSv1.2	13:31:35.150317000
11.799971000	49	104.244.42.130	192.168.1.2	443	46345	264	TLSv1.2	13:31:35.301228000
11.885867000	51	192.168.1.2	104.244.42.130	46345	443	522	TLSv1.2	13:31:35.387124000
11.916956000	53	192.168.1.2	104.244.42.130	46345	443	104	TLSv1.2	13:31:35.418213000
12.056746000	55	104.244.42.130	192.168.1.2	443	46345	249	TLSv1.2	13:31:35.558003000
12.184407000	57	192.168.1.2	104.244.42.130	46345	443	761	TLSv1.2	13:31:35.685664000
12.372563000	59	104.244.42.130	192.168.1.2	443	46345	938	TLSv1.2	13:31:35.873820000
15.501795000	63	192.168.1.2	104.244.42.130	46345	443	434	TLSv1.2	13:31:39.003052000
15.674045000	65	104.244.42.130	192.168.1.2	443	46345	763	TLSv1.2	13:31:39.175302000
15.703947000	67	104.244.42.130	192.168.1.2	443	46345	173	TLSv1.2	13:31:39.205204000
17.798802000	71	192.168.1.2	104.244.42.130	46345	443	436	TLSv1.2	13:31:41.300059000
17.829933000	73	192.168.1.2	104.244.42.130	46345	443	802	TLSv1.2	13:31:41.331190000
17.960016000	75	104.244.42.130	192.168.1.2	443	46345	257	TLSv1.2	13:31:41.461273000
17.975826000	77	104.244.42.130	192.168.1.2	443	46345	113	TLSv1.2	13:31:41.477083000
18.062412000	79	104.244.42.130	192.168.1.2	443	46345	1061	TLSv1.2	13:31:41.563669000
18.169215000	81	192.168.1.2	104.244.42.130	46345	443	1181	TLSv1.2	13:31:41.670472000
18.176477000	82	104.244.42.130	192.168.1.2	443	46345	133	TLSv1.2	13:31:41.677734000
18.350630000	85	104.244.42.130	192.168.1.2	443	46345	1081	TLSv1.2	13:31:41.851887000
21.738026000	87	192.168.1.2	104.244.42.130	46345	443	843	TLSv1.2	13:31:45.239283000
21.902639000	89	104.244.42.130	192.168.1.2	443	46345	976	TLSv1.2	13:31:45.403896000
24.847133000	93	192.168.1.2	104.244.42.130	46345	443	418	TLSv1.2	13:31:48.348390000
25.012197000	95	104.244.42.130	192.168.1.2	443	46345	277	TLSv1.2	13:31:48.513454000
