_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.812177000	5	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:16:55.601789000
4.155471000	7	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:16:55.945083000
4.386974000	11	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:16:56.176586000
4.414480000	13	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:16:56.204092000
4.644568000	15	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:16:56.434180000
4.696006000	17	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:16:56.485618000
4.800051000	19	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:16:56.589663000
6.392792000	21	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:16:58.182404000
6.654882000	23	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:16:58.444494000
7.751448000	25	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:16:59.541060000
7.781185000	27	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:16:59.570797000
8.140220000	29	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:16:59.929832000
8.369726000	31	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:00.159338000
8.556541000	33	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:00.346153000
8.645825000	35	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:00.435437000
10.093469000	37	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:01.883081000
10.358308000	39	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:02.147920000
11.678872000	41	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:17:03.468484000
11.902615000	43	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:17:03.692227000
11.923632000	44	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:03.713244000
11.981207000	47	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:17:03.770819000
12.021954000	49	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:03.811566000
12.162005000	51	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:03.951617000
12.255071000	53	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:04.044683000
12.312539000	55	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:04.102151000
15.553896000	57	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:07.343508000
15.682048000	59	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:07.471660000
15.823818000	61	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:07.613430000
15.876800000	63	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:07.666412000
15.930274000	65	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:07.719886000
17.928713000	67	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:09.718325000
17.942075000	68	192.168.1.2	46.105.63.44	56532	9001	1506	TLSv1.2	13:17:09.731687000
17.956335000	70	192.168.1.2	46.105.63.44	56532	9001	226	TLSv1.2	13:17:09.745947000
18.105491000	73	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:09.895103000
18.196810000	75	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:09.986422000
18.311214000	77	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:10.100826000
18.362998000	79	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:10.152610000
18.417493000	81	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:10.207105000
18.444567000	83	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:10.234179000
18.522428000	85	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:17:10.312040000
18.809527000	87	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:10.599139000
18.810761000	89	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:10.600373000
18.884394000	91	46.105.63.44	192.168.1.2	9001	56532	1123	TLSv1.2	13:17:10.674006000
21.744789000	93	192.168.1.2	46.105.63.44	56532	9001	1123	TLSv1.2	13:17:13.534401000
22.044291000	95	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:13.833903000
22.100038000	97	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:13.889650000
24.652754000	99	192.168.1.2	46.105.63.44	56532	9001	609	TLSv1.2	13:17:16.442366000
24.893339000	101	46.105.63.44	192.168.1.2	9001	56532	609	TLSv1.2	13:17:16.682951000
