_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
4.373756000	5	192.168.1.2	104.244.42.130	40297	443	1239	TLSv1.2	13:19:54.460742000
4.865217000	7	104.244.42.130	192.168.1.2	443	40297	1506	TLSv1.2	13:19:54.952203000
4.865786000	8	104.244.42.130	192.168.1.2	443	40297	1167	TLSv1.2	13:19:54.952772000
5.092886000	11	192.168.1.2	104.244.42.130	40297	443	603	TLSv1.2	13:19:55.179872000
5.190308000	13	192.168.1.2	93.184.220.70	57669	443	576	TLSv1.2	13:19:55.277294000
5.211953000	15	93.184.220.70	192.168.1.2	443	57669	334	TLSv1.2	13:19:55.298939000
5.212405000	17	93.184.220.70	192.168.1.2	443	57669	104	TLSv1.2	13:19:55.299391000
5.212631000	18	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.299617000
5.213490000	21	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.300476000
5.213672000	22	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.300658000
5.213862000	23	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.300848000
5.214049000	26	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.301035000
5.214243000	27	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.301229000
5.215319000	31	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.302305000
5.215512000	32	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.302498000
5.215702000	33	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.302688000
5.215892000	36	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.302878000
5.216086000	37	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.303072000
5.216142000	38	93.184.220.70	192.168.1.2	443	57669	638	TLSv1.2	13:19:55.303128000
5.216152000	39	93.184.220.70	192.168.1.2	443	57669	96	TLSv1.2	13:19:55.303138000
5.216161000	40	93.184.220.70	192.168.1.2	443	57669	104	TLSv1.2	13:19:55.303147000
5.216393000	41	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.303379000
5.216588000	46	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.303574000
5.216778000	48	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.303764000
5.216963000	50	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.303949000
5.217156000	53	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.304142000
5.217355000	55	93.184.220.70	192.168.1.2	443	57669	1506	TCP	13:19:55.304341000
