_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
3.697861000	24	192.168.1.2	46.105.63.44	56546	9001	1123	TLSv1.2	13:19:21.510090000
3.790828000	25	192.168.1.2	46.105.63.44	56546	9001	1506	TLSv1.2	13:19:21.603057000
4.053054000	27	46.105.63.44	192.168.1.2	9001	56546	609	TLSv1.2	13:19:21.865283000
4.080028000	34	192.168.1.2	46.105.63.44	56546	9001	769	TLSv1.2	13:19:21.892257000
4.110652000	38	192.168.1.2	46.105.63.44	56546	9001	1506	TCP	13:19:21.922881000
4.111506000	39	192.168.1.2	46.105.63.44	56546	9001	711	TLSv1.2	13:19:21.923735000
4.477453000	42	46.105.63.44	192.168.1.2	9001	56546	609	TLSv1.2	13:19:22.289682000
4.778895000	44	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.591124000
4.779568000	46	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.591797000
4.779575000	47	46.105.63.44	192.168.1.2	9001	56546	299	TLSv1.2	13:19:22.591804000
4.781167000	50	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.593396000
4.781690000	52	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.593919000
4.791584000	54	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:22.603813000
4.792155000	56	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.604384000
4.792345000	57	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.604574000
4.807125000	60	46.105.63.44	192.168.1.2	9001	56546	663	TLSv1.2	13:19:22.619354000
4.828160000	62	192.168.1.2	46.105.63.44	56546	9001	609	TLSv1.2	13:19:22.640389000
4.831959000	63	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.644188000
4.839660000	64	46.105.63.44	192.168.1.2	9001	56546	1254	TLSv1.2	13:19:22.651889000
4.859966000	67	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.672195000
4.860539000	68	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.672768000
4.867687000	70	46.105.63.44	192.168.1.2	9001	56546	813	TLSv1.2	13:19:22.679916000
4.885045000	71	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.697274000
4.913429000	73	46.105.63.44	192.168.1.2	9001	56546	197	TLSv1.2	13:19:22.725658000
4.916853000	74	192.168.1.2	46.105.63.44	56546	9001	609	TLSv1.2	13:19:22.729082000
5.097137000	76	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.909366000
5.097658000	77	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.909887000
5.097728000	78	46.105.63.44	192.168.1.2	9001	56546	813	TLSv1.2	13:19:22.909957000
5.097953000	79	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.910182000
5.098831000	82	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.911060000
5.108113000	83	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:22.920342000
5.108631000	85	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.920860000
5.108811000	86	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.921040000
5.125743000	88	46.105.63.44	192.168.1.2	9001	56546	1206	TLSv1.2	13:19:22.937972000
5.145981000	89	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.958210000
5.146557000	90	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.958786000
5.146716000	92	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:22.958945000
5.146897000	93	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.959126000
5.147085000	94	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.959314000
5.149251000	97	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:22.961480000
5.149814000	98	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.962043000
5.150006000	99	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.962235000
5.150194000	100	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:22.962423000
5.151403000	103	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.963632000
5.151590000	104	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:22.963819000
5.153609000	106	192.168.1.2	46.105.63.44	56546	9001	609	TLSv1.2	13:19:22.965838000
5.174200000	107	46.105.63.44	192.168.1.2	9001	56546	906	TLSv1.2	13:19:22.986429000
5.196721000	108	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.008950000
5.197170000	109	192.168.1.2	46.105.63.44	56546	9001	609	TLSv1.2	13:19:23.009399000
5.197346000	110	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.009575000
5.201371000	111	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.013600000
5.201893000	112	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.014122000
5.202078000	113	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.014307000
5.225510000	116	46.105.63.44	192.168.1.2	9001	56546	1206	TLSv1.2	13:19:23.037739000
5.434407000	118	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.246636000
5.435116000	120	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.247345000
5.435201000	121	46.105.63.44	192.168.1.2	9001	56546	813	TLSv1.2	13:19:23.247430000
5.435421000	123	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.247650000
5.435604000	124	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.247833000
5.435794000	127	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.248023000
5.435986000	128	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.248215000
5.436177000	130	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.248406000
5.436366000	132	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.248595000
5.436558000	134	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.248787000
5.436747000	137	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.248976000
5.436941000	138	46.105.63.44	192.168.1.2	9001	56546	1506	TLSv1.2	13:19:23.249170000
5.437132000	140	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.249361000
5.437322000	142	46.105.63.44	192.168.1.2	9001	56546	1506	TCP	13:19:23.249551000
5.442667000	145	192.168.1.2	46.105.63.44	56546	9001	609	TLSv1.2	13:19:23.254896000
