_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.77	104.244.42.130	41909	443	907	TLSv1.2	18:30:25.529244000
0.036406000	2	104.244.42.130	192.168.1.77	443	41909	66	TCP	18:30:25.565650000
0.181931000	3	104.244.42.130	192.168.1.77	443	41909	167	TLSv1.2	18:30:25.711175000
0.215627000	4	104.244.42.130	192.168.1.77	443	41909	317	TLSv1.2	18:30:25.744871000
0.215997000	5	104.244.42.130	192.168.1.77	443	41909	403	TLSv1.2	18:30:25.745241000
0.216142000	6	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:25.745386000
0.258664000	7	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:25.787908000
0.357095000	8	192.168.1.77	104.244.42.130	41909	443	546	TLSv1.2	18:30:25.886339000
0.396129000	9	104.244.42.130	192.168.1.77	443	41909	66	TCP	18:30:25.925373000
0.518479000	10	104.244.42.130	192.168.1.77	443	41909	169	TLSv1.2	18:30:26.047723000
0.518869000	11	104.244.42.130	192.168.1.77	443	41909	132	TLSv1.2	18:30:26.048113000
0.519215000	12	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:26.048459000
0.519916000	13	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:26.049160000
3.430163000	14	104.244.42.130	192.168.1.77	443	41909	122	TLSv1.2	18:30:28.959407000
3.430542000	15	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:28.959786000
4.005349000	16	104.244.42.130	192.168.1.77	443	41909	116	TLSv1.2	18:30:29.534593000
4.006124000	17	192.168.1.77	104.244.42.130	41909	443	66	TCP	18:30:29.535368000
