_ws.col.Time	frame.number	ip.src	ip.dst	tcp.srcport	tcp.dstport	frame.len	_ws.col.Protocol	_ws.col.Absolute time
0.000000000	1	192.168.1.77	95.211.94.113	56303	9001	1123	TLSv1.2	09:40:35.666179000
0.041414000	2	95.211.94.113	192.168.1.77	9001	56303	66	TCP	09:40:35.707593000
0.700396000	3	95.211.94.113	192.168.1.77	9001	56303	609	TLSv1.2	09:40:36.366575000
0.700861000	4	192.168.1.77	95.211.94.113	56303	9001	66	TCP	09:40:36.367040000
0.741559000	5	95.211.94.113	192.168.1.77	9001	56303	609	TLSv1.2	09:40:36.407738000
0.742010000	6	192.168.1.77	95.211.94.113	56303	9001	66	TCP	09:40:36.408189000
0.912056000	7	192.168.1.77	95.211.94.113	56303	9001	609	TLSv1.2	09:40:36.578235000
0.952253000	8	95.211.94.113	192.168.1.77	9001	56303	66	TCP	09:40:36.618432000
1.249578000	9	95.211.94.113	192.168.1.77	9001	56303	609	TLSv1.2	09:40:36.915757000
1.249898000	10	192.168.1.77	95.211.94.113	56303	9001	66	TCP	09:40:36.916077000
